,TAG,Value,Time
364,B,1180,310
365,R,8435,311
366,B,518,312
367,I,5449,313
368,B,1235,314
369,R,8400,315
370,B,576,316
371,I,5385,316
372,B,1299,317
373,R,8409,318
374,B,547,319
375,I,5347,320
376,B,1225,321
377,R,8384,322
378,B,499,323
379,I,5392,324
380,B,1219,325
381,R,8368,326
382,B,553,327
383,I,5411,328
384,B,1289,328
385,R,8441,329
386,B,614,330
387,I,5337,331
388,B,1177,332
389,R,8425,333
390,B,547,334
391,I,5411,335
392,B,1216,336
393,R,8422,337
394,B,521,338
395,I,5398,339
396,B,1235,340
397,R,8464,340
398,B,560,341
399,I,5379,342
400,B,1212,343
401,R,8419,344
402,B,528,345
403,I,5424,346
404,B,1254,347
405,R,8409,348
406,B,499,349
407,I,5379,350
408,B,1286,351
409,R,8422,352
410,B,556,352
411,I,5312,353
412,B,1264,354
413,R,8412,355
414,B,528,356
415,I,5424,357
416,B,1222,358
417,R,8422,359
418,B,483,360
419,I,5424,361
420,B,1264,362
421,R,8489,363
422,B,534,364
423,I,5363,364
424,B,1241,365
425,R,8438,366
426,B,524,367
427,I,5398,368
428,B,1177,369
429,R,8403,370
430,B,483,371
431,I,5424,372
432,B,1235,373
433,R,8444,374
434,B,563,375
435,I,5347,375
436,B,1238,376
437,R,8451,377
438,B,534,378
439,I,5417,379
440,B,1212,380
441,R,8422,381
442,B,531,382
443,I,5481,383
444,B,1264,384
445,R,8470,385
446,B,547,386
447,I,5404,386
448,B,1228,387
449,R,8441,388
450,B,553,389
451,I,5427,390
452,B,1152,391
453,R,8400,392
454,B,550,393
455,I,5478,394
456,B,1286,395
457,R,8419,396
458,B,560,397
459,I,5436,398
460,B,1248,398
461,R,8438,399
462,B,598,400
463,I,5424,401
464,B,1193,402
465,R,8403,403
466,B,540,404
467,I,5424,405
468,B,1254,406
469,R,8422,407
470,B,537,408
471,I,5388,409
472,B,1206,410
473,R,8448,410
474,B,544,411
475,I,5401,412
476,B,1225,413
477,R,8432,414
478,B,544,415
479,I,5472,416
480,B,1251,417
481,R,8403,418
482,B,550,419
483,I,5401,420
484,B,1254,421
485,R,8377,422
486,B,572,422
487,I,5420,423
488,B,1152,424
489,R,8390,425
490,B,537,426
491,I,5446,427
492,B,1232,428
493,R,8377,429
494,B,563,430
495,I,5440,431
496,B,1270,432
497,R,8422,433
498,B,528,434
499,I,5372,434
500,B,1212,435
501,R,8400,436
502,B,550,437
503,I,5414,438
504,B,1228,439
505,R,8384,440
506,B,524,441
507,I,5408,442
508,B,1222,443
509,R,8380,444
510,B,531,445
511,I,5344,445
512,B,1190,446
513,R,8403,447
514,B,556,448
515,I,5404,449
516,B,1248,450
517,R,8342,451
518,B,518,452
519,I,5411,453
520,B,1241,454
521,R,8368,455
522,B,544,456
523,I,5398,457
524,B,1225,457
525,R,8403,458
526,B,588,459
527,I,5376,460
528,B,1209,461
529,R,8332,462
530,B,595,463
531,I,5372,464
532,B,1209,465
533,R,8371,466
534,B,531,467
535,I,5363,468
536,B,1222,469
537,R,8371,469
538,B,540,470
539,I,5379,471
540,B,1219,472
541,R,8364,473
542,B,566,474
543,I,5363,475
544,B,1206,476
545,R,8374,477
546,B,537,478
547,I,5411,479
548,B,1187,480
549,R,8393,481
550,B,547,481
551,I,5340,482
552,B,1206,483
553,R,8323,484
554,B,528,485
555,I,5366,486
556,B,1254,487
557,R,8355,488
558,B,540,489
559,I,5372,490
560,B,1219,491
561,R,8438,492
562,B,524,493
563,I,5328,493
564,B,1235,494
565,R,8352,495
566,B,547,496
567,I,5337,497
568,B,1235,498
569,R,8368,499
570,B,537,500
571,I,5363,501
572,B,1219,502
573,R,8387,503
574,B,547,504
575,I,5289,504
576,B,1228,505
577,R,8348,506
578,B,572,507
579,I,5308,508
580,B,1216,509
581,R,8313,510
582,B,540,511
583,I,5318,512
584,B,1200,513
585,R,8358,514
586,B,534,515
587,I,5308,515
588,B,1219,516
589,R,8355,517
590,B,576,518
591,I,5273,519
592,B,1168,520
593,R,8310,521
594,B,499,522
595,I,5382,523
596,B,1203,524
597,R,8380,525
598,B,502,526
599,I,5334,527
600,B,1254,527
601,R,8387,528
602,B,569,529
603,I,5280,530
604,B,1145,531
605,R,8332,532
606,B,553,533
607,I,5318,534
608,B,1251,535
609,R,8345,536
610,B,496,537
611,I,5308,538
612,B,1155,539
613,R,8352,539
614,B,531,540
615,I,5248,541
