,TAG,Value,Time
364,B,1203,310
365,R,8067,311
366,B,492,312
367,I,5062,313
368,B,1161,314
369,R,8032,315
370,B,521,316
371,I,5056,316
372,B,1148,317
373,R,8003,318
374,B,521,319
375,I,5062,320
376,B,1107,321
377,R,8022,322
378,B,508,323
379,I,5081,324
380,B,1184,325
381,R,8019,326
382,B,528,327
383,I,4998,327
384,B,1161,328
385,R,8080,329
386,B,569,330
387,I,5033,331
388,B,1100,332
389,R,7948,333
390,B,502,334
391,I,5059,335
392,B,1174,336
393,R,8000,337
394,B,524,338
395,I,5030,338
396,B,1161,339
397,R,8028,340
398,B,508,341
399,I,5004,342
400,B,1164,343
401,R,7968,344
402,B,553,345
403,I,5046,346
404,B,1161,347
405,R,8000,348
406,B,486,349
407,I,5046,350
408,B,1145,350
409,R,8035,351
410,B,556,352
411,I,4985,353
412,B,1209,354
413,R,7936,355
414,B,540,356
415,I,5046,357
416,B,1123,358
417,R,7945,359
418,B,476,360
419,I,5043,361
420,B,1100,362
421,R,7932,362
422,B,512,363
423,I,5008,364
424,B,1152,365
425,R,7952,366
426,B,540,367
427,I,5024,368
428,B,1120,369
429,R,7952,370
430,B,489,371
431,I,4988,372
432,B,1148,373
433,R,7929,374
434,B,502,374
435,I,4985,375
436,B,1155,376
437,R,7948,377
438,B,515,378
439,I,4969,379
440,B,1097,380
441,R,7904,381
442,B,457,382
443,I,5017,383
444,B,1139,384
445,R,7945,385
446,B,518,386
447,I,4966,386
448,B,1136,387
449,R,7936,388
450,B,534,389
451,I,5001,390
452,B,1113,391
453,R,7952,392
454,B,572,393
455,I,5014,394
456,B,1174,395
457,R,7916,396
458,B,505,397
459,I,4972,397
460,B,1132,398
461,R,7926,399
462,B,524,400
463,I,4963,401
464,B,1126,402
465,R,7923,403
466,B,483,404
467,I,5004,405
468,B,1129,406
469,R,7910,407
470,B,524,408
471,I,5011,409
472,B,1123,409
473,R,7920,410
474,B,428,411
475,I,4953,412
476,B,1123,413
477,R,7948,414
478,B,505,415
479,I,4960,416
480,B,1132,417
481,R,7920,418
482,B,524,419
483,I,4940,420
484,B,1100,421
485,R,7910,421
486,B,470,422
487,I,4953,423
488,B,1164,424
489,R,7929,425
490,B,505,426
491,I,4953,427
492,B,1113,428
493,R,7945,429
494,B,540,430
495,I,4966,431
496,B,1107,432
497,R,7907,433
498,B,502,433
499,I,5027,434
500,B,1081,435
501,R,7958,436
502,B,496,437
503,I,4934,438
504,B,1155,439
505,R,7958,440
506,B,499,441
507,I,4940,442
508,B,1110,443
509,R,7881,444
510,B,508,445
511,I,4953,445
512,B,1152,446
513,R,7932,447
514,B,502,448
515,I,4931,449
516,B,1158,450
517,R,7913,451
518,B,528,452
519,I,4928,453
520,B,1104,454
521,R,7888,455
522,B,499,456
523,I,4998,456
524,B,1129,457
525,R,7907,458
526,B,496,459
527,I,4963,460
528,B,1136,461
529,R,7900,462
530,B,531,463
531,I,4940,464
532,B,1100,465
533,R,7865,466
534,B,489,467
535,I,4972,467
536,B,1107,468
537,R,7929,469
538,B,499,470
539,I,5001,471
540,B,1148,472
541,R,7920,473
542,B,515,474
543,I,4985,475
544,B,1110,476
545,R,7888,477
546,B,512,478
547,I,5011,479
548,B,1100,479
549,R,7897,480
550,B,518,481
551,I,4995,482
552,B,1152,483
553,R,7907,484
554,B,499,485
555,I,5008,486
556,B,1104,487
557,R,7961,488
558,B,524,489
559,I,4979,490
560,B,1164,491
561,R,7910,491
562,B,521,492
563,I,4972,493
564,B,1113,494
565,R,7980,495
566,B,518,496
567,I,4966,497
568,B,1120,498
569,R,7932,499
570,B,505,500
571,I,4944,501
572,B,1120,502
573,R,7862,503
574,B,521,503
575,I,4985,504
576,B,1129,505
577,R,7849,506
578,B,499,507
579,I,4992,508
580,B,1129,509
