TAG,Time,Value
B,12727,221
R,12729,18415
B,12732,75
I,12734,26746
B,12736,148
R,12739,18639
B,12741,249
I,12743,26977
B,12746,122
R,12748,18302
B,12750,73
I,12753,26811
B,12755,282
R,12758,18634
B,12760,185
I,12762,26817
B,12765,114
R,12767,18335
B,12769,95
I,12772,26977
B,12774,303
R,12777,18539
B,12779,82
I,12781,26648
B,12784,109
R,12786,18416
B,12788,230
I,12791,26993
B,12793,229
R,12795,18395
B,12798,73
I,12800,26654
B,12803,126
R,12805,18528
B,12807,264
I,12810,26938
B,12812,136
R,12814,18295
B,12817,74
I,12819,26761
B,12821,264
R,12824,18617
B,12826,199
I,12829,26819
B,12831,111
R,12833,18267
B,12836,79
I,12838,26958
B,12840,305
R,12843,18528
B,12845,102
I,12848,26694
B,12850,107
R,12852,18334
B,12855,206
I,12857,27032
B,12859,240
R,12862,18454
B,12864,73
I,12866,26649
B,12869,107
R,12871,18544
B,12874,274
I,12876,26969
B,12878,148
R,12881,18299
B,12883,77
I,12885,26735
B,12888,238
R,12890,18627
B,12893,211
I,12895,26885
B,12897,118
R,12900,18260
B,12902,72
I,12904,26948
B,12907,317
R,12909,18587
B,12911,113
I,12914,26749
B,12916,108
R,12919,18310
B,12921,188
I,12923,27079
B,12926,256
R,12928,18477
B,12930,75
I,12933,26680
B,12935,109
R,12938,18505
B,12940,273
I,12942,27009
B,12945,161
R,12947,18320
B,12949,71
I,12952,26759
B,12954,219
R,12956,18626
B,12959,215
I,12961,26922
B,12964,112
R,12966,18256
B,12968,67
I,12971,26912
B,12973,316
R,12975,18584
B,12978,131
I,12980,26749
B,12983,110
R,12985,18332
B,12987,159
I,12990,27063
B,12992,266
R,12994,18519
B,12997,69
I,12999,26660
B,13001,106
R,13004,18468
B,13006,269
I,13009,27041
B,13011,180
R,13013,18310
B,13016,71
I,13018,26780
B,13020,187
R,13023,18611
B,13025,220
I,13027,26926
B,13030,108
R,13032,18236
B,13035,69
I,13037,26891
B,13039,316
R,13042,18567
B,13044,152
I,13046,26790
B,13049,116
R,13051,18266
B,13054,134
I,13056,27040
B,13058,273
R,13061,18487
B,13063,70
I,13065,26677
B,13068,107
R,13070,18422
B,13072,270
I,13075,27020
B,13077,204
R,13080,18329
B,13082,81
I,13084,26681
B,13087,166
R,13089,18576
B,13091,238
I,13094,26950
B,13096,111
R,13099,18252
B,13101,71
I,13103,26865
B,13106,298
R,13108,18593
B,13110,173
I,13113,26801
B,13115,116
R,13117,18311
B,13120,119
I,13122,27074
B,13125,287
R,13127,18523
B,13129,70
I,13132,26672
B,13134,112
R,13136,18410
B,13139,246
I,13141,27017
B,13143,219
R,13146,18344
B,13148,74
I,13151,26691
B,13153,142
R,13155,18554
B,13158,255
I,13160,26977
B,13162,114
R,13165,18244
B,13167,71
I,13170,26837
B,13172,280
R,13174,18594
B,13177,181
I,13179,26835
B,13181,112
R,13184,18289
B,13186,95
I,13188,26989
B,13191,295
R,13193,18504
B,13196,81
I,13198,26666
B,13200,107
R,13203,18356
B,13205,230
I,13207,27067
B,13210,227
R,13212,18367
B,13215,74
I,13217,26700
B,13219,130
R,13222,18559
B,13224,262
I,13226,27002
B,13229,128
R,13231,18265
B,13233,74
I,13236,26823
B,13238,269
R,13241,18573
B,13243,192
I,13245,26887
B,13248,113
R,13250,18225
B,13252,80
I,13255,26978
B,13257,305
R,13259,18536
B,13262,96
I,13264,26696
B,13267,113
R,13269,18321
B,13271,210
I,13274,27093
B,13276,240
R,13278,18400
B,13281,72
I,13283,26700
B,13286,114
R,13288,18455
B,13290,264
I,13293,27005
B,13295,145
R,13297,18249
B,13300,74
I,13302,26767
B,13304,245
R,13307,18600
B,13309,202
I,13312,26880
B,13314,109
R,13316,18245
B,13319,68
I,13321,26974
B,13323,310
R,13326,18523
B,13328,105
I,13331,26750
B,13333,115
R,13335,18299
B,13338,197
I,13340,27083
B,13342,251
R,13345,18397
B,13347,71
I,13349,26700
B,13352,107
R,13354,18428
B,13357,266
I,13359,27012
B,13361,162
R,13364,18288
B,13366,77
I,13368,26768
B,13371,226
R,13373,18533
B,13375,211
I,13378,26910
B,13380,110
R,13383,18214
B,13385,70
I,13387,26911
B,13390,316
R,13392,18497
B,13394,129
I,13397,26768
B,13399,110
R,13402,18328
B,13404,168
I,13406,27098
B,13409,264
R,13411,18430
B,13413,70
I,13416,26661
B,13418,104
R,13420,18394
B,13423,277
I,13425,27001
B,13428,183
R,13430,18251
B,13432,73
I,13435,26690
B,13437,197
R,13439,18494
B,13442,218
I,13444,26877
B,13447,119
R,13449,18130
B,13451,75
I,13454,26779
B,13456,307
R,13458,18422
B,13461,146
I,13463,26673
B,13465,111
R,13468,18149
B,13470,142
I,13473,26952
B,13475,271
R,13477,18346
B,13480,69
I,13482,26510
B,13484,103
R,13487,18270
B,13489,269
I,13492,26934
B,13494,202
R,13496,18220
B,13499,72
I,13501,26605
B,13503,168
R,13506,18450
B,13508,245
I,13510,26811
B,13513,111
R,13515,18112
B,13518,69
I,13520,26731
B,13522,300
R,13525,18487
B,13527,169
I,13529,26696
B,13532,115
R,13534,18168
B,13537,117
I,13539,26981
B,13541,280
R,13544,18393
B,13546,70
I,13548,26640
B,13551,109
R,13553,18258
B,13555,256
I,13558,26995
B,13560,222
R,13563,18261
B,13565,78
I,13567,26624
B,13570,148
R,13572,18438
B,13574,253
I,13577,26899
B,13579,116
R,13581,18137
B,13584,75
I,13586,26750
B,13589,290
R,13591,18437
B,13593,181
I,13596,26727
B,13598,112
R,13600,18173
B,13603,103
I,13605,26958
B,13608,295
R,13610,18432
B,13612,78
I,13615,26642
B,13617,105
R,13619,18221
B,13622,236
I,13624,26985
B,13626,235
R,13629,18280
B,13631,77
I,13634,26631
B,13636,130
R,13638,18460
B,13641,260
I,13643,26933
B,13645,130
R,13648,18161
B,13650,73
I,13653,26731
B,13655,272
R,13657,18490
B,13660,195
I,13662,26774
B,13664,111
R,13667,18136
B,13669,82
I,13671,26947
B,13674,303
R,13676,18408
B,13679,98
I,13681,26636
B,13683,112
R,13686,18193
B,13688,210
I,13690,27000
B,13693,248
R,13695,18269
B,13698,75
I,13700,26620
B,13702,115
R,13705,18368
B,13707,268
I,13709,26897
B,13712,144
R,13714,18184
B,13716,72
I,13719,26697
B,13721,241
R,13724,18435
B,13726,205
I,13728,26793
B,13731,115
R,13733,18118
B,13735,72
I,13738,26894
B,13740,318
R,13742,18384
B,13745,110
I,13747,26652
B,13750,116
R,13752,18144
B,13754,192
I,13757,26977
B,13759,251
R,13761,18284
B,13764,74
I,13766,26574
B,13769,109
R,13771,18303
B,13773,273
I,13776,26907
B,13778,157
R,13780,18110
B,13783,74
I,13785,26633
B,13787,229
R,13790,18417
B,13792,210
I,13795,26793
B,13797,113
R,13799,18095
B,13802,70
I,13804,26853
B,13806,320
R,13809,18377
B,13811,128
I,13814,26705
B,13816,111
R,13818,18129
B,13821,169
I,13823,26980
B,13825,258
R,13828,18341
B,13830,70
I,13832,26589
B,13835,105
R,13837,18301
B,13840,276
I,13842,26931
B,13844,171
R,13847,18158
B,13849,74
I,13851,26704
B,13854,202
R,13856,18407
B,13859,222
I,13861,26845
B,13863,109
R,13866,18080
B,13868,71
I,13870,26812
B,13873,312
R,13875,18383
B,13877,140
I,13880,26677
B,13882,114
R,13885,18098
B,13887,154
I,13889,26973
B,13892,266
R,13894,18318
B,13896,74
I,13899,26601
B,13901,104
R,13904,18264
B,13906,270
I,13908,26912
B,13911,190
R,13913,18156
B,13915,74
I,13918,26625
B,13920,176
R,13922,18377
B,13925,229
I,13927,26808
B,13930,110
R,13932,18044
B,13934,72
I,13937,26765
B,13939,306
R,13941,18344
B,13944,163
I,13946,26689
B,13949,113
R,13951,18037
B,13953,126
I,13956,26935
B,13958,278
R,13960,18302
B,13963,70
I,13965,26529
B,13967,108
R,13970,18168
B,13972,253
I,13975,26926
B,13977,211
R,13979,18129
B,13982,72
I,13984,26569
B,13986,149
R,13989,18384
B,13991,244
I,13993,26845
B,13996,117
R,13998,18051
B,14001,72
I,14003,26718
B,14005,287
R,14008,18358
B,14010,178
I,14012,26700
B,14015,114
R,14017,18029
B,14020,101
I,14022,26896
B,14024,300
R,14027,18305
B,14029,76
I,14031,26550
B,14034,111
R,14036,18161
B,14038,240
I,14041,26941
B,14043,226
R,14046,18117
B,14048,74
I,14050,26561
B,14053,137
R,14055,18321
B,14057,261
I,14060,26830
B,14062,124
R,14065,18030
B,14067,73
I,14069,26671
B,14072,273
R,14074,18303
B,14076,191
I,14079,26713
B,14081,119
R,14083,18002
B,14086,90
I,14088,26821
B,14091,304
R,14093,18274
B,14095,90
I,14098,26544
B,14100,107
R,14102,18084
B,14105,220
I,14107,26924
B,14109,238
R,14112,18146
B,14114,73
I,14117,26571
B,14119,115
R,14121,18270
B,14124,261
I,14126,26833
B,14128,139
R,14131,18022
B,14133,74
I,14135,26630
B,14138,253
R,14140,18360
B,14143,200
I,14145,26688
B,14147,115
R,14150,17965
B,14152,70
I,14154,26773
B,14157,310
R,14159,18269
B,14162,107
I,14164,26506
B,14166,112
R,14169,17988
B,14171,200
I,14173,26822
B,14176,249
R,14178,18114
B,14180,74
I,14183,26413
B,14185,112
R,14188,18163
B,14190,270
I,14192,26695
B,14195,154
R,14197,17943
B,14199,74
I,14202,26516
B,14204,232
R,14207,18260
B,14209,209
I,14211,26644
B,14214,116
R,14216,17872
B,14218,68
I,14221,26703
B,14223,316
R,14225,18221
B,14228,119
I,14230,26505
B,14233,110
R,14235,18034
B,14237,175
I,14240,26818
B,14242,261
R,14244,18154
B,14247,72
I,14249,26467
B,14252,105
R,14254,18174
B,14256,275
I,14259,26795
B,14261,175
R,14263,17997
B,14266,76
I,14268,26551
B,14270,197
R,14273,18272
B,14275,223
I,14278,26732
B,14280,113
R,14282,17929
B,14285,71
I,14287,26723
B,14289,315
R,14292,18265
B,14294,141
I,14296,26555
B,14299,110
R,14301,18012
B,14304,156
I,14306,26885
B,14308,267
R,14311,18180
B,14313,71
I,14315,26469
B,14318,108
R,14320,18154
B,14323,271
I,14325,26850
B,14327,201
R,14330,18063
B,14332,74
I,14334,26545
B,14337,177
R,14339,18295
B,14341,231
I,14344,26778
B,14346,110
R,14349,17977
B,14351,72
I,14353,26682
B,14356,307
R,14358,18310
B,14360,163
I,14363,26625
B,14365,107
R,14368,17992
B,14370,130
I,14372,26881
B,14375,278
R,14377,18197
B,14379,71
I,14382,26518
B,14384,108
R,14386,18108
B,14389,258
I,14391,26870
B,14394,210
R,14396,18076
B,14398,74
I,14401,26539
B,14403,155
R,14405,18278
B,14408,249
I,14410,26787
B,14413,112
R,14415,17987
B,14417,75
I,14420,26684
B,14422,293
R,14424,18278
B,14427,184
I,14429,26633
B,14431,113
R,14434,17980
B,14436,106
I,14439,26871
B,14441,297
R,14443,18162
B,14446,78
I,14448,26489
B,14450,111
R,14453,18082
B,14455,244
I,14457,26888
B,14460,224
R,14462,18081
B,14465,72
I,14467,26585
B,14469,140
R,14472,18257
B,14474,257
I,14476,26798
B,14479,124
R,14481,17932
B,14484,74
I,14486,26642
B,14488,279
R,14491,18270
B,14493,187
I,14495,26694
B,14498,109
R,14500,17956
B,14502,91
I,14505,26828
B,14507,303
R,14510,18207
B,14512,88
I,14514,26527
B,14517,119
R,14519,18049
B,14521,228
I,14524,26905
B,14526,233
R,14529,18098
B,14531,72
I,14533,26487
B,14536,126
R,14538,18236
B,14540,271
I,14543,26810
B,14545,140
R,14547,17999
B,14550,74
I,14552,26662
B,14555,251
R,14557,18300
B,14559,195
I,14562,26740
B,14564,115
R,14566,17964
B,14569,73
I,14571,26806
B,14573,310
R,14576,18254
B,14578,104
I,14581,26595
B,14583,110
R,14585,18022
B,14588,203
I,14590,26923
B,14592,246
R,14595,18146
B,14597,77
I,14600,26540
B,14602,111
R,14604,18180
B,14607,271
I,14609,26855
B,14611,155
R,14614,17971
B,14616,78
I,14618,26585
B,14621,230
R,14623,18307
B,14626,213
I,14628,26717
B,14630,116
R,14633,17936
B,14635,70
I,14637,26775
B,14640,320
R,14642,18218
B,14645,121
I,14647,26598
B,14649,118
R,14652,17963
B,14654,180
I,14656,26928
B,14659,257
R,14661,18139
B,14663,72
I,14666,26492
B,14668,108
R,14671,18168
B,14673,270
I,14675,26816
B,14678,171
R,14680,17950
B,14682,70
I,14685,26638
B,14687,216
R,14689,18250
B,14692,216
I,14694,26763
B,14697,111
R,14699,17919
B,14701,69
I,14704,26751
B,14706,306
R,14708,18262
B,14711,139
I,14713,26635
B,14716,108
R,14718,17965
B,14720,154
I,14723,26935
B,14725,262
R,14727,18111
B,14730,72
I,14732,26554
B,14734,105
R,14737,18159
B,14739,274
I,14742,26858
B,14744,195
R,14746,18023
B,14749,74
I,14751,26599
B,14753,182
R,14756,18256
B,14758,230
I,14761,26787
B,14763,111
R,14765,17881
B,14768,71
I,14770,26695
B,14772,311
R,14775,18235
B,14777,153
I,14779,26623
B,14782,111
R,14784,17942
B,14787,129
I,14789,26919
B,14791,275
R,14794,18177
B,14796,72
I,14798,26537
B,14801,110
R,14803,18058
B,14806,258
I,14808,26849
B,14810,214
R,14813,18043
B,14815,77
I,14817,26545
B,14820,158
R,14822,18248
B,14824,238
I,14827,26816
B,14829,113
R,14832,17895
B,14834,77
I,14836,26695
B,14839,287
R,14841,18244
B,14843,178
I,14846,26688
B,14848,112
R,14850,17961
B,14853,109
I,14855,26891
B,14858,293
R,14860,18179
B,14862,74
I,14865,26505
B,14867,103
R,14869,18021
B,14872,246
I,14874,26862
B,14877,223
R,14879,18029
B,14881,74
I,14884,26572
B,14886,139
R,14888,18215
B,14891,257
I,14893,26830
B,14895,120
R,14898,17906
B,14900,77
I,14903,26672
B,14905,278
R,14907,18259
B,14910,185
I,14912,26682
B,14914,115
R,14917,17953
B,14919,94
I,14922,26847
B,14924,303
R,14926,18144
B,14929,86
I,14931,26536
B,14933,113
R,14936,18007
B,14938,234
I,14940,26943
B,14943,229
R,14945,18072
B,14948,78
I,14950,26573
B,14952,119
R,14955,18201
B,14957,264
I,14959,26805
B,14962,133
R,14964,17942
B,14966,72
I,14969,26634
B,14971,262
R,14974,18215
B,14976,194
I,14978,26709
B,14981,116
R,14983,17887
B,14985,77
I,14988,26807
B,14990,315
R,14993,18162
B,14995,98
I,14997,26490
B,15000,113
R,15002,17946
B,15004,204
I,15007,26863
B,15009,244
R,15011,18019
B,15014,73
I,15016,26473
B,15019,112
R,15021,18072
B,15023,271
I,15026,26749
B,15028,147
R,15030,17807
B,15033,71
I,15035,26492
B,15038,239
R,15040,18188
B,15042,207
I,15045,26636
B,15047,112
R,15049,17810
B,15052,68
I,15054,26672
B,15056,315
R,15059,18093
B,15061,117
I,15064,26467
B,15066,110
R,15068,17870
B,15071,188
I,15073,26745
B,15075,256
R,15078,18004
B,15080,71
I,15082,26396
B,15085,110
R,15087,18024
B,15090,273
I,15092,26721
B,15094,163
R,15097,17881
B,15099,74
I,15101,26492
B,15104,221
R,15106,18154
B,15109,215
I,15111,26679
B,15113,113
R,15116,17805
B,15118,70
I,15120,26641
B,15123,313
R,15125,18111
B,15127,131
I,15130,26533
B,15132,113
R,15135,17892
B,15137,157
I,15139,26854
B,15142,261
R,15144,18024
B,15146,74
I,15149,26440
B,15151,105
R,15154,18052
B,15156,275
I,15158,26809
B,15161,182
R,15163,17910
B,15165,73
I,15168,26581
B,15170,196
R,15172,18209
B,15175,224
I,15177,26736
B,15180,119
R,15182,17825
B,15184,69
I,15187,26668
B,15189,309
R,15191,18182
B,15194,154
I,15196,26605
B,15199,110
R,15201,17890
B,15203,133
I,15206,26836
B,15208,274
R,15210,18067
B,15213,71
I,15215,26496
B,15217,106
R,15220,18029
B,15222,258
I,15225,26854
B,15227,202
R,15229,17945
B,15232,76
I,15234,26542
B,15236,159
R,15239,18187
B,15241,239
I,15243,26776
B,15246,112
R,15248,17835
B,15251,72
I,15253,26663
B,15255,293
R,15258,18203
B,15260,168
I,15262,26621
B,15265,118
R,15267,17889
B,15270,113
I,15272,26879
B,15274,293
R,15277,18119
B,15279,77
I,15281,26515
B,15284,111
R,15286,17970
B,15289,249
I,15291,26852
B,15293,216
R,15296,17926
B,15298,75
I,15300,26490
B,15303,142
R,15305,18132
B,15307,254
I,15310,26792
B,15312,121
R,15315,17814
B,15317,69
I,15319,26630
B,15322,284
R,15324,18165
B,15326,184
I,15329,26656
B,15331,112
R,15333,17867
B,15336,94
I,15338,26771
B,15341,300
R,15343,18077
B,15345,80
I,15348,26478
B,15350,111
R,15352,17952
B,15355,232
I,15357,26857
B,15360,229
R,15362,17979
B,15364,75
I,15367,26500
B,15369,127
R,15371,18105
B,15374,265
I,15376,26804
B,15378,133
R,15381,17837
B,15383,73
I,15386,26653
B,15388,259
R,15390,18164
B,15393,192
I,15395,26702
B,15397,113
R,15400,17813
B,15402,77
I,15404,26757
B,15407,308
R,15409,18144
B,15412,98
I,15414,26524
B,15416,110
R,15419,17911
B,15421,208
I,15423,26902
B,15426,240
R,15428,17974
B,15431,74
I,15433,26519
B,15435,109
R,15438,18084
B,15440,267
I,15442,26811
B,15445,139
R,15447,17846
B,15449,71
I,15452,26632
B,15454,240
R,15457,18158
B,15459,202
I,15461,26718
B,15464,121
R,15466,17784
B,15468,70
I,15471,26795
B,15473,321
R,15476,18124
B,15478,110
I,15480,26579
B,15483,107
R,15485,17875
B,15487,198
I,15490,26893
B,15492,243
R,15494,17985
B,15497,72
I,15499,26531
B,15502,107
R,15504,18070
B,15506,276
I,15509,26823
B,15511,157
R,15513,17895
B,15516,72
I,15518,26612
B,15521,222
R,15523,18184
B,15525,213
I,15528,26711
B,15530,112
R,15532,17812
B,15535,67
I,15537,26762
B,15539,316
R,15542,18145
B,15544,129
I,15547,26575
B,15549,111
R,15551,17912
B,15554,166
I,15556,26896
B,15558,261
R,15561,18008
B,15563,68
I,15565,26534
B,15568,110
R,15570,18025
B,15573,278
I,15575,26846
B,15577,181
R,15580,17903
B,15582,76
I,15584,26579
B,15587,189
R,15589,18170
B,15592,223
I,15594,26765
B,15596,116
R,15599,17829
B,15601,70
I,15603,26756
B,15606,305
R,15608,18168
B,15610,149
I,15613,26644
B,15615,111
R,15618,17892
B,15620,137
I,15622,26882
B,15625,274
R,15627,18051
B,15629,74
I,15632,26523
B,15634,109
R,15637,17982
B,15639,265
