,TAG,Value,Time
0,B,0,402
1,R,40985,403
2,B,0,404
3,I,44681,405
4,B,0,406
5,R,40947,406
6,B,0,407
7,I,44732,408
8,B,0,409
9,R,40982,410
10,B,0,411
11,I,44697,411
12,B,0,412
13,R,40982,413
14,B,0,414
15,I,44796,415
16,B,0,416
17,R,40982,417
18,B,0,418
19,I,44787,418
20,B,0,419
21,R,41078,420
22,B,0,421
23,I,44678,422
24,B,0,423
25,R,41072,423
26,B,0,424
27,I,44828,425
28,B,0,426
29,R,40960,427
30,B,0,428
31,I,44707,429
32,B,0,430
33,R,41040,430
34,B,0,431
35,I,44726,432
36,B,0,433
37,R,41072,434
38,B,0,435
39,I,44758,435
40,B,0,436
41,R,41065,437
42,B,0,438
43,I,44796,439
44,B,0,440
45,R,40998,441
46,B,0,442
47,I,44883,442
48,B,0,443
49,R,41046,444
50,B,0,445
51,I,44739,446
52,B,0,447
53,R,41078,447
54,B,0,448
55,I,44726,449
56,B,0,450
57,R,41011,451
58,B,0,452
59,I,44822,453
60,B,0,454
61,R,41008,454
62,B,0,455
63,I,44908,456
64,B,0,457
65,R,41091,458
66,B,0,459
67,I,44780,459
68,B,0,460
69,R,41065,461
70,B,0,462
71,I,44720,463
72,B,0,464
73,R,41078,465
74,B,0,466
75,I,44822,466
76,B,0,467
77,R,40998,468
78,B,0,469
79,I,44768,470
80,B,0,471
81,R,40998,471
82,B,0,472
83,I,44924,473
84,B,0,474
85,R,40947,475
86,B,0,476
87,I,44764,477
88,B,0,478
89,R,40992,478
90,B,0,479
91,I,44844,480
92,B,0,481
93,R,41033,482
94,B,0,483
95,I,44838,483
96,B,0,484
97,R,41116,485
98,B,0,486
99,I,44787,487
100,B,0,488
101,R,41126,489
102,B,0,490
103,I,44809,490
104,B,0,491
105,R,41091,492
106,B,0,493
107,I,44851,494
108,B,0,495
109,R,41017,495
110,B,0,496
111,I,44873,497
112,B,0,498
113,R,41033,499
114,B,0,500
115,I,44819,501
116,B,0,502
117,R,41120,502
118,B,0,503
119,I,44854,504
120,B,0,505
121,R,41113,506
122,B,0,507
123,I,44892,507
124,B,0,508
125,R,41024,509
126,B,0,510
127,I,44867,511
128,B,0,512
129,R,41132,513
130,B,0,514
131,I,44803,514
132,B,0,515
133,R,41132,516
134,B,0,517
135,I,44889,518
136,B,0,519
137,R,41171,519
138,B,0,520
139,I,44886,521
140,B,0,522
141,R,41040,523
142,B,0,524
143,I,44870,525
144,B,0,526
145,R,41152,526
146,B,0,527
147,I,44793,528
148,B,0,529
149,R,41139,530
150,B,0,531
151,I,44867,531
152,B,0,532
153,R,41043,533
154,B,0,534
155,I,44816,535
156,B,0,536
157,R,41097,537
158,B,0,538
159,I,44857,538
160,B,0,539
161,R,41139,540
162,B,0,541
163,I,44835,542
164,B,0,543
165,R,41164,543
166,B,0,544
167,I,44908,545
168,B,0,546
169,R,41190,547
170,B,0,548
171,I,44860,549
172,B,0,550
173,R,41145,550
174,B,0,551
175,I,44876,552
176,B,0,553
177,R,41161,554
178,B,0,555
179,I,44870,555
180,B,0,556
181,R,41155,557
182,B,0,558
183,I,44915,559
184,B,0,560
185,R,41110,561
186,B,0,562
187,I,44905,562
188,B,0,563
189,R,41209,564
190,B,0,565
191,I,44844,566
192,B,0,567
193,R,41094,567
194,B,0,568
195,I,44835,569
196,B,0,570
197,R,41040,571
198,B,0,572
199,I,44851,573
200,B,0,574
201,R,41046,574
202,B,0,575
203,I,44857,576
204,B,0,577
205,R,41020,578
206,B,0,579
207,I,44806,579
208,B,0,580
209,R,41158,581
210,B,0,582
211,I,44796,583
212,B,0,584
213,R,41065,585
214,B,0,586
215,I,44876,586
216,B,0,587
217,R,41008,588
218,B,0,589
219,I,44758,590
220,B,0,591
221,R,41142,591
222,B,0,592
223,I,44796,593
224,B,0,594
225,R,41136,595
226,B,0,596
227,I,44800,597
228,B,0,598
229,R,40998,598
230,B,0,599
231,I,44851,600
232,B,0,601
233,R,41062,602
234,B,0,603
235,I,44870,603
236,B,0,604
237,R,41116,605
238,B,0,606
239,I,44889,607
240,B,0,608
241,R,41129,609
242,B,0,610
243,I,44780,610
244,B,0,611
245,R,41116,612
246,B,0,613
247,I,44854,614
248,B,0,615
249,R,41065,615
250,B,0,616
251,I,44828,617
252,B,0,618
253,R,41139,619
254,B,0,620
255,I,44816,621
256,B,0,622
257,R,41164,622
258,B,0,623
259,I,44832,624
260,B,0,625
261,R,41020,626
262,B,0,627
263,I,44726,627
264,B,0,628
265,R,41011,629
266,B,0,630
267,I,44774,631
268,B,0,632
269,R,41001,633
270,B,0,634
271,I,44739,634
272,B,0,635
273,R,41072,636
274,B,0,637
275,I,44777,638
276,B,0,639
277,R,41062,639
278,B,0,640
279,I,44838,641
280,B,0,642
281,R,41011,643
282,B,0,644
283,I,44771,645
284,B,0,646
285,R,41129,646
286,B,0,647
287,I,44758,648
288,B,0,649
289,R,40972,650
290,B,0,651
291,I,44832,651
292,B,0,652
293,R,41030,653
294,B,0,654
295,I,44764,655
296,B,0,656
297,R,41126,657
298,B,0,658
299,I,44752,658
300,B,0,659
301,R,41139,660
302,B,0,661
303,I,44729,662
304,B,0,663
305,R,41107,663
306,B,0,664
307,I,44752,665
308,B,0,666
309,R,41116,667
310,B,0,668
311,I,44806,669
312,B,0,670
313,R,41043,670
314,B,0,671
315,I,44761,672
316,B,0,673
317,R,41113,674
318,B,0,675
319,I,44752,675
320,B,0,676
321,R,41075,677
322,B,0,678
323,I,44841,679
324,B,0,680
325,R,41049,681
326,B,0,682
327,I,44889,682
328,B,0,683
329,R,41136,684
330,B,0,685
331,I,44716,686
332,B,0,687
333,R,41059,687
334,B,0,688
335,I,44761,689
336,B,0,690
337,R,41145,691
338,B,0,692
339,I,44832,693
340,B,0,694
341,R,41081,694
342,B,0,695
343,I,44800,696
344,B,0,697
345,R,41027,698
346,B,0,699
347,I,44771,699
348,B,0,700
349,R,41155,701
350,B,0,702
351,I,44777,703
352,B,0,704
353,R,41132,705
354,B,0,706
355,I,44867,706
356,B,0,707
357,R,41046,708
358,B,0,709
359,I,44745,710
360,B,0,711
361,R,41184,711
362,B,0,712
363,I,44934,713
364,B,0,714
365,R,41164,715
366,B,0,716
367,I,44764,717
368,B,0,718
369,R,41168,718
370,B,0,719
371,I,44758,720
372,B,0,721
373,R,41091,722
374,B,0,723
375,I,44876,723
376,B,0,724
377,R,41184,725
378,B,0,726
379,I,44841,727
380,B,0,728
381,R,41116,729
382,B,0,730
383,I,44790,730
384,B,0,731
385,R,41171,732
386,B,0,733
387,I,44816,734
388,B,0,735
389,R,41094,735
390,B,0,736
391,I,44822,737
392,B,0,738
393,R,41171,739
394,B,0,740
395,I,44806,741
396,B,0,742
397,R,41235,742
398,B,0,743
399,I,44780,744
400,B,0,745
401,R,41142,746
402,B,0,747
403,I,44892,747
404,B,0,748
405,R,41107,749
406,B,0,750
407,I,44934,751
408,B,0,752
409,R,41196,753
410,B,0,754
411,I,44774,754
412,B,0,755
413,R,41123,756
414,B,0,757
415,I,44944,758
416,B,0,759
417,R,41123,759
418,B,0,760
419,I,44873,761
420,B,0,762
421,R,41161,763
422,B,0,764
423,I,44876,765
424,B,0,766
425,R,41075,766
426,B,0,767
427,I,44841,768
428,B,0,769
429,R,41168,770
430,B,0,771
431,I,44950,771
432,B,0,772
433,R,41078,773
434,B,0,774
435,I,44931,775
436,B,0,776
437,R,41193,777
438,B,0,778
439,I,44844,778
440,B,0,779
441,R,41212,780
442,B,0,781
443,I,44873,782
444,B,0,783
445,R,41158,783
446,B,0,784
447,I,44924,785
448,B,0,786
449,R,41238,787
450,B,0,788
451,I,44848,789
452,B,0,790
453,R,41180,790
454,B,0,791
455,I,44812,792
