TAG,Time,Value
B,10429,314
R,10432,23998
B,10434,169
I,10437,39036
B,10439,130
R,10441,23666
B,10444,111
I,10446,39232
B,10448,311
R,10451,23946
B,10453,75
I,10455,38862
B,10458,123
R,10460,23795
B,10463,249
I,10465,39256
B,10467,241
R,10470,23801
B,10472,74
I,10474,38917
B,10477,157
R,10479,23976
B,10482,263
I,10484,39225
B,10486,133
R,10489,23695
B,10491,71
I,10493,39050
B,10496,290
R,10498,24043
B,10500,184
I,10503,39078
B,10505,123
R,10508,23711
B,10510,94
I,10512,39265
B,10515,317
R,10517,23971
B,10519,85
I,10522,38959
B,10524,128
R,10527,23807
B,10529,234
I,10531,39337
B,10534,252
R,10536,23874
B,10538,74
I,10541,39001
B,10543,143
R,10545,23965
B,10548,273
I,10550,39264
B,10553,146
R,10555,23720
B,10557,73
I,10560,39079
B,10562,286
R,10564,24060
B,10567,199
I,10569,39158
B,10572,133
R,10574,23685
B,10576,81
I,10579,39279
B,10581,333
R,10583,24017
B,10586,99
I,10588,38983
B,10590,129
R,10593,23795
B,10595,214
I,10598,39401
B,10600,265
R,10602,23911
B,10605,75
I,10607,38974
B,10609,125
R,10612,24000
B,10614,274
I,10617,39342
B,10619,163
R,10621,23773
B,10624,79
I,10626,39104
B,10628,257
R,10631,24107
B,10633,209
I,10635,39230
B,10638,126
R,10640,23714
B,10643,70
I,10645,39276
B,10647,349
R,10650,23991
B,10652,114
I,10654,39068
B,10657,125
R,10659,23786
B,10661,194
I,10664,39441
B,10666,274
R,10669,23961
B,10671,76
I,10673,38985
B,10676,120
R,10678,23969
B,10680,277
I,10683,39383
B,10685,187
R,10688,23777
B,10690,76
I,10692,39122
B,10695,241
R,10697,24074
B,10699,220
I,10702,39298
B,10704,130
R,10706,23732
B,10709,70
I,10711,39233
B,10714,329
R,10716,24070
B,10718,130
I,10721,39069
B,10723,122
R,10725,23754
B,10728,176
I,10730,39406
B,10733,282
R,10735,23934
B,10737,73
I,10740,39046
B,10742,122
R,10744,23921
B,10747,278
I,10749,39360
B,10751,200
R,10754,23736
B,10756,75
I,10759,39002
B,10761,209
R,10763,24025
B,10766,227
I,10768,39212
B,10770,127
R,10773,23645
B,10775,70
I,10778,39181
B,10780,331
R,10782,24003
B,10785,152
I,10787,39049
B,10789,127
R,10792,23677
B,10794,140
I,10796,39346
B,10799,292
R,10801,23882
B,10804,76
I,10806,38935
B,10808,129
R,10811,23812
B,10813,270
I,10815,39272
B,10818,219
R,10820,23693
B,10823,74
I,10825,38953
B,10827,182
R,10830,23949
B,10832,245
I,10834,39213
B,10837,128
R,10839,23581
B,10841,76
I,10844,39067
B,10846,321
R,10849,23928
B,10851,172
I,10853,39050
B,10856,125
R,10858,23603
B,10860,115
I,10863,39243
B,10865,307
R,10867,23902
B,10870,72
I,10872,38883
B,10875,127
R,10877,23747
B,10879,251
I,10882,39302
B,10884,239
R,10886,23693
B,10889,76
I,10891,38931
B,10894,171
R,10896,23922
B,10898,261
