TAG,Value,Time
B,64542,150
R,64545,23903
B,64547,82
I,64549,36151
B,64552,157
R,64554,23954
B,64556,91
I,64559,36196
B,64561,144
R,64563,23899
B,64566,92
I,64568,36207
B,64571,154
R,64573,23926
B,64575,89
I,64578,36215
B,64580,138
R,64582,23908
B,64585,101
I,64587,36221
B,64589,149
R,64592,23926
B,64594,91
I,64597,36215
B,64599,147
R,64601,23937
B,64604,103
I,64606,36209
B,64608,145
R,64611,23917
B,64613,83
I,64616,36190
B,64618,161
R,64620,23926
B,64623,92
I,64625,36184
B,64627,139
R,64630,23883
B,64632,89
I,64634,36210
B,64637,157
R,64639,23896
B,64642,90
I,64644,36183
B,64646,139
R,64649,23904
B,64651,102
I,64653,36222
B,64656,144
R,64658,23931
B,64660,89
I,64663,36160
B,64665,148
R,64668,23924
B,64670,101
I,64672,36244
B,64675,150
R,64677,23850
B,64679,85
I,64682,36142
B,64684,155
R,64687,23971
B,64689,89
I,64691,36186
B,64694,144
R,64696,23901
B,64698,88
I,64701,36184
B,64703,158
R,64705,23905
B,64708,92
I,64710,36199
B,64713,140
R,64715,23879
B,64717,103
I,64720,36188
B,64722,144
R,64724,23881
B,64727,93
I,64729,36119
B,64731,140
R,64734,23858
B,64736,107
I,64739,36108
B,64741,148
R,64743,23858
B,64746,84
I,64748,36072
B,64750,150
R,64753,23821
B,64755,92
I,64758,36072
B,64760,140
R,64762,23827
B,64765,88
I,64767,36029
B,64769,156
R,64772,23799
B,64774,93
I,64776,36067
B,64779,137
R,64781,23827
B,64784,98
I,64786,36039
B,64788,145
R,64791,23815
B,64793,87
I,64795,36047
B,64798,142
R,64800,23847
B,64802,107
I,64805,36089
B,64807,148
R,64810,23806
B,64812,86
I,64814,36035
B,64817,162
R,64819,23880
B,64821,96
I,64824,36092
B,64826,147
R,64829,23808
B,64831,85
I,64833,36040
B,64836,160
R,64838,23816
B,64840,90
I,64843,36042
B,64845,143
R,64847,23826
B,64850,96
I,64852,36121
B,64855,149
R,64857,23814
B,64859,91
I,64862,36082
B,64864,141
R,64866,23813
B,64869,108
I,64871,36138
B,64874,152
R,64876,23795
B,64878,86
I,64881,36075
B,64883,160
R,64885,23798
B,64888,97
I,64890,36078
B,64892,146
R,64895,23813
B,64897,82
I,64900,36096
B,64902,154
R,64904,23843
B,64907,92
I,64909,36095
B,64911,141
R,64914,23856
B,64916,96
I,64918,36095
B,64921,156
R,64923,23797
B,64926,88
I,64928,36082
B,64930,132
R,64933,23818
B,64935,102
I,64937,36121
B,64940,145
R,64942,23820
B,64945,81
I,64947,36123
B,64949,144
R,64952,23848
B,64954,97
I,64956,36132
B,64959,143
R,64961,23840
B,64963,81
I,64966,36103
