TAG,Value,Time
B,67932,140
R,67934,23441
B,67936,105
I,67939,36004
B,67941,144
R,67943,23426
B,67946,71
I,67948,35967
B,67951,160
R,67953,23429
B,67955,88
I,67958,36007
B,67960,138
R,67962,23439
B,67965,79
I,67967,35999
B,67969,162
R,67972,23418
B,67974,83
I,67977,35988
B,67979,121
R,67981,23420
B,67984,101
I,67986,36073
B,67988,153
R,67991,23472
B,67993,83
I,67996,35983
B,67998,135
R,68000,23448
B,68003,110
I,68005,36030
B,68007,145
R,68010,23401
B,68012,71
I,68014,35980
B,68017,158
R,68019,23420
B,68022,96
I,68024,35932
B,68026,134
R,68029,23383
B,68031,81
I,68033,35977
B,68036,160
R,68038,23436
B,68040,88
I,68043,35945
B,68045,126
R,68048,23425
B,68050,96
I,68052,35962
B,68055,147
R,68057,23452
B,68059,82
I,68062,35975
B,68064,135
R,68067,23412
B,68069,113
I,68071,36034
B,68074,144
R,68076,23398
B,68078,75
I,68081,35936
B,68083,152
R,68085,23433
B,68088,99
I,68090,35991
B,68093,136
R,68095,23384
B,68097,82
I,68100,36009
B,68102,158
R,68104,23357
B,68107,95
I,68109,35970
B,68111,130
R,68114,23391
B,68116,100
I,68119,36014
B,68121,154
R,68123,23397
B,68126,86
I,68128,35963
B,68130,133
R,68133,23383
B,68135,105
I,68138,36008
B,68140,145
R,68142,23383
B,68145,77
I,68147,35929
B,68149,153
R,68152,23414
B,68154,103
I,68156,35948
B,68159,133
R,68161,23391
B,68164,81
I,68166,35890
B,68168,163
R,68171,23367
B,68173,89
I,68175,35875
B,68178,127
R,68180,23314
B,68182,85
I,68185,35886
B,68187,156
R,68190,23327
B,68192,83
I,68194,35830
B,68197,130
R,68199,23309
B,68201,104
I,68204,35876
B,68206,146
R,68209,23296
B,68211,73
I,68213,35836
B,68216,143
R,68218,23310
B,68220,101
I,68223,35886
B,68225,139
R,68227,23344
B,68230,75
I,68232,35802
B,68235,160
R,68237,23356
B,68239,91
I,68242,35820
B,68244,132
R,68246,23324
B,68249,84
I,68251,35855
B,68254,158
R,68256,23301
B,68258,90
I,68261,35845
B,68263,127
R,68265,23367
B,68268,107
I,68270,35921
B,68272,154
R,68275,23345
B,68277,82
I,68280,35847
B,68282,143
R,68284,23351
B,68287,107
I,68289,35924
B,68291,143
R,68294,23329
B,68296,72
I,68298,35886
B,68301,159
R,68303,23358
B,68306,92
I,68308,35909
B,68310,137
R,68313,23366
B,68315,84
I,68317,35893
B,68320,162
R,68322,23346
B,68325,87
I,68327,35872
B,68329,131
R,68332,23360
B,68334,100
I,68336,35947
B,68339,142
R,68341,23374
B,68343,83
I,68346,35922
B,68348,134
R,68351,23328
B,68353,105
I,68355,35953
B,68358,138
R,68360,23332
B,68362,80
I,68365,35946
B,68367,155
R,68369,23345
B,68372,91
I,68374,35879
B,68377,134
R,68379,23395
B,68381,81
I,68384,35918
B,68386,168
R,68388,23354
B,68391,90
I,68393,35890
B,68396,137
R,68398,23337
B,68400,98
I,68403,35936
B,68405,146
R,68407,23381
B,68410,89
I,68412,35859
B,68414,145
R,68417,23346
B,68419,109
I,68422,35939
B,68424,147
R,68426,23336
B,68429,80
I,68431,35890
B,68433,154
R,68436,23359
B,68438,96
I,68440,35919
B,68443,139
R,68445,23348
B,68448,82
I,68450,35908
B,68452,157
R,68455,23313
B,68457,90
I,68459,35888
B,68462,140
R,68464,23338
B,68466,94
I,68469,35927
B,68471,156
R,68474,23317
B,68476,86
I,68478,35921
B,68481,143
R,68483,23334
B,68485,100
I,68488,35934
B,68490,147
R,68493,23320
B,68495,82
I,68497,35887
B,68500,149
R,68502,23330
B,68504,93
I,68507,35921
B,68509,144
R,68511,23327
B,68514,81
I,68516,35894
B,68519,149
R,68521,23335
B,68523,91
I,68526,35893
B,68528,136
R,68530,23283
B,68533,94
I,68535,35919
B,68537,151
R,68540,23346
B,68542,85
I,68545,35914
B,68547,132
R,68549,23325
B,68552,103
I,68554,35961
B,68556,144
R,68559,23357
B,68561,88
I,68564,35899
B,68566,147
R,68568,23325
B,68571,99
I,68573,35954
B,68575,141
R,68578,23311
B,68580,83
I,68582,35933
B,68585,152
R,68587,23337
B,68590,84
I,68592,35944
B,68594,136
R,68597,23323
B,68599,87
I,68601,35928
B,68604,158
R,68606,23320
B,68608,85
I,68611,35936
B,68613,142
R,68616,23302
B,68618,99
I,68620,35925
B,68623,144
R,68625,23322
B,68627,86
I,68630,35894
B,68632,142
R,68635,23361
B,68637,100
I,68639,35965
B,68642,142
R,68644,23340
B,68646,82
I,68649,35918
B,68651,154
R,68653,23309
B,68656,90
I,68658,35917
B,68661,145
R,68663,23297
B,68665,87
I,68668,35928
B,68670,161
R,68672,23359
B,68675,88
I,68677,35913
B,68679,136
R,68682,23335
B,68684,101
I,68687,35995
B,68689,148
R,68691,23344
B,68694,84
I,68696,35882
B,68698,136
R,68701,23339
B,68703,100
I,68706,35988
B,68708,141
R,68710,23304
B,68713,79
I,68715,35946
B,68717,150
R,68720,23312
B,68722,86
I,68724,35942
B,68727,135
R,68729,23301
B,68732,83
I,68734,35937
B,68736,153
R,68739,23345
B,68741,89
I,68743,35924
B,68746,131
R,68748,23345
B,68751,94
I,68753,35954
B,68755,144
R,68758,23360
B,68760,84
I,68762,35940
B,68765,140
R,68767,23317
B,68769,103
I,68772,35970
B,68774,140
R,68777,23340
B,68779,79
I,68781,35965
B,68784,154
R,68786,23372
B,68788,90
I,68791,35952
B,68793,140
R,68795,23270
B,68798,82
I,68800,35935
B,68803,155
R,68805,23364
B,68807,91
I,68810,35936
B,68812,136
R,68814,23312
B,68817,97
I,68819,35967
B,68822,150
R,68824,23333
B,68826,87
I,68829,35962
B,68831,142
R,68833,23353
B,68836,102
I,68838,35959
B,68840,148
R,68843,23332
B,68845,83
I,68848,35959
B,68850,153
R,68852,23335
B,68855,93
I,68857,35960
B,68859,140
R,68862,23308
B,68864,84
I,68867,35984
B,68869,154
R,68871,23313
B,68874,90
I,68876,35950
B,68878,139
R,68881,23338
B,68883,90
I,68885,35974
B,68888,144
R,68890,23342
B,68893,85
I,68895,35947
B,68897,136
R,68900,23306
B,68902,101
I,68904,35997
B,68907,142
R,68909,23356
B,68911,86
I,68914,35922
B,68916,151
R,68919,23344
B,68921,93
I,68923,35985
B,68926,141
R,68928,23375
B,68930,78
I,68933,35932
B,68935,155
R,68938,23347
B,68940,87
I,68942,35949
B,68945,139
R,68947,23303
B,68949,87
I,68952,35971
B,68954,149
R,68956,23319
B,68959,89
I,68961,35996
B,68964,140
R,68966,23307
B,68968,99
I,68971,35975
B,68973,143
R,68975,23343
B,68978,81
I,68980,36008
B,68982,149
R,68985,23348
B,68987,97
I,68990,35996
B,68992,146
R,68994,23299
B,68997,79
I,68999,35952
B,69001,155
R,69004,23349
B,69006,92
I,69008,35906
B,69011,138
R,69013,23283
B,69016,89
I,69018,35948
B,69020,162
R,69023,23279
B,69025,90
I,69027,35978
B,69030,130
R,69032,23296
B,69035,97
I,69037,35901
B,69039,141
R,69042,23252
B,69044,87
I,69046,35857
B,69049,144
R,69051,23264
B,69053,107
I,69056,35882
B,69058,141
R,69061,23241
B,69063,78
I,69065,35851
B,69068,154
R,69070,23268
B,69072,93
I,69075,35854
B,69077,143
R,69079,23243
B,69082,87
I,69084,35848
B,69087,155
R,69089,23274
B,69091,90
I,69094,35844
B,69096,132
R,69098,23258
B,69101,101
I,69103,35947
B,69106,149
R,69108,23280
B,69110,86
I,69113,35829
B,69115,141
R,69117,23283
B,69120,104
I,69122,35922
B,69124,148
R,69127,23292
B,69129,81
I,69132,35888
B,69134,154
R,69136,23323
B,69139,94
I,69141,35909
B,69143,142
R,69146,23276
B,69148,87
I,69150,35928
B,69153,159
R,69155,23277
B,69158,89
I,69160,35936
B,69162,134
R,69165,23305
B,69167,94
I,69169,35939
B,69172,143
R,69174,23282
B,69177,84
I,69179,35941
B,69181,143
R,69184,23320
B,69186,104
I,69188,35993
B,69191,145
R,69193,23280
B,69195,81
I,69198,35924
B,69200,151
R,69203,23339
B,69205,94
I,69207,35942
B,69210,150
R,69212,23308
B,69214,87
I,69217,35959
B,69219,162
R,69221,23288
B,69224,93
I,69226,35940
B,69229,142
R,69231,23290
B,69233,97
I,69236,35970
B,69238,148
R,69240,23335
B,69243,93
I,69245,35944
B,69248,133
R,69250,23288
B,69252,101
I,69255,36009
B,69257,151
R,69259,23295
B,69262,84
I,69264,35982
B,69266,149
R,69269,23336
B,69271,96
I,69274,36017
B,69276,145
R,69278,23329
B,69281,84
I,69283,35978
B,69285,160
R,69288,23335
B,69290,91
I,69292,35974
B,69295,140
R,69297,23300
B,69300,93
I,69302,36008
B,69304,144
R,69307,23313
B,69309,90
I,69311,35977
B,69314,134
R,69316,23324
B,69319,100
I,69321,36022
B,69323,143
R,69326,23276
B,69328,86
I,69330,35945
B,69333,143
R,69335,23353
B,69337,97
I,69340,35972
B,69342,146
R,69345,23290
B,69347,81
I,69349,35989
B,69352,158
R,69354,23291
B,69356,93
I,69359,35968
B,69361,136
R,69363,23327
B,69366,92
I,69368,35975
B,69371,152
R,69373,23338
B,69375,91
I,69378,36012
B,69380,142
R,69382,23314
B,69385,102
I,69387,36037
B,69390,143
R,69392,23335
B,69394,87
I,69397,35981
B,69399,142
R,69401,23343
B,69404,101
I,69406,36030
B,69408,144
R,69411,23309
B,69413,79
I,69416,36007
B,69418,153
R,69420,23328
B,69423,91
I,69425,35987
B,69427,141
R,69430,23322
B,69432,88
I,69434,35995
B,69437,153
R,69439,23301
B,69442,89
I,69444,36021
B,69446,137
R,69449,23305
B,69451,106
I,69453,36088
B,69456,149
R,69458,23332
B,69461,87
I,69463,36007
B,69465,151
R,69468,23386
B,69470,109
I,69472,36041
B,69475,143
R,69477,23347
B,69479,82
I,69482,36019
B,69484,155
R,69487,23298
B,69489,94
I,69491,36001
B,69494,143
R,69496,23291
B,69498,95
I,69501,36034
B,69503,161
R,69505,23302
B,69508,91
I,69510,36029
B,69513,134
R,69515,23338
B,69517,100
I,69520,36111
B,69522,145
R,69524,23296
B,69527,92
I,69529,36031
B,69532,141
R,69534,23338
B,69536,106
I,69539,36084
B,69541,145
R,69543,23359
B,69546,83
I,69548,36064
B,69550,153
R,69553,23329
B,69555,91
I,69558,36006
B,69560,148
R,69562,23307
B,69565,87
I,69567,36060
B,69569,158
R,69572,23327
B,69574,91
I,69576,36046
B,69579,133
R,69581,23286
B,69584,95
I,69586,36066
B,69588,152
R,69591,23365
B,69593,96
I,69595,36016
B,69598,134
R,69600,23352
B,69603,103
I,69605,36089
B,69607,148
R,69610,23339
B,69612,80
I,69614,36084
B,69617,147
R,69619,23368
B,69621,93
I,69624,36052
B,69626,143
R,69629,23334
B,69631,83
I,69633,36049
B,69636,158
R,69638,23315
B,69640,91
I,69643,36032
B,69645,138
R,69648,23288
B,69650,94
I,69652,36069
B,69655,151
R,69657,23321
B,69659,90
I,69662,36044
B,69664,139
R,69666,23327
B,69669,105
I,69671,36093
B,69674,145
R,69676,23342
B,69678,90
I,69681,36031
B,69683,148
R,69685,23341
B,69688,103
I,69690,36063
B,69692,145
R,69695,23336
B,69697,83
I,69700,36061
B,69702,155
R,69704,23320
B,69707,88
I,69709,36041
B,69711,142
R,69714,23309
B,69716,95
I,69719,36029
B,69721,153
R,69723,23316
B,69726,86
I,69728,36066
B,69730,141
R,69733,23306
B,69735,100
I,69737,36070
B,69740,142
R,69742,23330
B,69745,88
I,69747,36026
B,69749,144
R,69752,23325
B,69754,96
I,69756,36079
B,69759,135
R,69761,23324
B,69763,85
I,69766,36070
B,69768,155
R,69771,23287
B,69773,91
I,69775,36046
B,69778,139
R,69780,23299
B,69782,90
I,69785,36079
B,69787,154
R,69790,23328
B,69792,90
I,69794,36037
B,69797,133
R,69799,23287
B,69801,98
I,69804,36096
B,69806,143
R,69808,23304
B,69811,88
I,69813,36018
B,69816,154
R,69818,23330
B,69820,98
I,69823,36021
B,69825,148
R,69827,23307
B,69830,79
I,69832,36081
B,69834,159
R,69837,23293
B,69839,93
I,69842,36090
B,69844,144
R,69846,23278
B,69849,88
I,69851,36068
B,69853,157
R,69856,23320
B,69858,90
I,69860,36092
B,69863,134
R,69865,23284
B,69868,105
I,69870,36124
B,69872,152
R,69875,23295
B,69877,90
I,69879,36056
B,69882,140
R,69884,23308
B,69887,108
I,69889,36049
B,69891,148
R,69894,23290
B,69896,83
I,69898,35992
B,69901,157
R,69903,23273
B,69905,87
I,69908,36007
B,69910,143
R,69913,23248
B,69915,85
I,69917,35997
B,69920,157
R,69922,23273
B,69924,91
I,69927,35969
B,69929,134
R,69931,23210
B,69934,99
I,69936,35950
B,69939,150
R,69941,23207
B,69943,95
I,69946,35931
B,69948,138
R,69950,23197
B,69953,105
I,69955,35940
B,69958,145
R,69960,23152
B,69962,85
I,69965,35876
B,69967,154
R,69969,23219
B,69972,95
I,69974,35891
B,69976,146
R,69979,23197
B,69981,83
I,69984,35910
B,69986,155
R,69988,23209
B,69991,89
I,69993,35966
B,69995,140
R,69998,23240
B,70000,99
I,70002,35989
B,70005,147
R,70007,23263
B,70010,90
I,70012,35973
B,70014,141
R,70017,23270
B,70019,102
I,70021,35999
B,70024,147
R,70026,23252
B,70029,84
I,70031,35944
B,70033,151
R,70036,23286
B,70038,92
I,70040,36025
B,70043,142
R,70045,23246
B,70047,83
I,70050,35997
B,70052,162
R,70055,23293
B,70057,93
I,70059,36015
B,70062,140
R,70064,23270
B,70066,95
I,70069,36047
B,70071,155
R,70074,23264
B,70076,92
I,70078,36075
B,70081,135
R,70083,23286
B,70085,104
I,70088,36054
B,70090,143
R,70092,23281
B,70095,85
I,70097,36047
B,70100,151
R,70102,23242
B,70104,98
I,70107,36018
B,70109,147
R,70111,23240
B,70114,84
I,70116,36035
B,70118,156
R,70121,23284
B,70123,90
I,70126,36038
B,70128,144
R,70130,23238
B,70133,96
I,70135,36080
B,70137,159
R,70140,23288
B,70142,90
I,70144,36034
B,70147,137
R,70149,23263
B,70152,103
I,70154,36091
B,70156,144
R,70159,23290
B,70161,88
I,70163,36062
B,70166,142
R,70168,23299
B,70171,104
I,70173,36061
B,70175,144
R,70178,23288
B,70180,81
