TAG,Time,Value
B,30003,195
R,30006,37849
B,30008,139
I,30010,58059
B,30013,164
R,30015,37744
B,30017,79
I,30020,58052
B,30022,235
R,30024,37889
B,30027,99
I,30029,58002
B,30032,159
R,30034,37782
B,30036,110
I,30039,58146
B,30041,223
R,30043,37843
B,30046,86
I,30048,57989
B,30051,154
R,30053,37853
B,30055,146
I,30058,58144
B,30060,180
R,30062,37826
B,30065,83
I,30067,57982
B,30069,185
R,30072,37896
B,30074,147
I,30077,58095
B,30079,173
R,30081,37807
B,30084,77
I,30086,58051
B,30088,234
R,30091,37917
B,30093,101
I,30095,58092
B,30098,159
R,30100,37739
B,30103,105
I,30105,58188
B,30107,234
R,30110,37883
B,30112,89
I,30114,57994
B,30117,167
R,30119,37788
B,30122,153
I,30124,58179
B,30126,191
R,30129,37804
B,30131,84
I,30133,58009
B,30136,175
R,30138,37881
B,30140,165
I,30143,58141
B,30145,168
R,30148,37801
B,30150,77
I,30152,58045
B,30155,230
R,30157,37957
B,30159,113
I,30162,58143
B,30164,165
R,30167,37759
B,30169,97
I,30171,58181
B,30174,237
R,30176,37923
B,30178,93
I,30181,58043
B,30183,164
R,30185,37807
B,30188,143
I,30190,58246
B,30193,203
R,30195,37858
B,30197,78
I,30200,58042
B,30202,175
R,30204,37856
B,30207,157
I,30209,58202
B,30212,174
R,30214,37768
B,30216,78
I,30219,58062
B,30221,223
R,30223,37933
B,30226,118
I,30228,58155
B,30230,157
R,30233,37781
B,30235,92
I,30238,58176
B,30240,241
R,30242,37880
B,30245,89
I,30247,58040
B,30249,165
R,30252,37819
B,30254,136
I,30256,58204
B,30259,217
R,30261,37840
B,30264,80
I,30266,57926
B,30268,167
R,30271,37845
B,30273,158
I,30275,58099
B,30278,182
R,30280,37723
B,30283,83
I,30285,57947
B,30287,214
R,30290,37870
B,30292,126
I,30294,57999
B,30297,165
R,30299,37692
B,30301,86
I,30304,57945
B,30306,241
R,30309,37845
B,30311,90
I,30313,57880
B,30316,161
R,30318,37727
B,30320,128
I,30323,58027
B,30325,213
R,30328,37728
B,30330,82
I,30332,57803
B,30335,161
R,30337,37758
B,30339,163
I,30342,58020
B,30344,181
R,30346,37714
B,30349,80
I,30351,57829
B,30354,206
R,30356,37793
B,30358,138
I,30361,57919
B,30363,163
R,30365,37693
B,30368,86
I,30370,57921
B,30372,240
R,30375,37836
B,30377,98
I,30380,57868
B,30382,156
R,30384,37752
B,30387,121
I,30389,58035
B,30391,231
R,30394,37776
B,30396,84
I,30399,57845
B,30401,166
R,30403,37788
B,30406,163
I,30408,57986
B,30410,180
R,30413,37745
B,30415,83
I,30417,57851
B,30420,195
R,30422,37862
B,30425,149
I,30427,57990
B,30429,159
R,30432,37685
B,30434,79
I,30436,57924
B,30439,236
R,30441,37826
B,30444,100
I,30446,57910
B,30448,162
R,30451,37705
B,30453,109
I,30455,58034
B,30458,225
R,30460,37777
B,30462,82
I,30465,57796
B,30467,155
R,30470,37771
B,30472,154
I,30474,58023
B,30477,184
R,30479,37747
B,30481,83
I,30484,57856
B,30486,184
R,30489,37816
B,30491,148
I,30493,57971
B,30496,168
R,30498,37675
B,30500,83
I,30503,57928
B,30505,235
R,30507,37851
B,30510,106
I,30512,57950
B,30515,169
R,30517,37714
B,30519,103
I,30522,58023
B,30524,240
R,30526,37799
B,30529,88
I,30531,57855
B,30534,162
R,30536,37782
B,30538,149
I,30541,58044
B,30543,196
R,30545,37754
B,30548,84
I,30550,57865
B,30552,190
R,30555,37834
B,30557,159
I,30560,58002
B,30562,174
R,30564,37706
B,30567,84
I,30569,57901
B,30571,224
R,30574,37861
B,30576,106
I,30578,57956
B,30581,159
R,30583,37715
B,30586,97
I,30588,58000
B,30590,242
R,30593,37806
B,30595,89
I,30597,57860
B,30600,166
R,30602,37734
B,30605,144
I,30607,58055
B,30609,190
R,30612,37792
B,30614,80
I,30616,57869
B,30619,173
R,30621,37812
B,30623,162
I,30626,58017
B,30628,171
R,30631,37706
B,30633,80
I,30635,57881
B,30638,223
R,30640,37846
B,30642,122
I,30645,57953
B,30647,160
R,30650,37706
B,30652,90
I,30654,57989
B,30657,244
R,30659,37836
B,30661,93
I,30664,57889
B,30666,163
R,30668,37764
B,30671,136
I,30673,58090
B,30676,201
R,30678,37796
B,30680,83
I,30683,57875
B,30685,169
R,30687,37818
B,30690,164
I,30692,58062
B,30695,171
R,30697,37762
B,30699,83
I,30702,57931
B,30704,215
R,30706,37862
B,30709,125
I,30711,58027
B,30713,162
R,30716,37748
B,30718,86
I,30721,58002
B,30723,245
R,30725,37835
B,30728,94
I,30730,57965
B,30732,174
R,30735,37798
B,30737,130
I,30739,58098
B,30742,213
R,30744,37801
B,30747,83
I,30749,57930
B,30751,168
R,30754,37799
B,30756,164
I,30758,58083
B,30761,174
R,30763,37818
B,30766,81
I,30768,57964
B,30770,211
R,30773,37894
B,30775,128
I,30777,58069
B,30780,163
R,30782,37761
B,30784,87
I,30787,58031
B,30789,243
R,30792,37840
B,30794,101
I,30796,58022
B,30799,168
R,30801,37731
B,30803,123
I,30806,58166
B,30808,223
R,30811,37823
B,30813,84
I,30815,57925
B,30818,168
R,30820,37831
B,30822,163
I,30825,58112
B,30827,188
R,30829,37790
B,30832,82
I,30834,57980
B,30837,206
R,30839,37862
B,30841,152
I,30844,58101
B,30846,168
R,30848,37763
B,30851,86
I,30853,58057
B,30855,238
R,30858,37884
B,30860,99
I,30863,58030
B,30865,158
R,30867,37775
B,30870,110
I,30872,58182
B,30874,232
R,30877,37858
B,30879,85
I,30882,58006
B,30884,165
R,30886,37818
B,30889,156
I,30891,58160
B,30893,187
R,30896,37824
B,30898,85
I,30900,57984
B,30903,187
R,30905,37929
B,30908,148
I,30910,58104
B,30912,168
R,30915,37778
B,30917,81
I,30919,58044
B,30922,236
R,30924,37912
B,30926,109
I,30929,58086
B,30931,164
R,30934,37760
B,30936,110
I,30938,58168
B,30941,240
R,30943,37891
B,30945,84
I,30948,58015
B,30950,159
R,30953,37806
B,30955,150
I,30957,58218
B,30960,187
R,30962,37807
B,30964,83
I,30967,58020
B,30969,187
R,30971,37907
B,30974,167
I,30976,58192
B,30979,173
R,30981,37754
B,30983,83
I,30986,58106
B,30988,233
R,30990,37915
B,30993,106
I,30995,58161
B,30998,168
R,31000,37765
B,31002,102
I,31005,58215
B,31007,236
R,31009,37913
B,31012,87
I,31014,58059
B,31016,169
R,31019,37798
B,31021,147
I,31024,58234
B,31026,203
R,31028,37819
B,31031,82
I,31033,58068
B,31035,186
R,31038,37917
B,31040,159
I,31043,58226
B,31045,168
R,31047,37778
B,31050,81
I,31052,58117
B,31054,230
R,31057,37946
B,31059,112
I,31061,58180
B,31064,160
R,31066,37787
B,31069,90
I,31071,58211
B,31073,241
R,31076,37872
B,31078,86
I,31080,58095
B,31083,153
R,31085,37795
B,31088,132
I,31090,58295
B,31092,199
R,31095,37863
B,31097,79
I,31099,58075
B,31102,167
R,31104,37922
B,31106,156
I,31109,58243
B,31111,172
R,31114,37800
B,31116,79
I,31118,58109
B,31121,210
R,31123,37943
B,31125,119
I,31128,58248
B,31130,160
R,31133,37807
B,31135,91
I,31137,58194
B,31140,242
R,31142,37914
B,31144,95
I,31147,58116
B,31149,169
R,31151,37823
B,31154,128
I,31156,58303
B,31159,212
R,31161,37864
B,31163,82
I,31166,58139
B,31168,167
R,31170,37881
B,31173,165
I,31175,58274
B,31177,179
R,31180,37828
B,31182,78
I,31185,58133
B,31187,211
R,31189,37967
B,31192,137
I,31194,58235
B,31196,165
R,31199,37820
B,31201,86
I,31204,58238
B,31206,244
R,31208,37914
B,31211,99
I,31213,58178
B,31215,168
R,31218,37805
B,31220,126
I,31222,58336
B,31225,221
R,31227,37867
B,31230,80
I,31232,58145
B,31234,164
R,31237,37907
B,31239,165
I,31241,58327
B,31244,180
R,31246,37900
B,31249,82
I,31251,58172
B,31253,195
R,31256,37969
B,31258,137
I,31260,58290
B,31263,161
R,31265,37798
B,31267,91
I,31270,58228
B,31272,238
R,31275,37964
B,31277,100
I,31279,58274
B,31282,154
R,31284,37837
B,31286,112
I,31289,58371
B,31291,227
R,31294,37874
B,31296,83
I,31298,58168
B,31301,157
R,31303,37844
B,31305,153
I,31308,58345
B,31310,188
R,31312,37837
B,31315,82
I,31317,58118
B,31320,195
R,31322,37897
B,31324,142
I,31327,58222
B,31329,167
R,31331,37799
B,31334,78
I,31336,58108
B,31338,229
R,31341,37905
B,31343,107
I,31346,58114
B,31348,168
R,31350,37754
B,31353,100
I,31355,58179
B,31357,232
R,31360,37853
B,31362,84
I,31365,57980
B,31367,158
R,31369,37760
B,31372,153
I,31374,58145
B,31376,187
R,31379,37817
B,31381,89
I,31383,57929
B,31386,187
R,31388,37860
B,31391,158
I,31393,58070
B,31395,170
R,31398,37746
B,31400,79
I,31402,57968
B,31405,233
R,31407,37870
B,31410,109
I,31412,58021
B,31414,169
R,31417,37707
B,31419,98
I,31421,58037
B,31424,237
R,31426,37817
B,31428,89
I,31431,57920
B,31433,157
R,31436,37710
B,31438,146
I,31440,58127
B,31443,187
R,31445,37774
B,31447,83
I,31450,57906
B,31452,177
R,31455,37786
B,31457,161
I,31459,58049
B,31462,178
R,31464,37733
B,31466,78
I,31469,57948
B,31471,227
R,31473,37841
B,31476,116
I,31478,57995
B,31481,161
R,31483,37685
B,31485,90
I,31488,58007
B,31490,246
R,31492,37799
B,31495,92
I,31497,57872
B,31499,165
R,31502,37695
B,31504,139
I,31507,58091
B,31509,200
R,31511,37730
B,31514,78
I,31516,57895
B,31518,175
R,31521,37800
B,31523,163
I,31526,58060
B,31528,176
R,31530,37709
B,31533,79
I,31535,57906
B,31537,218
R,31540,37832
B,31542,125
I,31544,58000
B,31547,161
R,31549,37692
B,31552,86
I,31554,57970
B,31556,239
R,31559,37805
B,31561,90
I,31563,57916
B,31566,165
R,31568,37703
B,31571,129
I,31573,58080
B,31575,210
R,31578,37763
B,31580,84
I,31582,57889
B,31585,166
R,31587,37774
B,31589,157
I,31592,58074
B,31594,184
R,31597,37731
B,31599,83
I,31601,57925
B,31604,209
R,31606,37853
B,31608,131
I,31611,58009
B,31613,165
R,31615,37718
B,31618,86
I,31620,58029
B,31623,248
R,31625,37811
B,31627,92
I,31630,57931
B,31632,159
R,31634,37753
B,31637,125
I,31639,58114
B,31642,215
