,TAG,Value,Time
0,B,0,402
1,R,56460,403
2,B,0,404
3,I,56220,405
4,B,0,406
5,R,56396,406
6,B,0,407
7,I,56246,408
8,B,0,409
9,R,56358,410
10,B,0,411
11,I,56211,412
12,B,0,413
13,R,56400,413
14,B,0,414
15,I,56153,415
16,B,0,416
17,R,56377,417
18,B,0,418
19,I,56128,418
20,B,0,420
21,R,56313,420
22,B,0,421
23,I,56140,422
24,B,0,423
25,R,56348,424
26,B,0,425
27,I,56092,425
28,B,0,426
29,R,56278,427
30,B,0,428
31,I,56057,429
32,B,0,430
33,R,56297,430
34,B,0,431
35,I,56076,432
36,B,0,433
37,R,56272,434
38,B,0,435
39,I,56048,436
40,B,0,437
41,R,56291,437
42,B,0,438
43,I,56067,439
44,B,0,440
45,R,56300,441
46,B,0,442
47,I,55993,442
48,B,0,444
49,R,56240,444
50,B,0,445
51,I,55993,446
52,B,0,447
53,R,56262,448
54,B,0,449
55,I,55945,449
56,B,0,450
57,R,56268,451
58,B,0,452
59,I,56009,453
60,B,0,454
61,R,56281,454
62,B,0,455
63,I,55862,456
64,B,0,457
65,R,56246,458
66,B,0,459
67,I,55907,460
68,B,0,461
69,R,56243,461
70,B,0,462
71,I,55948,463
72,B,0,464
73,R,56272,465
74,B,0,466
75,I,55894,466
76,B,0,468
77,R,56220,468
78,B,0,469
79,I,55945,470
80,B,0,471
81,R,56208,472
82,B,0,473
83,I,55904,473
84,B,0,474
85,R,56204,475
86,B,0,476
87,I,55968,477
88,B,0,478
89,R,56220,478
90,B,0,479
91,I,55968,480
92,B,0,481
93,R,56227,482
94,B,0,483
95,I,55920,484
96,B,0,485
97,R,56281,485
98,B,0,486
99,I,55878,487
100,B,0,488
101,R,56211,489
102,B,0,490
103,I,55964,490
104,B,0,492
105,R,56256,492
106,B,0,493
107,I,55884,494
108,B,0,495
109,R,56220,496
110,B,0,497
111,I,55961,497
112,B,0,498
113,R,56345,499
114,B,0,500
115,I,55894,501
116,B,0,502
117,R,56243,502
118,B,0,503
119,I,55958,504
120,B,0,505
121,R,56201,506
122,B,0,507
123,I,55980,508
124,B,0,509
125,R,56326,509
126,B,0,510
127,I,55926,511
128,B,0,512
129,R,56243,513
130,B,0,514
131,I,55984,514
132,B,0,516
133,R,56288,516
134,B,0,517
135,I,55948,518
136,B,0,519
137,R,56268,520
138,B,0,521
139,I,55993,521
140,B,0,522
141,R,56291,523
142,B,0,524
143,I,55968,525
144,B,0,526
145,R,56387,526
146,B,0,527
147,I,55977,528
148,B,0,529
149,R,56278,530
150,B,0,531
