,TAG,Value,Time
0,B,0,402
1,R,36192,403
2,B,0,404
3,I,44307,405
4,B,0,406
5,R,36288,406
6,B,0,407
7,I,44256,408
8,B,0,409
9,R,36224,410
10,B,0,411
11,I,44208,411
12,B,0,412
13,R,36131,413
14,B,0,414
15,I,44291,415
16,B,0,416
17,R,36153,417
18,B,0,418
19,I,44291,418
20,B,0,419
21,R,36275,420
22,B,0,421
23,I,44224,422
24,B,0,423
25,R,36118,423
26,B,0,424
27,I,44332,425
28,B,0,426
29,R,36179,427
30,B,0,428
31,I,44310,429
32,B,0,430
33,R,36233,430
34,B,0,431
35,I,44243,432
36,B,0,433
37,R,36227,434
38,B,0,435
39,I,44243,435
40,B,0,436
41,R,36214,437
42,B,0,438
43,I,44201,439
44,B,0,440
45,R,36140,441
46,B,0,442
47,I,44409,442
48,B,0,443
49,R,36268,444
50,B,0,445
51,I,44256,446
52,B,0,447
53,R,36291,447
54,B,0,448
55,I,44217,449
56,B,0,450
57,R,36217,451
58,B,0,452
59,I,44300,453
60,B,0,454
61,R,36201,454
62,B,0,455
63,I,44252,456
64,B,0,457
65,R,36144,458
66,B,0,459
67,I,44220,459
68,B,0,460
69,R,36246,461
70,B,0,462
71,I,44297,463
72,B,0,464
73,R,36134,465
74,B,0,466
75,I,44288,466
76,B,0,467
77,R,36163,468
78,B,0,469
79,I,44259,470
80,B,0,471
81,R,36230,471
82,B,0,472
83,I,44422,473
84,B,0,474
85,R,36339,475
86,B,0,476
87,I,44262,477
88,B,0,478
89,R,36211,478
90,B,0,479
91,I,44246,480
92,B,0,481
93,R,36131,482
94,B,0,483
95,I,44262,483
96,B,0,484
97,R,36320,485
98,B,0,486
99,I,44339,487
100,B,0,488
101,R,36262,489
102,B,0,490
103,I,44230,490
104,B,0,491
105,R,36182,492
106,B,0,493
107,I,44316,494
108,B,0,495
109,R,36208,495
110,B,0,496
111,I,44323,497
112,B,0,498
113,R,36300,499
114,B,0,500
115,I,44262,501
116,B,0,502
117,R,36179,502
118,B,0,503
119,I,44320,504
120,B,0,505
121,R,36188,506
122,B,0,507
123,I,44297,507
124,B,0,508
125,R,36204,509
126,B,0,510
127,I,44275,511
128,B,0,512
129,R,36265,513
130,B,0,514
131,I,44300,514
132,B,0,515
133,R,36176,516
134,B,0,517
135,I,44364,518
136,B,0,519
137,R,36352,519
138,B,0,520
139,I,44230,521
140,B,0,522
141,R,36166,523
142,B,0,524
143,I,44249,525
144,B,0,526
145,R,36198,526
146,B,0,527
147,I,44227,528
148,B,0,529
149,R,36316,530
150,B,0,531
151,I,44355,531
152,B,0,532
153,R,36291,533
154,B,0,534
155,I,44268,535
156,B,0,536
157,R,36204,537
158,B,0,538
159,I,44336,538
160,B,0,539
161,R,36300,540
162,B,0,541
163,I,44336,542
164,B,0,543
165,R,36262,543
166,B,0,544
167,I,44265,545
168,B,0,546
169,R,36262,547
170,B,0,548
171,I,44316,549
172,B,0,550
173,R,36179,550
174,B,0,551
175,I,44320,552
176,B,0,553
177,R,36297,554
178,B,0,555
179,I,44272,555
180,B,0,556
181,R,36281,557
182,B,0,558
183,I,44288,559
184,B,0,560
185,R,36169,561
186,B,0,562
187,I,44422,562
188,B,0,563
189,R,36329,564
190,B,0,565
191,I,44297,566
192,B,0,567
193,R,36259,567
194,B,0,568
195,I,44313,569
196,B,0,570
197,R,36208,571
198,B,0,572
199,I,44368,573
200,B,0,574
201,R,36195,574
202,B,0,575
203,I,44374,576
204,B,0,577
205,R,36272,578
206,B,0,579
207,I,44281,579
208,B,0,580
209,R,36284,581
210,B,0,582
211,I,44262,583
212,B,0,584
213,R,36297,585
214,B,0,586
215,I,44355,586
216,B,0,587
217,R,36172,588
218,B,0,589
219,I,44249,590
220,B,0,591
221,R,36329,591
222,B,0,592
223,I,44291,593
224,B,0,594
225,R,36134,595
226,B,0,596
227,I,44304,597
228,B,0,598
229,R,36224,598
230,B,0,599
231,I,44320,600
232,B,0,601
233,R,36208,602
234,B,0,603
235,I,44332,603
236,B,0,604
237,R,36316,605
238,B,0,606
239,I,44352,607
240,B,0,608
241,R,36294,609
242,B,0,610
243,I,44275,610
244,B,0,611
245,R,36291,612
246,B,0,613
247,I,44352,614
248,B,0,615
249,R,36227,615
250,B,0,616
251,I,44387,617
252,B,0,618
253,R,36268,619
254,B,0,620
255,I,44262,621
256,B,0,622
257,R,36284,622
258,B,0,623
259,I,44368,624
260,B,0,625
261,R,36275,626
262,B,0,627
263,I,44393,627
264,B,0,628
265,R,36166,629
266,B,0,630
267,I,44435,631
268,B,0,632
269,R,36275,633
270,B,0,634
271,I,44368,634
272,B,0,635
273,R,36307,636
274,B,0,637
275,I,44358,638
276,B,0,639
277,R,36307,639
278,B,0,640
279,I,44374,641
280,B,0,642
281,R,36233,643
282,B,0,644
283,I,44326,645
284,B,0,646
285,R,36316,646
286,B,0,647
287,I,44265,648
288,B,0,649
289,R,36134,650
290,B,0,651
291,I,44374,651
292,B,0,652
293,R,36156,653
294,B,0,654
295,I,44281,655
296,B,0,656
297,R,36224,657
298,B,0,658
299,I,44304,658
300,B,0,659
301,R,36204,660
302,B,0,661
303,I,44336,662
304,B,0,663
305,R,36204,663
306,B,0,664
307,I,44361,665
308,B,0,666
309,R,36256,667
310,B,0,668
311,I,44451,669
312,B,0,670
313,R,36224,670
314,B,0,671
315,I,44371,672
316,B,0,673
317,R,36320,674
318,B,0,675
319,I,44288,675
320,B,0,676
321,R,36249,677
322,B,0,678
323,I,44409,679
324,B,0,680
325,R,36172,681
326,B,0,682
327,I,44329,682
328,B,0,683
329,R,36339,684
330,B,0,685
331,I,44368,686
332,B,0,687
333,R,36291,687
334,B,0,688
335,I,44320,689
336,B,0,690
337,R,36329,691
338,B,0,692
339,I,44409,693
340,B,0,694
341,R,36227,694
342,B,0,695
343,I,44412,696
344,B,0,697
345,R,36284,698
346,B,0,699
347,I,44403,699
348,B,0,700
349,R,36278,701
350,B,0,702
351,I,44361,703
352,B,0,704
353,R,36243,705
354,B,0,706
355,I,44419,706
356,B,0,707
357,R,36169,708
358,B,0,709
359,I,44419,710
360,B,0,711
361,R,36291,711
362,B,0,712
363,I,44339,713
364,B,0,714
365,R,36176,715
366,B,0,716
367,I,44368,717
368,B,0,718
369,R,36156,718
370,B,0,719
371,I,44316,720
372,B,0,721
373,R,36240,722
374,B,0,723
375,I,44326,723
376,B,0,724
377,R,36179,725
378,B,0,726
379,I,44384,727
380,B,0,728
381,R,36310,729
382,B,0,730
383,I,44329,730
384,B,0,731
385,R,36240,732
386,B,0,733
387,I,44387,734
388,B,0,735
389,R,36214,735
390,B,0,736
391,I,44358,737
392,B,0,738
393,R,36332,739
394,B,0,740
395,I,44336,741
396,B,0,742
397,R,36336,742
398,B,0,743
399,I,44400,744
400,B,0,745
401,R,36166,746
402,B,0,747
403,I,44406,747
404,B,0,748
405,R,36179,749
406,B,0,750
407,I,44438,751
408,B,0,752
409,R,36329,753
410,B,0,754
411,I,44329,754
412,B,0,755
413,R,36304,756
414,B,0,757
415,I,44355,758
416,B,0,759
417,R,36182,759
418,B,0,760
419,I,44467,761
420,B,0,762
421,R,36230,763
422,B,0,764
423,I,44422,765
424,B,0,766
425,R,36275,766
426,B,0,767
427,I,44393,768
428,B,0,769
429,R,36249,770
430,B,0,771
431,I,44444,771
432,B,0,772
433,R,36323,773
434,B,0,774
435,I,44332,775
436,B,0,776
437,R,36243,777
438,B,0,778
439,I,44339,778
440,B,0,779
441,R,36179,780
442,B,0,781
443,I,44345,782
444,B,0,783
445,R,36256,783
446,B,0,784
447,I,44416,785
448,B,0,786
449,R,36240,787
450,B,0,788
451,I,44505,789
452,B,0,790
453,R,36217,790
454,B,0,791
455,I,44467,792
456,B,0,793
457,R,36182,794
458,B,0,795
459,I,44406,795
460,B,0,796
461,R,36326,797
462,B,0,798
463,I,44457,799
464,B,0,800
465,R,36156,801
466,B,0,802
467,I,44432,802
468,B,0,803
469,R,36291,804
470,B,0,805
471,I,44473,806
472,B,0,807
473,R,36323,807
474,B,0,808
475,I,44307,809
476,B,0,810
477,R,36272,811
478,B,0,812
479,I,44326,813
480,B,0,814
481,R,36323,814
482,B,0,815
483,I,44294,816
484,B,0,817
485,R,36188,818
486,B,0,819
487,I,44368,819
488,B,0,820
489,R,36297,821
490,B,0,822
491,I,44262,823
492,B,0,824
493,R,36272,825
494,B,0,826
495,I,44262,826
496,B,0,827
497,R,36134,828
498,B,0,829
499,I,44246,830
500,B,0,831
501,R,36262,831
502,B,0,832
503,I,44326,833
504,B,0,834
505,R,36236,835
506,B,0,836
507,I,44310,837
508,B,0,838
509,R,36131,838
510,B,0,839
511,I,44259,840
512,B,0,841
513,R,36188,842
514,B,0,843
515,I,44233,843
516,B,0,844
517,R,36211,845
518,B,0,846
519,I,44217,847
520,B,0,848
521,R,36265,849
522,B,0,850
523,I,44204,850
524,B,0,851
525,R,36278,852
526,B,0,853
527,I,44294,854
528,B,0,855
529,R,36089,855
530,B,0,856
531,I,44192,857
532,B,0,858
533,R,36204,859
534,B,0,860
535,I,44252,861
536,B,0,862
537,R,36124,862
538,B,0,863
539,I,44275,864
540,B,0,865
541,R,36230,866
542,B,0,867
543,I,44220,867
544,B,0,868
545,R,36140,869
546,B,0,870
547,I,44236,871
548,B,0,872
549,R,36064,873
550,B,0,874
551,I,44150,874
552,B,0,875
553,R,36115,876
554,B,0,877
555,I,44224,878
556,B,0,879
557,R,36131,879
558,B,0,880
559,I,44211,881
560,B,0,882
561,R,36112,883
562,B,0,884
563,I,44160,885
564,B,0,886
565,R,36086,886
566,B,0,887
567,I,44147,888
568,B,0,889
569,R,36153,890
570,B,0,891
571,I,44243,891
572,B,0,892
573,R,36041,893
574,B,0,894
575,I,44230,895
576,B,0,896
577,R,36147,897
578,B,0,898
579,I,44236,898
580,B,0,899
581,R,36147,900
582,B,0,901
583,I,44176,902
584,B,0,903
585,R,36124,903
586,B,0,904
587,I,44256,905
588,B,0,906
589,R,36112,907
590,B,0,908
591,I,44227,909
592,B,0,910
593,R,36048,910
594,B,0,911
595,I,44204,912
596,B,0,913
597,R,36172,914
598,B,0,915
599,I,44134,915
600,B,0,916
601,R,36265,917
602,B,0,918
603,I,44185,919
604,B,0,920
605,R,36124,921
606,B,0,922
607,I,44236,922
608,B,0,923
609,R,36256,924
610,B,0,925
611,I,44166,926
612,B,0,927
613,R,36236,927
614,B,0,928
615,I,44192,929
616,B,0,930
617,R,36185,931
618,B,0,932
619,I,44246,933
620,B,0,934
621,R,36096,934
622,B,0,935
623,I,44198,936
624,B,0,937
625,R,36176,938
626,B,0,939
627,I,44233,939
628,B,0,940
629,R,36243,941
630,B,0,942
631,I,44163,943
632,B,0,944
633,R,36124,945
634,B,0,946
635,I,44256,946
636,B,0,947
637,R,36092,948
638,B,0,949
639,I,44262,950
640,B,0,951
641,R,36086,951
642,B,0,952
643,I,44278,953
644,B,0,954
645,R,36054,955
646,B,0,956
647,I,44147,957
648,B,0,958
649,R,36214,958
650,B,0,959
651,I,44224,960
652,B,0,961
653,R,36160,962
654,B,0,963
655,I,44259,963
656,B,0,964
657,R,36211,965
658,B,0,966
659,I,44166,967
660,B,0,968
661,R,36227,969
662,B,0,970
663,I,44204,970
664,B,0,971
665,R,36217,972
666,B,0,973
667,I,44243,974
668,B,0,975
669,R,36099,975
670,B,0,976
671,I,44246,977
672,B,0,978
673,R,36192,979
674,B,0,980
675,I,44246,981
676,B,0,982
677,R,36220,982
678,B,0,983
679,I,44220,984
680,B,0,985
681,R,36227,986
682,B,0,987
683,I,44230,987
684,B,0,988
685,R,36118,989
686,B,0,990
687,I,44336,991
688,B,0,992
689,R,36118,993
690,B,0,994
691,I,44211,994
692,B,0,995
693,R,36214,996
694,B,0,997
695,I,44204,998
696,B,0,999
697,R,36230,999
698,B,0,1000
699,I,44259,1001
700,B,0,1002
701,R,36179,1003
702,B,0,1004
703,I,44272,1005
704,B,0,1006
705,R,36182,1007
706,B,0,1008
707,I,44140,1009
708,B,0,1010
709,R,36160,1011
710,B,0,1012
711,I,44224,1013
712,B,0,1014
713,R,36249,1014
714,B,0,1016
715,I,44182,1016
716,B,0,1017
717,R,36198,1018
718,B,0,1019
719,I,44236,1020
720,B,0,1021
721,R,36121,1022
722,B,0,1023
723,I,44137,1024
724,B,0,1025
725,R,36137,1026
726,B,0,1027
727,I,44256,1028
728,B,0,1029
729,R,36083,1029
730,B,0,1031
731,I,44140,1031
732,B,0,1032
733,R,36153,1033
734,B,0,1034
735,I,44224,1035
736,B,0,1036
737,R,36092,1037
738,B,0,1038
739,I,44153,1039
740,B,0,1040
741,R,36185,1041
742,B,0,1042
743,I,44233,1043
744,B,0,1044
745,R,36124,1045
746,B,0,1046
747,I,44144,1046
748,B,0,1048
749,R,36246,1048
750,B,0,1049
751,I,44169,1050
752,B,0,1051
753,R,36172,1052
754,B,0,1053
755,I,44156,1054
756,B,0,1055
757,R,36163,1056
758,B,0,1057
759,I,44192,1058
760,B,0,1059
761,R,36252,1060
762,B,0,1061
763,I,44233,1062
764,B,0,1063
765,R,36176,1063
766,B,0,1065
767,I,44134,1065
768,B,0,1066
769,R,36153,1067
770,B,0,1068
771,I,44192,1069
772,B,0,1070
773,R,36252,1071
774,B,0,1072
775,I,44192,1073
776,B,0,1074
777,R,36140,1075
778,B,0,1076
779,I,44195,1077
780,B,0,1078
781,R,36086,1079
782,B,0,1080
783,I,44220,1080
784,B,0,1082
785,R,36092,1082
786,B,0,1083
787,I,44227,1084
788,B,0,1085
789,R,36080,1086
790,B,0,1087
791,I,44179,1088
792,B,0,1089
793,R,36256,1090
794,B,0,1091
795,I,44220,1092
796,B,0,1093
797,R,36230,1094
798,B,0,1095
799,I,44179,1095
800,B,0,1097
801,R,36230,1097
802,B,0,1098
803,I,44156,1099
804,B,0,1100
805,R,36208,1101
806,B,0,1102
807,I,44156,1103
808,B,0,1104
809,R,36243,1105
810,B,0,1106
811,I,44227,1107
812,B,0,1108
813,R,36233,1109
814,B,0,1110
815,I,44198,1111
816,B,0,1112
817,R,36156,1112
818,B,0,1114
819,I,44224,1114
820,B,0,1115
821,R,36201,1116
822,B,0,1117
823,I,44211,1118
824,B,0,1119
825,R,36201,1120
826,B,0,1121
827,I,44284,1122
828,B,0,1123
829,R,36249,1124
830,B,0,1125
