TAG,Time,Value
B,24918,171
I,24920,33738
B,24923,90
R,24925,53559
I,24927,162
B,24930,33754
R,24932,106
B,24934,53620
I,24937,163
B,24939,33774
R,24942,85
B,24944,53592
I,24946,172
B,24949,33765
R,24951,88
I,24953,53596
B,24956,162
R,24958,33761
B,24960,85
I,24963,53614
B,24965,174
R,24968,33772
B,24970,87
I,24972,53614
B,24975,162
R,24977,33757
I,24979,96
B,24982,53659
R,24984,166
B,24987,33778
I,24989,94
B,24991,53655
R,24994,159
B,24996,33789
I,24998,101
B,25001,53687
R,25003,165
I,25005,33765
B,25008,87
R,25010,53604
B,25013,169
I,25015,33783
B,25017,91
R,25020,53623
B,25022,160
I,25024,33774
B,25027,86
R,25029,53636
I,25032,180
B,25034,33777
R,25036,88
B,25039,53601
I,25041,162
B,25043,33763
R,25046,97
B,25048,53680
I,25050,168
B,25053,33751
R,25055,91
I,25058,53649
B,25060,157
R,25062,33779
B,25065,105
I,25067,53679
B,25069,159
R,25072,33786
B,25074,86
I,25076,53629
B,25079,174
R,25081,33807
I,25084,91
B,25086,53636
R,25088,164
B,25091,33782
I,25093,91
B,25095,53666
R,25098,180
B,25100,33830
I,25103,87
B,25105,53675
R,25107,160
I,25110,33769
B,25112,93
R,25114,53728
B,25117,170
I,25119,33800
B,25121,89
R,25124,53679
B,25126,158
I,25129,33809
B,25131,105
R,25133,53785
I,25136,166
B,25138,33800
R,25140,86
B,25143,53703
I,25145,171
B,25147,33811
R,25150,99
B,25152,53698
I,25155,167
B,25157,33796
R,25159,88
I,25162,53694
B,25164,186
R,25166,33814
B,25169,85
I,25171,53672
B,25174,170
R,25176,33765
B,25178,96
I,25181,53677
B,25183,175
R,25185,33780
I,25188,90
B,25190,53623
R,25192,158
B,25195,33774
I,25197,106
B,25200,53690
R,25202,164
B,25204,33756
I,25207,93
B,25209,53577
R,25211,163
I,25214,33753
B,25216,98
R,25218,53509
B,25221,159
I,25223,33700
B,25226,85
R,25228,53489
B,25230,180
I,25233,33727
B,25235,85
R,25237,53447
I,25240,168
B,25242,33669
R,25245,91
B,25247,53453
I,25249,174
B,25252,33678
R,25254,89
B,25256,53433
I,25259,159
B,25261,33674
R,25263,106
I,25266,53490
B,25268,160
R,25271,33669
B,25273,92
I,25275,53394
B,25278,171
R,25280,33673
B,25282,104
I,25285,53507
B,25287,170
R,25289,33656
I,25292,85
B,25294,53379
R,25297,178
B,25299,33680
I,25301,91
B,25304,53391
R,25306,171
B,25308,33665
I,25311,92
B,25313,53414
R,25316,176
I,25318,33661
B,25320,93
R,25323,53435
B,25325,167
I,25327,33633
B,25330,102
R,25332,53489
B,25334,163
I,25337,33664
B,25339,94
R,25342,53412
I,25344,164
B,25346,33690
R,25349,106
B,25351,53492
I,25353,173
B,25356,33684
R,25358,89
B,25360,53440
I,25363,182
B,25365,33713
R,25368,92
I,25370,53443
B,25372,173
R,25375,33675
B,25377,95
I,25379,53485
B,25382,183
R,25384,33711
B,25387,94
I,25389,53462
B,25391,166
R,25394,33663
I,25396,103
B,25398,53532
R,25401,165
B,25403,33720
I,25405,97
B,25408,53499
R,25410,165
B,25413,33713
I,25415,111
B,25417,53545
R,25420,171
I,25422,33704
B,25424,90
R,25427,53508
B,25429,179
I,25431,33717
B,25434,94
R,25436,53466
B,25439,161
I,25441,33708
B,25443,92
R,25446,53484
I,25448,187
B,25450,33706
R,25453,90
B,25455,53519
I,25458,171
B,25460,33669
R,25462,98
B,25465,53530
I,25467,176
B,25469,33695
R,25472,88
I,25474,53501
B,25476,160
R,25479,33701
B,25481,104
I,25484,53569
B,25486,165
R,25488,33711
B,25491,85
I,25493,53514
B,25495,175
R,25498,33749
I,25500,99
B,25502,53511
R,25505,168
B,25507,33734
I,25510,90
B,25512,53558
R,25514,185
B,25517,33745
I,25519,91
B,25521,53546
R,25524,170
I,25526,33716
B,25529,99
R,25531,53563
B,25533,180
I,25536,33738
B,25538,95
R,25540,53546
B,25543,163
I,25545,33707
B,25547,111
R,25550,53581
I,25552,168
B,25555,33728
R,25557,91
B,25559,53515
I,25562,172
B,25564,33741
R,25566,106
B,25569,53577
I,25571,161
B,25574,33724
R,25576,93
I,25578,53520
B,25581,181
R,25583,33737
B,25585,91
I,25588,53559
B,25590,168
R,25592,33712
B,25595,98
I,25597,53584
B,25600,174
R,25602,33724
I,25604,92
B,25607,53518
R,25609,161
B,25611,33732
I,25614,110
B,25616,53610
R,25618,163
B,25621,33719
I,25623,90
B,25626,53569
R,25628,167
I,25630,33743
B,25633,103
R,25635,53586
B,25637,166
I,25640,33715
B,25642,86
R,25645,53541
B,25647,180
I,25649,33768
B,25652,93
R,25654,53567
I,25656,171
B,25659,33718
R,25661,97
B,25663,53548
I,25666,176
B,25668,33711
R,25671,91
B,25673,53521
I,25675,160
B,25678,33701
R,25680,107
I,25682,53595
B,25685,167
R,25687,33721
B,25690,92
I,25692,53539
B,25694,165
R,25697,33743
B,25699,106
I,25701,53592
B,25704,163
R,25706,33712
I,25708,85
B,25711,53556
R,25713,175
B,25716,33735
I,25718,91
B,25720,53585
R,25723,165
B,25725,33752
I,25727,92
B,25730,53625
R,25732,180
I,25734,33757
B,25737,91
R,25739,53624
B,25742,161
I,25744,33728
B,25746,105
R,25749,53688
B,25751,167
I,25753,33788
B,25756,92
R,25758,53598
I,25761,157
B,25763,33760
R,25765,110
B,25768,53641
I,25770,173
B,25772,33765
R,25775,96
B,25777,53625
I,25779,177
B,25782,33761
R,25784,90
I,25787,53606
B,25789,169
R,25791,33749
B,25794,89
I,25796,53618
B,25798,189
R,25801,33732
B,25803,94
I,25805,53603
B,25808,158
R,25810,33713
I,25813,105
B,25815,53641
R,25817,170
B,25820,33692
I,25822,92
B,25824,53575
R,25827,167
B,25829,33715
I,25832,106
B,25834,53616
R,25836,172
I,25839,33703
B,25841,89
R,25843,53515
B,25846,177
I,25848,33730
B,25850,92
R,25853,53504
B,25855,167
I,25858,33651
B,25860,87
R,25862,53496
I,25865,186
B,25867,33698
R,25869,88
B,25872,53462
I,25874,166
B,25876,33661
R,25879,100
B,25881,53491
I,25884,167
B,25886,33654
R,25888,91
I,25891,53392
B,25893,167
R,25895,33600
B,25898,109
I,25900,53416
B,25903,164
R,25905,33607
B,25907,90
I,25910,53337
B,25912,180
R,25914,33646
I,25917,99
B,25919,53366
R,25921,166
B,25924,33585
I,25926,89
B,25929,53347
R,25931,188
B,25933,33597
I,25936,94
B,25938,53378
R,25940,161
I,25943,33579
B,25945,101
R,25948,53408
B,25950,170
I,25952,33607
B,25955,89
R,25957,53337
B,25959,157
I,25962,33622
B,25964,109
R,25966,53412
I,25969,167
B,25971,33602
R,25974,89
B,25976,53332
I,25978,169
B,25981,33610
R,25983,98
B,25985,53339
I,25988,166
B,25990,33598
R,25992,90
I,25995,53333
B,25997,178
R,26000,33596
B,26002,89
I,26004,53346
B,26007,167
R,26009,33578
B,26011,97
I,26014,53369
B,26016,177
R,26019,33577
I,26021,90
B,26023,53338
R,26026,160
B,26028,33613
I,26030,106
B,26033,53421
R,26035,166
B,26037,33603
I,26040,97
B,26042,53350
R,26045,163
I,26047,33602
B,26049,102
R,26052,53417
B,26054,169
I,26056,33620
B,26059,91
R,26061,53360
B,26063,176
I,26066,33631
B,26068,95
R,26071,53397
I,26073,157
B,26075,33620
R,26078,96
B,26080,53413
I,26082,179
B,26085,33617
R,26087,90
B,26090,53399
I,26092,165
B,26094,33622
R,26097,106
I,26099,53472
B,26101,163
R,26104,33631
B,26106,94
I,26108,53415
B,26111,167
R,26113,33639
B,26116,104
I,26118,53444
B,26120,173
R,26123,33616
I,26125,93
B,26127,53411
R,26130,182
B,26132,33647
I,26135,90
B,26137,53399
R,26139,167
B,26142,33591
I,26144,91
B,26146,53422
R,26149,183
I,26151,33611
B,26153,94
R,26156,53391
B,26158,161
I,26161,33630
B,26163,107
R,26165,53444
B,26168,162
I,26170,33625
B,26172,94
R,26175,53388
I,26177,164
B,26179,33616
R,26182,108
B,26184,53428
I,26187,168
B,26189,33630
R,26191,94
B,26194,53369
I,26196,180
B,26198,33612
R,26201,91
I,26203,53414
B,26205,162
R,26208,33601
B,26210,95
I,26213,53416
B,26215,184
R,26217,33615
B,26220,91
I,26222,53365
B,26224,165
R,26227,33612
I,26229,106
B,26232,53481
R,26234,172
B,26236,33615
I,26239,92
B,26241,53412
R,26243,164
B,26246,33634
I,26248,108
B,26250,53505
R,26253,164
I,26255,33636
B,26258,94
R,26260,53398
B,26262,174
I,26265,33656
B,26267,94
R,26269,53404
B,26272,166
I,26274,33603
B,26277,91
R,26279,53418
I,26281,181
B,26284,33612
R,26286,98
B,26288,53457
I,26291,170
B,26293,33637
R,26295,102
B,26298,53495
I,26300,180
B,26303,33616
R,26305,93
I,26307,53442
B,26310,168
R,26312,33635
B,26314,111
I,26317,53503
B,26319,165
R,26321,33618
B,26324,91
I,26326,53423
B,26329,176
R,26331,33673
I,26333,101
B,26336,53487
R,26338,167
B,26340,33632
I,26343,92
B,26345,53461
R,26348,184
B,26350,33656
I,26352,95
B,26355,53443
R,26357,164
I,26359,33633
B,26362,100
R,26364,53520
B,26366,174
I,26369,33628
B,26371,92
R,26374,53484
B,26376,163
I,26378,33684
B,26381,110
R,26383,53538
I,26385,168
B,26388,33657
R,26390,93
B,26392,53490
I,26395,171
B,26397,33673
R,26400,102
B,26402,53530
I,26404,169
B,26407,33682
R,26409,89
I,26411,53476
B,26414,183
R,26416,33667
B,26419,88
I,26421,53484
B,26423,165
R,26426,33666
B,26428,96
I,26430,53477
B,26433,170
R,26435,33660
I,26437,90
B,26440,53498
R,26442,165
B,26445,33690
I,26447,108
B,26449,53582
R,26452,164
B,26454,33660
I,26456,92
B,26459,53468
R,26461,170
I,26464,33672
B,26466,101
R,26468,53514
B,26471,167
I,26473,33644
B,26475,95
R,26478,53484
B,26480,182
I,26482,33641
B,26485,91
R,26487,53445
I,26490,169
B,26492,33620
R,26494,95
B,26497,53397
I,26499,175
B,26501,33608
