TAG,Time,Value
B,8436,336
I,8438,40498
B,8441,340
R,8443,29063
B,8446,265
I,8448,40436
B,8450,361
R,8453,29168
B,8455,320
I,8457,40470
B,8460,336
R,8462,29082
B,8464,272
I,8467,40496
B,8469,391
R,8472,29128
B,8474,289
I,8476,40461
B,8479,317
R,8481,29074
B,8483,299
I,8486,40527
B,8488,374
R,8490,29068
B,8493,266
I,8495,40420
B,8497,320
R,8500,29090
B,8502,329
I,8505,40535
B,8507,342
R,8509,29057
B,8512,263
I,8514,40439
B,8516,347
R,8519,29110
B,8521,318
I,8523,40518
B,8526,329
R,8528,29060
B,8531,265
I,8533,40497
B,8535,386
R,8538,29144
B,8540,287
I,8542,40452
B,8545,318
R,8547,29075
B,8549,280
I,8552,40551
B,8554,391
R,8556,29074
B,8559,277
I,8561,40462
B,8564,324
R,8566,29065
B,8568,322
I,8571,40560
B,8573,350
R,8575,29106
B,8578,268
I,8580,40410
B,8582,348
R,8585,29181
B,8587,334
I,8590,40506
B,8592,351
R,8594,29040
B,8597,267
I,8599,40496
B,8601,356
R,8604,29008
B,8606,201
I,8608,40409
B,8611,244
R,8613,28906
B,8615,233
I,8618,40544
B,8620,360
R,8623,29035
B,8625,212
I,8627,40424
B,8630,250
R,8632,28935
B,8634,245
I,8637,40543
B,8639,289
R,8641,29001
B,8644,200
I,8646,40424
B,8649,273
R,8651,29002
B,8653,274
I,8656,40532
B,8658,278
R,8660,28972
B,8663,205
I,8665,40450
B,8667,308
R,8670,29050
B,8672,243
I,8675,40446
B,8677,269
R,8679,28951
B,8682,209
I,8684,40470
B,8686,326
R,8689,29026
B,8691,221
I,8693,40381
B,8696,259
R,8698,28965
B,8700,240
I,8703,40473
B,8705,313
R,8708,28991
B,8710,212
I,8712,40343
B,8715,283
R,8717,29014
B,8719,279
I,8722,40436
B,8724,284
R,8726,28984
B,8729,213
I,8731,40380
B,8734,303
R,8736,29036
B,8738,256
I,8741,40412
B,8743,275
R,8745,28932
B,8748,213
I,8750,40397
B,8752,333
R,8755,29040
B,8757,226
I,8759,40379
B,8762,262
R,8764,28998
B,8767,245
I,8769,40476
B,8771,332
R,8774,29023
B,8776,217
I,8778,40374
B,8781,264
R,8783,29027
B,8785,274
I,8788,40472
B,8790,291
R,8793,28981
B,8795,206
I,8797,40426
B,8800,299
R,8802,29083
B,8804,272
I,8807,40459
B,8809,279
R,8811,28946
B,8814,204
I,8816,40465
B,8819,331
R,8821,29065
B,8823,238
I,8826,40469
B,8828,267
R,8830,28996
B,8833,237
I,8835,40525
B,8837,336
R,8840,29038
B,8842,225
I,8844,40439
B,8847,279
R,8849,29018
B,8852,275
I,8854,40521
B,8856,301
R,8859,29048
B,8861,215
I,8863,40449
B,8866,290
R,8868,29073
B,8870,288
I,8873,40499
B,8875,285
R,8878,28996
B,8880,218
I,8882,40490
B,8885,333
R,8887,29130
B,8889,248
I,8892,40460
B,8894,275
R,8896,28974
B,8899,228
I,8901,40528
B,8904,338
R,8906,29050
B,8908,225
I,8911,40463
B,8913,280
R,8915,29027
B,8918,270
I,8920,40563
B,8922,316
R,8925,29055
B,8927,220
I,8929,40456
B,8932,294
R,8934,29067
B,8937,286
I,8939,40561
B,8941,289
R,8944,29036
B,8946,220
I,8948,40462
B,8951,321
R,8953,29118
B,8955,257
I,8958,40514
B,8960,280
R,8963,28961
B,8965,225
I,8967,40517
B,8970,339
R,8972,29076
B,8974,234
I,8977,40469
B,8979,284
R,8981,29063
B,8984,262
I,8986,40538
B,8988,320
R,8991,29052
B,8993,223
I,8996,40425
B,8998,289
R,9000,29040
B,9003,289
I,9005,40559
B,9007,289
R,9010,29036
B,9012,218
I,9014,40484
B,9017,310
R,9019,29117
B,9022,267
I,9024,40496
B,9026,282
R,9029,29029
B,9031,220
I,9033,40501
B,9036,345
R,9038,29104
B,9040,237
I,9043,40502
B,9045,275
R,9048,28996
B,9050,245
I,9052,40551
B,9055,337
R,9057,29051
B,9059,223
I,9062,40433
B,9064,276
R,9066,29065
B,9069,284
I,9071,40510
B,9073,305
R,9076,29031
B,9078,215
I,9081,40437
B,9083,307
R,9085,29105
B,9088,283
I,9090,40543
B,9092,284
R,9095,29001
B,9097,215
I,9099,40520
B,9102,339
R,9104,29099
B,9107,239
I,9109,40486
B,9111,277
R,9114,28969
B,9116,243
I,9118,40576
B,9121,342
R,9123,29001
B,9125,224
I,9128,40504
B,9130,273
R,9132,29019
B,9135,277
I,9137,40590
B,9140,298
R,9142,29021
B,9144,215
I,9147,40517
B,9149,295
R,9151,29093
B,9154,281
I,9156,40539
B,9158,288
R,9161,29025
B,9163,217
I,9166,40493
B,9168,335
R,9170,29106
B,9173,229
I,9175,40513
B,9177,238
R,9180,28936
B,9182,206
I,9184,40561
B,9187,296
R,9189,28945
B,9192,189
I,9194,40462
B,9196,231
R,9199,28906
B,9201,226
I,9203,40556
B,9206,276
R,9208,28963
B,9210,169
I,9213,40458
B,9215,246
R,9217,28958
B,9220,237
I,9222,40480
B,9225,245
R,9227,28914
B,9229,172
I,9232,40497
B,9234,280
R,9236,28962
B,9239,211
I,9241,40502
B,9243,233
R,9246,28885
B,9248,184
I,9251,40506
B,9253,304
R,9255,28970
B,9258,190
I,9260,40501
B,9262,239
R,9265,28921
B,9267,212
I,9269,40550
B,9272,279
R,9274,28921
B,9277,172
I,9279,40468
B,9281,242
R,9284,28929
B,9286,245
I,9288,40524
B,9291,244
R,9293,28908
B,9295,171
I,9298,40493
B,9300,264
R,9302,28949
B,9305,223
I,9307,40462
B,9310,234
R,9312,28891
B,9314,175
I,9317,40510
B,9319,294
R,9321,29003
B,9324,194
I,9326,40516
B,9328,231
R,9331,28905
B,9333,197
I,9336,40587
B,9338,291
R,9340,28935
B,9343,180
I,9345,40496
B,9347,229
R,9350,28971
B,9352,237
I,9354,40628
B,9357,255
R,9359,28907
B,9362,174
I,9364,40463
B,9366,256
R,9369,28972
B,9371,234
I,9373,40502
B,9376,240
R,9378,28895
B,9380,173
I,9383,40553
B,9385,293
R,9387,28979
B,9390,198
I,9392,40485
B,9395,241
R,9397,28913
B,9399,206
I,9402,40549
B,9404,308
R,9406,28927
B,9409,205
I,9411,40433
B,9413,248
R,9416,28947
B,9418,247
I,9421,40528
B,9423,272
R,9425,28903
B,9428,183
I,9430,40403
B,9432,272
R,9435,28922
B,9437,258
I,9439,40444
B,9442,267
R,9444,28848
B,9446,197
I,9449,40387
B,9451,299
R,9454,28919
B,9456,226
I,9458,40386
B,9461,253
R,9463,28850
B,9465,216
I,9468,40455
B,9470,326
R,9472,28926
B,9475,216
I,9477,40343
B,9480,264
R,9482,28871
B,9484,247
I,9487,40450
B,9489,304
R,9491,28942
B,9494,208
I,9496,40363
B,9498,278
R,9501,28968
B,9503,282
I,9506,40410
B,9508,286
R,9510,28886
B,9513,210
I,9515,40402
B,9517,309
R,9520,28970
B,9522,252
I,9524,40425
B,9527,269
R,9529,28897
B,9531,220
I,9534,40430
B,9536,346
R,9539,28953
B,9541,235
I,9543,40446
B,9546,272
R,9548,28887
B,9550,246
I,9553,40483
B,9555,303
R,9557,28916
B,9560,196
I,9562,40398
B,9565,259
R,9567,28899
B,9569,264
I,9572,40480
B,9574,263
R,9576,28885
B,9579,193
I,9581,40367
B,9583,284
R,9586,28928
B,9588,242
I,9590,40453
B,9593,255
R,9595,28848
B,9598,188
I,9600,40432
B,9602,318
R,9605,28939
B,9607,207
I,9609,40378
B,9612,251
R,9614,28868
B,9616,219
I,9619,40468
B,9621,313
R,9624,28871
B,9626,197
I,9628,40395
B,9631,246
R,9633,28897
B,9635,253
I,9638,40482
B,9640,265
R,9642,28868
B,9645,193
I,9647,40392
B,9649,278
R,9652,28945
B,9654,249
I,9657,40427
B,9659,265
R,9661,28886
B,9664,189
I,9666,40407
B,9668,308
R,9671,28986
B,9673,211
I,9675,40462
B,9678,251
R,9680,28864
B,9683,210
I,9685,40484
B,9687,322
R,9690,28903
B,9692,203
I,9694,40430
B,9697,250
R,9699,28891
B,9701,246
I,9704,40485
B,9706,275
R,9709,28917
B,9711,184
I,9713,40428
B,9716,268
R,9718,28941
B,9720,256
I,9723,40438
B,9725,261
R,9727,28850
B,9730,186
I,9732,40440
B,9734,298
R,9737,28973
B,9739,217
I,9742,40395
B,9744,249
R,9746,28908
B,9749,195
I,9751,40497
B,9753,313
R,9756,28942
B,9758,199
I,9760,40448
B,9763,248
R,9765,28913
B,9768,238
I,9770,40540
B,9772,285
R,9775,28963
B,9777,192
I,9779,40429
B,9782,264
R,9784,28978
B,9786,250
I,9789,40508
B,9791,260
R,9793,28918
B,9796,182
I,9798,40440
B,9801,292
R,9803,29012
B,9805,230
I,9808,40470
B,9810,246
R,9812,28921
B,9815,203
I,9817,40507
B,9819,313
R,9822,29011
B,9824,202
I,9827,40505
B,9829,246
R,9831,28937
B,9834,231
I,9836,40582
B,9838,295
R,9841,29003
B,9843,192
I,9845,40464
B,9848,257
R,9850,28963
B,9853,252
I,9855,40565
B,9857,262
R,9860,28949
B,9862,188
I,9864,40480
B,9867,284
R,9869,29021
B,9871,243
I,9874,40539
B,9876,257
R,9878,28900
B,9881,191
I,9883,40524
B,9886,316
R,9888,29046
B,9890,212
I,9893,40503
B,9895,246
R,9897,28964
B,9900,220
I,9902,40611
B,9904,300
R,9907,29016
B,9909,199
I,9912,40497
B,9914,243
R,9916,28959
B,9919,258
I,9921,40575
B,9923,269
R,9926,28993
B,9928,186
I,9930,40532
B,9933,273
R,9935,29058
B,9938,250
I,9940,40589
B,9942,264
R,9945,28980
B,9947,187
I,9949,40608
B,9952,322
R,9954,29085
B,9956,212
I,9959,40620
B,9961,253
R,9963,28993
B,9966,214
I,9968,40663
B,9971,314
R,9973,29068
B,9975,206
I,9978,40560
B,9980,247
R,9982,29026
B,9985,253
I,9987,40717
B,9989,287
R,9992,29071
B,9994,233
I,9997,40700
B,9999,404
R,10001,29380
B,10004,433
I,10006,40841
B,10008,471
R,10011,29520
B,10013,443
I,10015,40976
B,10018,595
R,10020,29779
B,10023,527
I,10025,41013
B,10027,558
R,10030,29744
B,10032,521
I,10034,41086
B,10037,621
R,10039,29822
B,10042,511
I,10044,40980
B,10046,552
R,10049,29805
B,10051,543
I,10053,41087
B,10056,583
R,10058,29754
B,10060,486
I,10063,40978
B,10065,551
R,10068,29827
B,10070,542
I,10072,41036
B,10075,558
R,10077,29734
B,10079,474
I,10082,40996
B,10084,597
R,10087,29813
B,10089,520
I,10091,40986
B,10094,540
R,10096,29680
B,10098,489
I,10101,41037
B,10103,609
R,10105,29785
B,10108,488
I,10110,40950
B,10113,539
R,10115,29711
B,10117,524
I,10120,41031
B,10122,576
R,10124,29721
B,10127,476
I,10129,40932
B,10132,551
R,10134,29758
B,10136,542
I,10139,41009
B,10141,544
R,10143,29671
B,10146,470
I,10148,40979
B,10150,582
R,10153,29754
B,10155,505
I,10158,40964
B,10160,532
R,10162,29667
B,10165,475
I,10167,41006
B,10169,599
R,10172,29714
B,10174,481
I,10177,40982
B,10179,516
R,10181,29669
B,10184,505
I,10186,41044
B,10188,570
R,10191,29694
B,10193,466
I,10196,40932
B,10198,537
R,10200,29701
B,10203,537
I,10205,41023
B,10207,539
R,10210,29684
B,10212,461
I,10214,40888
B,10217,558
R,10219,29677
B,10222,518
I,10224,40912
B,10226,524
R,10229,29581
B,10231,467
I,10233,40896
B,10236,593
R,10238,29689
B,10241,479
I,10243,40799
B,10245,528
R,10248,29629
B,10250,498
I,10252,40890
B,10255,572
R,10257,29596
B,10259,455
I,10262,40765
B,10264,509
R,10267,29579
B,10269,517
I,10271,40800
B,10274,532
R,10276,29561
B,10278,444
I,10281,40752
B,10283,545
R,10286,29654
B,10288,502
I,10290,40766
B,10293,516
R,10295,29563
B,10297,453
I,10300,40843
B,10302,578
R,10304,29607
B,10307,484
I,10309,40778
B,10312,502
R,10314,29528
B,10316,475
I,10319,40853
B,10321,559
R,10323,29591
B,10326,456
I,10328,40770
B,10331,498
R,10333,29557
B,10335,509
I,10338,40847
B,10340,525
R,10342,29565
B,10345,442
I,10347,40785
B,10349,532
R,10352,29611
B,10354,500
I,10357,40810
B,10359,515
R,10361,29513
B,10364,443
I,10366,40826
B,10368,565
R,10371,29622
B,10373,461
I,10376,40770
B,10378,489
R,10380,29548
B,10383,464
I,10385,40873
B,10387,558
R,10390,29613
B,10392,451
I,10395,40747
B,10397,500
R,10399,29576
B,10402,500
I,10404,40858
B,10406,518
R,10409,29569
