TAG,Time,Value
B,2513,400
R,2515,24314
B,2517,320
I,2520,32906
B,2522,328
R,2525,24186
B,2527,292
I,2529,33015
B,2532,409
R,2534,24324
B,2536,278
I,2539,32882
B,2541,318
R,2543,24215
B,2546,351
I,2548,33013
B,2551,373
R,2553,24288
B,2555,278
I,2558,32847
B,2560,338
R,2562,24337
B,2565,368
I,2567,32999
B,2569,337
R,2572,24209
B,2574,277
I,2576,32899
B,2579,393
R,2581,24342
B,2584,330
I,2586,32985
B,2588,326
R,2591,24222
B,2593,277
I,2595,32997
B,2598,419
R,2600,24312
B,2602,295
I,2605,32921
B,2607,320
R,2610,24215
B,2612,344
I,2614,33021
B,2617,390
R,2619,24277
B,2621,274
I,2624,32881
B,2626,324
R,2628,24294
B,2631,374
I,2633,32988
B,2636,352
R,2638,24221
B,2640,277
I,2643,32922
B,2645,375
R,2647,24356
B,2650,332
I,2652,32982
B,2654,327
R,2657,24197
B,2659,280
I,2661,33012
B,2664,421
R,2666,24318
B,2669,309
I,2671,32923
B,2673,319
R,2676,24196
B,2678,318
I,2680,33034
B,2683,396
R,2685,24287
B,2687,277
I,2690,32890
B,2692,326
R,2695,24298
B,2697,372
I,2699,33053
B,2702,365
R,2704,24225
B,2706,273
I,2709,32928
B,2711,362
R,2713,24362
B,2716,343
I,2718,33021
B,2720,328
R,2723,24215
B,2725,279
I,2728,32990
B,2730,416
R,2732,24332
B,2735,317
I,2737,33002
B,2739,329
R,2742,24152
B,2744,303
I,2746,33070
B,2749,411
R,2751,24332
B,2754,279
I,2756,32924
B,2758,318
R,2761,24276
B,2763,360
I,2765,33063
B,2768,373
R,2770,24272
B,2772,274
I,2775,32918
B,2777,346
R,2779,24343
B,2782,359
I,2784,33037
B,2787,331
R,2789,24230
B,2791,269
I,2794,32984
B,2796,405
R,2798,24349
B,2801,323
I,2803,32991
B,2805,322
R,2808,24192
B,2810,287
I,2813,33089
B,2815,422
R,2817,24307
B,2820,284
I,2822,32914
B,2824,320
R,2827,24207
B,2829,347
I,2831,33126
B,2834,376
R,2836,24301
B,2839,274
I,2841,32921
B,2843,326
R,2846,24315
B,2848,374
I,2850,33047
B,2853,332
R,2855,24207
B,2857,274
I,2860,33000
B,2862,392
R,2864,24395
B,2867,328
I,2869,33022
B,2872,332
R,2874,24207
B,2876,276
I,2879,33116
B,2881,417
R,2883,24332
B,2886,293
I,2888,32966
B,2890,325
R,2893,24233
B,2895,332
I,2898,33153
B,2900,380
R,2902,24312
B,2905,277
I,2907,32972
B,2909,316
R,2912,24324
B,2914,373
I,2916,33101
B,2919,345
R,2921,24270
B,2924,275
I,2926,33003
B,2928,376
R,2931,24362
B,2933,333
I,2935,33039
B,2938,328
R,2940,24225
B,2942,271
I,2945,33062
B,2947,424
R,2949,24355
B,2952,310
I,2954,32947
B,2957,320
R,2959,24213
B,2961,314
I,2964,33072
B,2966,397
R,2968,24254
B,2971,274
I,2973,32856
B,2975,323
R,2978,24261
B,2980,365
I,2983,33001
B,2985,360
R,2987,24203
B,2990,276
I,2992,32854
B,2994,355
R,2997,24310
B,2999,356
I,3001,32889
B,3004,321
R,3006,24135
B,3009,274
I,3011,32863
B,3013,414
R,3016,24278
B,3018,314
I,3020,32836
B,3023,324
R,3025,24140
B,3027,298
I,3030,32970
B,3032,413
R,3034,24259
B,3037,277
I,3039,32781
B,3042,324
R,3044,24188
B,3046,355
I,3049,32931
B,3051,374
R,3053,24172
B,3056,268
I,3058,32767
B,3060,334
R,3063,24267
B,3065,364
I,3068,32866
B,3070,325
R,3072,24160
B,3075,278
I,3077,32805
B,3079,396
R,3082,24293
B,3084,321
I,3086,32853
B,3089,321
R,3091,24150
B,3093,285
I,3096,32934
B,3098,420
R,3101,24230
B,3103,283
I,3105,32777
B,3108,324
R,3110,24152
B,3112,337
I,3115,32942
B,3117,381
R,3119,24192
B,3122,278
I,3124,32767
B,3127,333
R,3129,24256
B,3131,374
I,3134,32905
B,3136,343
R,3138,24165
B,3141,278
I,3143,32834
B,3145,386
R,3148,24282
B,3150,331
I,3152,32833
B,3155,325
R,3157,24132
B,3160,272
I,3162,32888
B,3164,419
R,3167,24240
B,3169,294
I,3171,32779
B,3174,322
R,3176,24158
B,3178,331
I,3181,32932
B,3183,390
R,3186,24210
B,3188,273
I,3190,32773
B,3193,322
R,3195,24244
B,3197,366
I,3200,32923
B,3202,352
R,3204,24147
B,3207,274
I,3209,32795
B,3211,374
R,3214,24252
B,3216,344
I,3219,32870
B,3221,323
R,3223,24113
B,3226,272
I,3228,32863
B,3230,422
R,3233,24276
B,3235,311
I,3237,32838
B,3240,323
R,3242,24166
B,3245,310
I,3247,32908
B,3249,401
R,3252,24258
B,3254,282
I,3256,32761
B,3259,321
R,3261,24179
B,3263,361
I,3266,32904
B,3268,366
R,3270,24156
B,3273,273
I,3275,32770
B,3278,348
R,3280,24263
B,3282,356
I,3285,32860
B,3287,329
R,3289,24134
B,3292,269
I,3294,32832
B,3296,410
R,3299,24261
B,3301,320
I,3304,32824
B,3306,322
R,3308,24094
B,3311,292
I,3313,32907
B,3315,408
R,3318,24245
B,3320,283
I,3322,32722
B,3325,313
R,3327,24178
B,3330,352
I,3332,32914
B,3334,367
R,3337,24177
B,3339,272
I,3341,32758
B,3344,336
R,3346,24237
B,3348,366
I,3351,32883
B,3353,337
R,3355,24166
B,3358,275
I,3360,32779
B,3363,398
R,3365,24233
B,3367,326
I,3370,32823
B,3372,325
R,3374,24115
B,3377,276
I,3379,32912
B,3381,417
R,3384,24245
B,3386,290
I,3389,32790
B,3391,324
R,3393,24157
B,3396,344
I,3398,32900
B,3400,376
R,3403,24206
B,3405,274
I,3407,32766
B,3410,325
R,3412,24211
B,3415,375
I,3417,32894
B,3419,346
R,3422,24127
B,3424,275
I,3426,32798
B,3429,383
R,3431,24290
B,3433,332
I,3436,32843
B,3438,327
R,3440,24110
B,3443,282
I,3445,32902
B,3448,423
R,3450,24229
B,3452,302
I,3455,32817
B,3457,332
R,3459,24176
B,3462,321
I,3464,32967
B,3466,397
R,3469,24217
B,3471,275
I,3474,32801
B,3476,321
R,3478,24226
B,3481,375
I,3483,32924
B,3485,357
R,3488,24172
B,3490,274
I,3492,32804
B,3495,365
R,3497,24283
B,3500,350
I,3502,32913
B,3504,325
R,3507,24135
B,3509,277
I,3511,32892
B,3514,419
R,3516,24278
B,3518,314
I,3521,32851
B,3523,323
R,3525,24141
B,3528,303
I,3530,32969
B,3533,405
R,3535,24229
B,3537,281
I,3540,32796
B,3542,330
R,3544,24185
B,3547,363
I,3549,32964
B,3551,364
R,3554,24182
B,3556,277
I,3559,32845
B,3561,349
R,3563,24270
B,3566,360
I,3568,32968
B,3570,325
R,3573,24124
B,3575,278
I,3577,32862
B,3580,395
R,3582,24294
B,3585,316
I,3587,32901
B,3589,331
R,3592,24173
B,3594,291
I,3596,32972
B,3599,414
R,3601,24254
B,3603,287
I,3606,32854
B,3608,317
R,3610,24187
B,3613,350
I,3615,32993
B,3618,373
R,3620,24225
B,3622,277
I,3625,32825
B,3627,332
R,3629,24286
B,3632,365
I,3634,32959
B,3636,338
R,3639,24163
B,3641,279
I,3644,32929
B,3646,393
R,3648,24266
B,3651,333
I,3653,32936
B,3655,319
R,3658,24132
B,3660,282
I,3662,32971
B,3665,422
R,3667,24301
B,3670,297
I,3672,32898
B,3674,321
R,3677,24200
B,3679,347
I,3681,33021
B,3684,380
R,3686,24233
B,3688,275
I,3691,32886
B,3693,322
R,3695,24258
B,3698,372
I,3700,32988
B,3703,348
R,3705,24203
B,3707,284
I,3710,32915
B,3712,376
