,TAG,Value,Time
375,I,43785,723
376,B,0,724
377,R,35664,725
378,B,0,726
379,I,43753,727
380,B,0,728
381,R,35705,729
382,B,0,730
383,I,43865,730
384,B,0,731
385,R,35651,732
386,B,0,733
387,I,43747,734
388,B,0,735
389,R,35830,735
390,B,0,736
391,I,43744,737
392,B,0,738
393,R,35836,739
394,B,0,740
395,I,43728,741
396,B,0,742
397,R,35830,742
398,B,0,743
399,I,43795,744
400,B,0,745
401,R,35689,746
402,B,0,747
403,I,43875,747
404,B,0,748
405,R,35792,749
406,B,0,750
407,I,43849,751
408,B,0,752
409,R,35811,753
410,B,0,754
411,I,43750,754
412,B,0,755
413,R,35801,756
414,B,0,757
415,I,43756,758
416,B,0,759
417,R,35657,759
418,B,0,760
419,I,43820,761
420,B,0,762
421,R,35824,763
422,B,0,764
423,I,43734,765
424,B,0,766
425,R,35737,766
426,B,0,767
427,I,43747,768
428,B,0,769
429,R,35724,770
430,B,0,771
431,I,43804,771
432,B,0,772
433,R,35734,773
434,B,0,774
435,I,43878,775
436,B,0,776
437,R,35795,777
438,B,0,778
439,I,43760,778
440,B,0,779
441,R,35705,780
442,B,0,781
443,I,43817,782
444,B,0,783
445,R,35737,783
446,B,0,784
447,I,43849,785
448,B,0,786
449,R,35712,787
450,B,0,788
451,I,43795,789
452,B,0,790
453,R,35785,790
454,B,0,791
455,I,43798,792
456,B,0,793
457,R,35728,794
458,B,0,795
459,I,43891,795
460,B,0,796
461,R,35747,797
462,B,0,798
463,I,43811,799
464,B,0,800
465,R,35712,801
466,B,0,802
467,I,43801,802
468,B,0,803
469,R,35763,804
470,B,0,805
471,I,43792,806
472,B,0,807
473,R,35696,807
474,B,0,808
475,I,43884,809
476,B,0,810
477,R,35660,811
478,B,0,812
479,I,43737,813
480,B,0,814
481,R,35795,814
482,B,0,815
483,I,43827,816
484,B,0,817
485,R,35795,818
486,B,0,819
487,I,43817,819
488,B,0,820
489,R,35817,821
490,B,0,822
491,I,43817,823
492,B,0,824
493,R,35731,825
494,B,0,826
495,I,43776,826
496,B,0,827
497,R,35673,828
498,B,0,829
499,I,43795,830
500,B,0,831
501,R,35836,831
502,B,0,832
503,I,43782,833
504,B,0,834
505,R,35811,835
506,B,0,836
507,I,43881,837
508,B,0,838
509,R,35683,838
510,B,0,839
511,I,43920,840
512,B,0,841
513,R,35696,842
514,B,0,843
515,I,43846,843
516,B,0,844
517,R,35811,845
518,B,0,846
519,I,43792,847
520,B,0,848
521,R,35689,849
522,B,0,850
523,I,43843,850
524,B,0,851
525,R,35705,852
526,B,0,853
527,I,43856,854
528,B,0,855
529,R,35788,855
530,B,0,856
531,I,43808,857
532,B,0,858
533,R,35836,859
534,B,0,860
535,I,43811,861
536,B,0,862
537,R,35776,862
538,B,0,863
