TAG,Value,Time
R,47014,86136
B,22,86138
I,44726,86140
B,4464,86143
R,47088,86145
B,19,86147
I,44668,86149
B,4268,86152
R,47094,86154
B,16,86156
I,44665,86158
B,4560,86161
R,47123,86163
B,12,86165
I,44697,86167
B,4540,86170
R,47072,86172
B,19,86174
I,44768,86176
B,4560,86179
R,47094,86181
B,19,86183
I,44707,86185
B,4595,86188
R,47184,86190
B,9,86192
I,44777,86194
B,4569,86196
R,47116,86199
B,22,86201
I,44793,86203
B,4576,86205
R,47110,86208
B,19,86210
I,44784,86212
B,4595,86214
R,47136,86217
B,22,86219
I,44726,86221
B,4598,86223
R,47241,86226
B,19,86228
I,44838,86230
B,4582,86232
R,47174,86235
B,12,86237
I,44892,86239
B,4572,86241
R,47129,86244
B,16,86246
I,44844,86248
B,4582,86251
R,47164,86253
B,19,86255
I,44860,86257
B,4476,86260
R,47248,86262
B,16,86264
I,44816,86266
B,4265,86269
R,47219,86271
B,16,86273
I,44828,86275
B,4560,86278
R,47184,86280
B,12,86282
I,44886,86284
B,4569,86287
R,47193,86289
B,19,86291
I,44915,86293
B,4544,86296
R,47177,86298
B,16,86300
I,44800,86302
B,4572,86305
R,47254,86307
B,12,86309
I,44841,86311
B,4588,86314
R,47244,86316
B,19,86318
I,44867,86320
B,4572,86323
R,47196,86325
B,12,86327
I,44854,86329
B,4566,86332
R,47132,86334
B,22,86336
I,44880,86338
B,4579,86341
R,47136,86343
B,12,86345
I,44848,86347
B,4579,86350
R,47184,86352
B,16,86354
I,44854,86356
B,4601,86359
R,47264,86361
B,12,86363
I,44908,86365
B,4563,86368
R,47187,86370
B,22,86372
I,44960,86374
B,4582,86377
R,47177,86379
B,16,86381
I,44915,86383
B,4534,86386
R,47238,86388
B,6,86390
I,44915,86392
B,4582,86395
R,47200,86397
B,22,86399
I,44966,86401
B,4582,86404
R,47283,86406
B,19,86408
I,44995,86410
B,4620,86413
R,47257,86415
B,22,86417
I,44873,86419
B,4592,86422
R,47344,86424
B,16,86426
I,44972,86428
B,4595,86431
R,47347,86433
B,16,86435
I,45036,86437
B,4624,86440
R,47254,86442
B,12,86444
I,45014,86446
B,4572,86449
R,47200,86451
B,16,86453
I,45030,86455
B,4588,86458
R,47225,86460
B,19,86462
I,44995,86464
B,4598,86467
R,47270,86469
B,19,86471
I,45008,86473
B,4611,86476
R,47299,86478
B,19,86480
I,45078,86482
B,4563,86485
R,47276,86487
B,22,86489
I,45129,86491
B,4585,86494
R,47273,86496
B,16,86498
I,45056,86500
B,4608,86503
R,47350,86505
B,16,86507
I,45100,86509
B,4611,86512
R,47353,86514
B,16,86516
I,45068,86518
B,4598,86521
R,47356,86523
B,16,86525
I,45075,86527
B,4608,86530
R,47347,86532
B,16,86534
I,45142,86536
B,4595,86539
R,47302,86541
B,22,86543
I,45104,86545
B,4604,86548
R,47321,86550
B,25,86552
I,45059,86554
B,4646,86557
R,47411,86559
B,22,86561
I,45164,86563
B,4585,86566
R,47379,86568
B,9,86570
I,45193,86572
B,4611,86575
R,47372,86577
B,16,86579
I,45129,86581
B,4604,86584
R,47353,86586
B,16,86588
I,45168,86590
B,4588,86593
R,47366,86595
B,22,86597
I,45248,86599
B,4592,86602
R,47366,86604
B,12,86606
I,45280,86608
B,4595,86611
R,47360,86613
B,16,86615
I,45180,86617
B,4595,86620
R,47440,86622
B,19,86624
I,45222,86626
B,4588,86629
R,47388,86631
B,25,86633
I,45206,86635
B,4595,86638
R,47385,86640
B,16,86642
I,45212,86644
B,4588,86647
R,47356,86649
B,9,86651
I,45190,86653
B,4579,86656
R,47484,86658
B,19,86660
I,45283,86662
B,4598,86665
R,47417,86667
B,38,86669
I,45308,86671
B,4588,86674
R,47372,86676
B,9,86678
I,45232,86680
B,4604,86682
R,47363,86685
B,25,86687
I,45257,86689
B,4588,86691
R,47382,86694
B,16,86696
I,45337,86698
B,4592,86700
R,47414,86703
B,12,86705
I,45340,86707
B,4617,86709
R,47408,86712
B,12,86714
I,45264,86716
B,4611,86719
R,47408,86721
B,19,86723
I,45315,86725
B,4489,86728
R,47420,86730
B,22,86732
I,45270,86734
B,4278,86737
R,47398,86739
B,19,86741
I,45321,86743
B,4620,86746
R,47430,86748
B,16,86750
I,45331,86752
B,4611,86755
R,47507,86757
B,19,86759
I,45324,86761
B,4608,86764
R,47449,86766
B,12,86768
I,45308,86770
B,4592,86773
R,47481,86775
B,19,86777
I,45324,86779
B,4592,86782
R,47376,86784
B,19,86786
I,45235,86788
B,4588,86791
R,47289,86793
B,16,86795
I,45065,86797
B,4588,86800
R,47209,86802
B,25,86804
I,44953,86806
B,4588,86809
R,47120,86811
B,12,86813
I,44816,86815
B,4576,86818
R,46963,86820
B,16,86822
I,44758,86824
B,4547,86827
R,46998,86829
B,22,86831
I,44729,86833
B,4553,86836
R,46969,86838
B,19,86840
I,44681,86842
B,4569,86845
R,46960,86847
B,16,86849
I,44528,86851
B,4556,86854
R,47001,86856
B,16,86858
I,44550,86860
B,4540,86863
R,46896,86865
B,0,86867
I,44540,86869
B,4566,86872
R,46969,86874
B,16,86876
I,44563,86878
B,4553,86881
R,46928,86883
B,19,86885
I,44518,86887
B,4547,86890
R,46944,86892
B,16,86894
I,44624,86896
B,4553,86899
R,46880,86901
B,12,86903
I,44624,86905
B,4576,86908
R,46867,86910
B,35,86912
I,44553,86914
B,4592,86917
R,46940,86919
B,22,86921
I,44608,86923
B,4585,86926
R,46908,86928
B,19,86930
I,44611,86932
B,4572,86935
R,46918,86937
B,12,86939
I,44675,86941
B,4547,86944
R,46995,86946
B,51,86948
I,44723,86950
B,4566,86953
R,47027,86955
B,22,86957
I,44707,86959
B,4569,86962
R,47062,86964
B,16,86966
I,44617,86968
B,4563,86971
R,47097,86973
B,19,86975
I,44723,86977
B,4540,86980
R,46976,86982
B,12,86984
I,44726,86986
B,4566,86989
R,46963,86991
B,16,86993
I,44691,86995
B,4576,86998
R,46985,87000
B,25,87002
I,44707,87004
B,4598,87007
R,47014,87009
B,19,87011
I,44704,87013
B,4601,87016
R,47024,87018
B,19,87020
I,44739,87022
B,4585,87025
R,47068,87027
B,19,87029
I,44838,87031
B,4550,87034
R,47004,87036
B,16,87038
I,44857,87040
B,4550,87043
R,47049,87045
B,9,87047
I,44764,87049
B,4544,87052
R,47004,87054
B,16,87056
I,44812,87058
B,4582,87061
R,47049,87063
B,19,87065
I,44844,87067
B,4576,87070
R,47110,87072
B,19,87074
I,44816,87076
B,4582,87079
R,47100,87081
B,22,87083
I,44726,87085
B,4569,87088
R,47120,87090
B,16,87092
I,44835,87094
B,4553,87097
R,47014,87099
B,19,87101
I,44828,87103
B,4560,87106
R,47017,87108
B,22,87110
I,44784,87112
B,4576,87115
R,47052,87117
B,16,87119
I,44752,87121
B,4598,87124
R,47065,87126
B,19,87128
I,44774,87130
B,4582,87133
R,47027,87135
B,16,87137
I,44800,87139
B,4566,87142
R,47033,87144
B,9,87146
I,44755,87148
B,4569,87151
R,47030,87153
B,19,87155
I,44832,87157
B,4566,87160
R,46998,87162
B,12,87164
I,44828,87166
B,4515,87169
R,47056,87171
B,16,87173
I,44841,87175
B,4576,87178
R,47152,87180
B,19,87182
I,44860,87184
B,4572,87187
R,47129,87189
B,16,87191
I,44854,87193
B,4579,87196
R,47126,87198
B,9,87200
I,44867,87202
B,4288,87205
R,47120,87207
B,16,87209
I,44857,87211
B,4572,87214
R,47158,87216
B,22,87218
I,44937,87220
B,4560,87223
R,47206,87225
B,38,87227
I,44992,87229
B,4572,87232
R,47142,87234
B,16,87236
I,44966,87238
B,4579,87241
R,47148,87243
B,19,87245
I,44976,87247
B,4579,87250
R,47161,87252
B,9,87254
I,45049,87256
B,4582,87258
R,47081,87261
B,19,87263
I,45065,87265
B,4566,87267
R,47161,87270
B,19,87272
I,45011,87274
B,4592,87276
R,47238,87279
B,19,87281
I,45024,87283
B,4572,87285
R,47219,87288
B,25,87290
I,45062,87292
B,4576,87294
R,47168,87297
B,12,87299
I,45036,87301
B,4595,87304
R,47200,87306
B,12,87308
I,45078,87310
B,4489,87313
R,47228,87315
B,12,87317
I,45020,87319
B,4320,87322
R,47267,87324
B,25,87326
I,45024,87328
B,4608,87331
R,47270,87333
B,19,87335
I,45120,87337
B,4592,87340
R,47305,87342
B,12,87344
I,45180,87346
B,4595,87349
R,47180,87351
B,19,87353
I,45152,87355
B,4576,87358
R,47260,87360
B,25,87362
I,45180,87364
B,4595,87367
R,47315,87369
B,16,87371
I,45219,87373
B,4582,87376
R,47299,87378
B,12,87380
I,45174,87382
B,4588,87385
R,47283,87387
B,25,87389
I,45244,87391
B,4576,87394
R,47241,87396
B,19,87398
I,45228,87400
B,4588,87403
R,47283,87405
B,19,87407
I,45222,87409
B,4617,87412
R,47388,87414
B,16,87416
I,45212,87418
B,4579,87421
R,47401,87423
B,12,87425
I,45235,87427
B,4595,87430
R,47356,87432
B,16,87434
I,45212,87436
B,4576,87439
R,47366,87441
B,19,87443
I,45267,87445
B,4614,87448
R,47273,87450
B,6,87452
I,45280,87454
B,4608,87457
R,47356,87459
B,12,87461
I,45315,87463
B,4579,87466
R,47283,87468
B,16,87470
I,45267,87472
B,4592,87475
R,47340,87477
B,22,87479
I,45312,87481
B,4608,87484
R,47363,87486
B,22,87488
I,45308,87490
B,4563,87493
R,47337,87495
B,16,87497
I,45286,87499
B,4592,87502
R,47318,87504
B,22,87506
I,45318,87508
B,4572,87511
R,47270,87513
B,19,87515
I,45312,87517
B,4611,87520
R,47395,87522
B,9,87524
I,45308,87526
B,4588,87528
R,47324,87531
B,12,87533
I,45312,87535
B,4630,87538
R,47353,87540
B,16,87542
I,45331,87544
B,4512,87547
R,47392,87549
B,19,87551
I,45334,87553
B,4313,87556
R,47420,87558
B,16,87560
I,45264,87562
B,4579,87565
R,47369,87567
B,19,87569
I,45292,87571
B,4604,87574
R,47321,87576
B,16,87578
I,45248,87580
B,4585,87583
R,47161,87585
B,25,87587
I,45056,87589
B,4595,87592
R,47203,87594
B,19,87596
I,45001,87598
B,4582,87601
R,47145,87603
B,19,87605
I,44902,87607
B,4588,87610
R,47001,87612
B,19,87614
I,44758,87616
B,4572,87619
R,46931,87621
B,19,87623
I,44755,87625
B,4556,87628
R,46883,87630
B,12,87632
I,44659,87634
B,4550,87637
R,46937,87639
B,19,87641
I,44588,87643
B,4588,87646
R,46985,87648
B,22,87650
I,44582,87652
B,4572,87655
R,46963,87657
B,25,87659
I,44643,87661
B,4560,87664
R,46889,87666
B,19,87668
I,44585,87670
B,4540,87673
R,46896,87675
B,12,87677
I,44649,87679
B,4553,87682
R,46838,87684
B,22,87686
I,44627,87688
B,4579,87691
R,46889,87693
B,16,87695
I,44598,87697
B,4579,87700
R,46905,87702
B,19,87704
I,44684,87706
B,4576,87709
R,46828,87711
B,16,87713
I,44678,87715
B,4553,87718
R,46870,87720
B,22,87722
I,44694,87724
B,4569,87727
R,46934,87729
B,12,87731
I,44726,87733
B,4579,87736
R,47001,87738
B,12,87740
I,44723,87742
B,4560,87745
R,46998,87747
B,19,87749
I,44662,87751
B,4563,87754
R,47011,87756
B,12,87759
I,44771,87760
B,4563,87763
R,46979,87765
B,25,87768
I,44713,87769
B,4576,87772
R,46960,87774
B,9,87777
I,44748,87778
B,4553,87781
R,46960,87783
B,12,87785
I,44748,87787
B,4576,87790
R,47011,87792
B,25,87794
I,44812,87796
B,4576,87799
R,46976,87801
B,16,87803
I,44816,87805
B,4604,87808
R,47014,87810
B,57,87812
I,44748,87814
B,4598,87817
R,47020,87819
B,16,87821
I,44857,87823
B,4566,87826
R,46976,87828
B,22,87830
I,44854,87832
B,4604,87835
R,47017,87837
B,19,87839
I,44876,87841
B,4569,87844
R,47100,87846
B,16,87848
I,44886,87850
B,4592,87853
R,47145,87855
B,12,87857
I,44864,87859
B,4579,87862
R,47107,87864
B,16,87866
I,44835,87868
B,4563,87871
R,47104,87873
B,16,87876
I,44924,87877
B,4572,87880
R,47011,87882
B,6,87885
I,44854,87886
B,4576,87889
R,47129,87891
B,12,87893
I,44908,87895
B,4531,87898
R,47014,87900
B,19,87902
I,44848,87904
B,4569,87907
R,47068,87909
B,22,87911
I,44892,87913
B,4569,87916
R,47017,87918
B,12,87920
I,44908,87922
B,4588,87925
R,47049,87927
B,16,87929
I,44854,87931
B,4556,87934
R,47020,87936
B,12,87938
I,44902,87940
B,4563,87943
R,46950,87945
B,16,87947
I,44883,87949
B,4582,87952
R,47004,87954
B,22,87956
I,44876,87958
B,4598,87961
R,47113,87963
B,9,87965
I,44883,87967
B,4569,87970
R,47049,87972
B,16,87974
I,44944,87976
B,4579,87979
R,47068,87981
B,9,87983
I,44857,87985
B,4576,87987
R,47072,87990
B,9,87992
I,44918,87994
B,4579,87996
R,47161,87999
B,19,88001
I,44960,88003
B,4569,88005
R,47100,88008
B,16,88010
I,44950,88012
B,4563,88014
R,47094,88017
B,12,88019
I,44979,88021
B,4598,88023
R,47078,88026
B,22,88028
I,45004,88030
B,4611,88032
R,47094,88035
B,12,88037
I,44976,88039
B,4592,88041
R,47158,88044
B,19,88046
I,45027,88048
B,4601,88050
R,47107,88053
B,16,88055
I,45040,88057
B,4585,88059
R,47120,88062
B,19,88064
I,45036,88066
B,4611,88068
R,47187,88071
B,22,88073
I,45097,88075
B,4569,88077
R,47168,88080
B,19,88082
I,45065,88084
B,4576,88086
R,47184,88089
B,22,88091
I,45052,88093
B,4566,88095
R,47196,88098
B,16,88100
I,45142,88102
B,4614,88104
R,47209,88107
B,19,88109
I,45126,88111
B,4579,88113
R,47158,88116
B,19,88118
I,45084,88120
B,4627,88123
R,47248,88125
B,22,88127
I,45129,88129
B,4483,88132
R,47267,88134
B,12,88136
I,45145,88138
B,4323,88141
R,47209,88143
B,16,88145
I,45148,88147
B,4579,88150
R,47158,88152
B,19,88154
I,45244,88156
B,4592,88159
R,47257,88161
B,22,88163
I,45232,88165
B,4604,88168
R,47264,88170
B,19,88172
I,45168,88174
B,4608,88177
R,47292,88179
B,38,88181
I,45273,88183
B,4592,88186
R,47260,88188
B,22,88190
I,45254,88192
B,4582,88195
R,47206,88197
B,16,88199
I,45232,88201
B,4601,88204
R,47283,88206
B,19,88208
I,45238,88210
B,4608,88213
R,47267,88215
B,16,88217
I,45196,88219
B,4595,88222
R,47350,88224
B,16,88226
I,45225,88228
B,4601,88231
R,47334,88233
B,19,88235
I,45356,88237
B,4572,88240
R,47299,88242
B,25,88244
I,45315,88246
B,4598,88249
R,47251,88251
B,19,88253
I,45292,88255
B,4617,88258
R,47334,88260
B,16,88262
I,45331,88264
B,4611,88267
R,47280,88269
B,16,88271
I,45372,88273
B,4588,88276
R,47286,88278
B,12,88280
I,45334,88282
B,4588,88285
R,47296,88287
B,19,88289
I,45404,88291
B,4608,88294
R,47292,88296
B,25,88298
I,45340,88300
B,4614,88303
R,47379,88305
B,22,88307
I,45292,88309
B,4617,88312
R,47388,88314
B,19,88316
I,45302,88318
B,4601,88321
R,47344,88323
B,16,88325
I,45296,88327
B,4627,88330
R,47209,88332
B,19,88334
I,45148,88336
B,4604,88339
R,47177,88341
B,19,88344
I,45046,88345
B,4588,88348
R,47036,88350
B,19,88353
I,44864,88354
B,4617,88357
R,47017,88359
B,6,88362
I,44800,88363
B,4566,88366
R,46899,88368
B,19,88370
I,44707,88372
B,4582,88375
R,46944,88377
B,3,88379
I,44707,88381
B,4608,88384
R,46835,88386
B,12,88388
I,44681,88390
B,4563,88393
R,46908,88395
B,19,88397
I,44620,88399
B,4566,88402
R,46844,88404
B,16,88406
I,44553,88408
B,4547,88411
R,46809,88413
B,19,88415
I,44604,88417
B,4540,88420
R,46793,88422
B,19,88424
I,44627,88426
B,4556,88429
R,46771,88431
B,16,88433
I,44505,88435
B,4576,88438
R,46841,88440
B,19,88442
I,44521,88444
B,4576,88447
R,46825,88449
B,16,88451
I,44553,88453
B,4553,88456
R,46857,88458
B,6,88460
I,44556,88462
B,4553,88464
R,46864,88467
B,22,88469
I,44608,88471
B,4713,88474
R,46860,88476
B,16,88478
I,44643,88480
B,4435,88483
R,46851,88485
B,19,88487
I,44688,88489
B,4272,88492
R,46841,88494
B,16,88496
I,44665,88498
B,4569,88501
R,46857,88503
B,22,88505
I,44723,88507
B,4569,88510
R,46940,88512
B,28,88514
I,44700,88516
B,4563,88519
R,46883,88521
B,19,88523
I,44662,88525
B,4560,88528
R,46918,88530
B,22,88532
I,44768,88534
B,4563,88537
R,46947,88539
B,12,88541
I,44771,88543
B,4576,88546
R,46937,88548
B,35,88550
I,44643,88552
B,4515,88555
R,46995,88557
B,0,88559
I,44716,88561
B,4572,88563
R,46934,88566
B,22,88568
I,44748,88570
B,4611,88572
R,47001,88575
B,16,88577
I,44784,88579
B,4572,88581
R,46979,88584
B,9,88586
I,44784,88588
B,4572,88590
R,46982,88593
B,19,88595
I,44777,88597
B,4592,88599
R,46988,88602
B,19,88604
I,44857,88606
B,4572,88608
R,46937,88611
B,25,88613
I,44883,88615
B,4579,88617
R,46880,88620
B,16,88622
I,44851,88624
B,4588,88626
R,46992,88629
B,19,88631
I,44848,88633
B,4579,88635
R,47043,88638
B,16,88640
I,44774,88642
B,4595,88644
R,46988,88647
B,16,88649
I,44761,88651
B,4550,88653
R,46985,88656
B,12,88658
I,44883,88660
B,4553,88662
R,46972,88665
B,16,88667
I,44883,88669
B,4566,88671
R,46963,88674
B,16,88676
I,44809,88678
B,4566,88680
R,47027,88683
B,19,88685
I,44838,88687
B,4582,88689
R,47062,88692
B,16,88694
I,44870,88696
B,4608,88698
R,46940,88701
B,19,88703
I,44838,88705
B,4550,88708
R,46918,88710
B,22,88712
I,44873,88714
B,4470,88717
R,46976,88719
B,22,88721
I,44848,88723
B,4281,88726
R,47001,88728
B,22,88730
I,44816,88732
B,4576,88735
R,47008,88737
B,25,88739
I,44899,88741
B,4572,88744
R,47030,88746
B,12,88748
I,44953,88750
B,4563,88753
R,46988,88755
B,19,88757
I,44902,88759
B,4544,88762
R,47056,88764
B,28,88766
I,44940,88768
B,4592,88771
R,47120,88773
B,16,88775
I,44928,88777
B,4569,88780
R,47084,88782
B,12,88784
I,44908,88786
B,4540,88789
R,47097,88791
B,12,88793
I,44979,88795
B,4566,88798
R,47011,88800
B,16,88802
I,44979,88804
B,4611,88807
R,47027,88809
B,16,88811
I,44956,88813
B,4592,88816
R,47091,88818
B,16,88820
I,45040,88822
B,4588,88825
R,47139,88827
B,16,88829
I,45046,88831
B,4579,88834
R,47081,88836
B,0,88838
I,45027,88840
B,4272,88843
R,47142,88845
B,16,88847
I,45024,88849
B,4569,88852
R,47104,88854
B,16,88856
I,45110,88858
B,4582,88861
R,47116,88863
B,16,88865
I,45120,88867
B,4579,88870
R,47097,88872
B,16,88874
I,45094,88876
B,4598,88879
R,47187,88881
B,12,88883
I,45104,88885
B,4620,88888
R,47254,88890
B,3,88892
I,45190,88894
B,4598,88896
R,47136,88899
B,19,88901
I,45139,88903
B,4588,88905
R,47158,88908
B,16,88910
I,45126,88912
B,4582,88914
R,47212,88917
B,3,88919
I,45142,88921
B,4595,88923
R,47203,88926
B,16,88928
I,45206,88930
B,4601,88932
R,47244,88935
B,3,88937
I,45251,88939
B,4585,88941
R,47139,88943
B,16,88946
I,45180,88948
B,4588,88950
R,47158,88952
B,12,88955
I,45190,88957
B,4614,88959
R,47232,88961
B,19,88964
I,45244,88966
B,4595,88968
R,47232,88970
B,19,88973
I,45302,88975
B,4604,88977
R,47180,88979
B,19,88982
I,45225,88984
B,4588,88986
R,47286,88988
B,16,88991
I,45292,88993
B,4598,88995
R,47257,88997
B,9,89000
I,45264,89002
B,4595,89004
R,47251,89006
B,22,89009
I,45276,89011
B,4604,89013
R,47251,89015
B,16,89018
I,45241,89020
B,4614,89022
R,47331,89024
B,19,89027
I,45340,89029
B,4595,89031
R,47244,89033
B,12,89036
I,45321,89038
B,4585,89040
R,47209,89042
B,22,89045
I,45328,89047
B,4592,89049
R,47193,89051
B,22,89054
I,45376,89056
B,4604,89058
R,47270,89060
B,22,89063
I,45315,89065
B,4592,89067
R,47257,89069
B,16,89072
I,45363,89074
B,4617,89076
R,47299,89078
B,19,89081
I,45417,89083
B,4576,89085
R,47260,89087
B,16,89090
I,45436,89092
B,4598,89094
R,47273,89096
B,19,89099
I,45324,89101
B,4624,89103
R,47360,89105
B,16,89108
I,45347,89110
B,4640,89112
R,47312,89114
B,16,89117
I,45206,89119
B,4614,89121
R,47180,89124
B,12,89126
I,45171,89128
B,4576,89130
R,47062,89133
B,16,89135
I,45059,89137
B,4579,89139
R,47968,89142
B,19,89144
I,44912,89146
B,4582,89148
R,46950,89151
B,22,89153
I,44796,89155
B,4566,89157
R,46934,89160
B,12,89162
I,44736,89164
B,4553,89166
R,46800,89169
B,25,89171
I,44745,89173
B,4547,89175
R,46736,89178
B,12,89180
I,44630,89182
B,4550,89184
R,46742,89187
B,19,89189
I,44649,89191
B,4601,89193
R,46726,89196
B,25,89198
I,44556,89200
B,4556,89202
R,46742,89205
B,19,89207
I,44508,89209
B,4566,89211
R,46761,89214
B,19,89216
I,44544,89218
B,4560,89220
R,46758,89223
B,12,89225
I,44528,89227
B,4560,89229
R,46726,89232
B,12,89234
I,44502,89236
B,4572,89238
R,46796,89241
B,16,89243
I,44592,89245
B,4569,89247
R,46793,89250
B,19,89252
I,44614,89254
B,4550,89256
R,46771,89259
B,16,89261
I,44620,89263
B,4544,89265
R,46764,89268
B,19,89270
I,44704,89272
B,4537,89274
R,46780,89277
B,19,89279
I,44694,89281
B,4576,89283
R,46768,89286
B,16,89288
I,44633,89290
B,4544,89293
R,46812,89295
B,3,89297
I,44700,89299
B,4560,89301
R,46848,89304
B,22,89306
I,44697,89308
B,4540,89310
R,46796,89313
B,19,89315
I,44694,89317
B,4540,89319
R,46812,89322
B,16,89324
I,44656,89326
B,4544,89328
R,46876,89331
B,19,89333
I,44707,89335
B,4563,89337
R,46848,89340
B,16,89342
I,44675,89344
B,4553,89346
R,46828,89349
B,22,89351
I,44636,89353
B,4604,89355
R,46876,89358
B,19,89360
I,44748,89362
B,4576,89364
R,46841,89367
B,16,89369
I,44800,89371
B,4556,89373
R,46825,89376
B,12,89378
I,44787,89380
B,4537,89382
R,46828,89385
B,16,89387
I,44876,89389
B,4566,89391
R,46921,89394
B,32,89396
I,44832,89398
B,4563,89400
R,46896,89403
B,12,89405
I,44784,89407
B,4553,89410
R,46896,89412
B,19,89414
I,44800,89416
B,4448,89419
R,46889,89421
B,19,89423
I,44828,89425
B,4272,89428
R,46876,89430
B,12,89432
I,44800,89434
B,4585,89437
R,46905,89439
B,16,89441
I,44825,89443
B,4576,89446
R,46972,89448
B,22,89450
I,44803,89452
B,4566,89455
R,46947,89457
B,25,89459
I,44774,89461
B,4566,89464
R,46899,89466
B,19,89468
I,44867,89470
B,4608,89473
R,46924,89475
B,6,89477
I,44870,89479
B,4585,89481
R,46870,89484
B,0,89486
I,44835,89488
B,4576,89490
R,47769,89493
B,16,89495
I,44771,89497
B,4547,89499
R,46867,89502
B,16,89504
I,44873,89506
B,4566,89508
R,46896,89511
B,19,89513
I,44905,89515
B,4572,89517
R,46905,89520
B,25,89522
I,44940,89524
B,4572,89526
R,46937,89529
B,22,89531
I,44860,89533
B,4566,89535
R,46992,89538
B,16,89540
I,44902,89542
B,4544,89544
R,46896,89547
B,16,89549
I,44902,89551
B,4563,89553
R,46915,89556
B,19,89558
I,44889,89560
B,4592,89562
R,46947,89565
B,28,89567
I,44921,89569
B,4576,89571
R,46998,89574
B,19,89576
I,44896,89578
B,4576,89580
R,47020,89583
B,16,89585
I,44899,89587
B,4566,89589
R,47008,89592
B,22,89594
I,45020,89596
B,4585,89598
R,46931,89601
B,22,89603
I,45052,89605
B,4550,89607
R,46937,89610
B,19,89612
I,45011,89614
B,4540,89616
R,47020,89619
B,19,89621
I,45072,89623
B,4592,89625
R,47075,89628
B,12,89630
I,45072,89632
B,4579,89634
R,46979,89637
B,16,89639
I,45036,89641
B,4550,89644
R,46995,89646
B,16,89648
I,45081,89650
B,4470,89653
R,47052,89655
B,19,89657
I,45075,89659
B,4288,89662
R,47065,89664
B,19,89666
I,45004,89668
B,4592,89671
R,47113,89673
B,9,89675
I,45094,89677
B,4592,89679
R,47104,89682
B,16,89684
I,45088,89686
B,4579,89688
R,47152,89691
B,19,89693
I,45107,89695
B,4611,89697
R,47104,89700
B,22,89702
I,45097,89704
B,4592,89706
R,47094,89709
B,19,89711
I,45232,89713
B,4576,89715
R,47004,89718
B,12,89720
I,45219,89722
B,4604,89724
R,47001,89727
B,12,89729
I,45142,89731
B,4585,89733
R,47113,89736
B,19,89738
I,45206,89740
B,4598,89742
R,47129,89745
B,19,89747
I,45187,89749
B,4576,89751
R,47043,89754
B,16,89756
I,45161,89758
B,4576,89761
R,47091,89763
B,12,89765
I,45216,89767
B,4496,89770
R,47158,89772
B,16,89774
I,45164,89776
B,4291,89779
R,47139,89781
B,22,89783
I,45132,89785
B,4592,89788
R,47174,89790
B,16,89792
I,45248,89794
B,4592,89797
R,47171,89799
B,16,89801
I,45251,89803
B,4576,89806
R,47043,89808
B,19,89810
I,45222,89812
B,4595,89815
R,47084,89817
B,19,89819
I,45251,89821
B,4608,89824
R,47126,89826
B,19,89828
I,45235,89830
B,4614,89833
R,47097,89835
B,16,89837
I,45193,89839
B,4608,89842
R,47097,89844
B,19,89846
I,45286,89848
B,4585,89851
R,47100,89853
B,22,89855
I,45299,89857
B,4588,89860
R,47129,89862
B,19,89864
I,45299,89866
B,4601,89869
R,47248,89871
B,19,89873
I,45340,89875
B,4588,89878
R,47264,89880
B,16,89882
I,45315,89884
B,4592,89887
R,47200,89889
B,12,89891
I,45328,89893
B,4592,89896
R,47200,89898
B,12,89900
I,45388,89902
B,4592,89905
R,47161,89907
B,12,89909
I,45353,89911
B,4614,89914
R,47139,89916
B,16,89918
I,45308,89920
B,4630,89923
R,47209,89925
B,12,89927
I,45385,89929
B,4588,89932
R,47171,89934
B,16,89936
I,45385,89938
B,4595,89941
R,47164,89943
B,16,89945
I,45385,89947
B,4604,89950
R,47184,89952
B,12,89954
I,45497,89956
B,4608,89959
R,47280,89961
B,16,89963
I,45452,89965
B,4617,89968
R,47260,89970
B,12,89972
I,45420,89974
B,4582,89977
R,47273,89979
B,19,89982
I,45504,89983
B,4620,89986
R,47190,89988
B,3,89991
I,45430,89992
B,4604,89995
R,47270,89997
B,16,89999
I,45372,90001
B,4572,90004
R,47174,90006
B,22,90008
I,45283,90010
B,4563,90013
R,47110,90015
B,16,90017
I,45225,90019
B,4598,90022
R,46992,90024
B,19,90026
I,45049,90028
B,4585,90031
R,46915,90033
B,16,90035
I,44905,90037
B,4572,90040
R,46892,90042
B,16,90044
I,44832,90046
B,4566,90049
R,46716,90051
B,16,90053
I,44761,90055
B,4563,90058
R,46681,90060
B,12,90062
I,44697,90064
B,4556,90067
R,46720,90069
B,16,90071
I,44691,90073
B,4576,90076
R,46720,90078
B,12,90080
I,44598,90082
B,4550,90085
R,46672,90087
B,25,90089
I,44601,90091
B,4537,90094
R,46684,90096
B,16,90099
I,44614,90100
B,4540,90103
R,46620,90105
B,12,90108
I,44608,90109
B,4528,90112
R,46643,90114
B,6,90117
I,44556,90118
B,4537,90121
R,46659,90123
B,12,90125
I,44608,90127
B,4550,90130
R,46688,90132
B,19,90134
I,44633,90136
B,4566,90139
R,46649,90141
B,16,90143
I,44633,90145
B,4563,90148
R,46681,90150
B,19,90152
I,44630,90154
B,4563,90157
R,46742,90159
B,19,90161
I,44697,90163
B,4547,90166
R,46652,90168
B,19,90170
I,44716,90172
B,4544,90175
R,46681,90177
B,22,90179
I,44742,90181
B,4544,90184
R,46803,90186
B,22,90188
I,44768,90190
B,4553,90193
R,46819,90195
