TAG,Value,Time
B,22,83015
I,44841,83017
B,4582,83019
R,47584,83022
B,16,83024
I,44886,83026
B,4595,83028
R,47571,83031
B,16,83033
I,44844,83035
B,4624,83037
R,47632,83040
B,19,83042
I,44902,83044
B,4614,83046
R,47648,83049
B,25,83051
I,44921,83053
B,4601,83055
R,47651,83058
B,19,83060
I,44924,83062
B,4560,83064
R,47616,83067
B,16,83069
I,44988,83071
B,4611,83073
R,47616,83076
B,22,83078
I,44960,83080
B,4624,83082
R,47561,83085
B,6,83087
I,44976,83089
B,4582,83091
R,47596,83094
B,16,83096
I,44972,83098
B,4598,83100
R,47654,83103
B,22,83105
I,45033,83107
B,4617,83109
R,47632,83112
B,16,83114
I,45017,83116
B,4604,83118
R,47571,83121
B,16,83123
I,44915,83125
B,4592,83127
R,47584,83130
B,16,83132
I,44892,83134
B,4604,83136
R,47529,83139
B,12,83141
I,44736,83143
B,4611,83145
R,47443,83148
B,9,83150
I,44624,83152
B,4553,83154
R,47312,83157
B,16,83159
I,44531,83161
B,4576,83163
R,47267,83166
B,22,83168
I,44403,83170
B,4579,83172
R,47932,83175
B,19,83177
I,44304,83179
B,4569,83181
R,47209,83184
B,16,83186
I,44358,83188
B,4560,83190
R,47164,83193
B,12,83195
I,44352,83197
B,4563,83199
R,47091,83202
B,19,83204
I,44300,83206
B,4563,83208
R,47110,83211
B,9,83213
I,44268,83215
B,4572,83217
R,47052,83219
B,16,83222
I,44316,83224
B,4585,83226
R,47180,83228
B,25,83231
I,44304,83233
B,4563,83235
R,47187,83237
B,16,83240
I,44281,83242
B,4560,83244
R,47136,83246
B,16,83249
I,44233,83251
B,4537,83253
R,47123,83255
B,16,83258
I,44352,83260
B,4572,83262
R,47116,83264
B,19,83267
I,44281,83269
B,4588,83271
R,47168,83274
B,16,83276
I,44288,83278
B,4608,83280
R,47219,83283
B,19,83285
I,44332,83287
B,4556,83289
R,48035,83292
B,19,83294
I,44384,83296
B,4553,83298
R,47177,83301
B,25,83303
I,44480,83305
B,4579,83307
R,47267,83310
B,19,83312
I,44502,83314
B,4569,83316
R,47273,83319
B,22,83321
I,44508,83323
B,4569,83325
R,47312,83328
B,16,83330
I,44470,83332
B,4569,83334
R,47296,83337
B,22,83339
I,44572,83341
B,4544,83343
R,47212,83346
B,28,83348
I,44649,83350
B,4566,83352
R,47270,83355
B,19,83357
I,44544,83359
B,4598,83361
R,47420,83364
B,19,83366
