TAG,Time,Value
B,13565,361
R,13568,24387
B,13570,301
I,13572,31833
B,13575,412
R,13577,24461
B,13580,345
I,13582,31844
B,13584,350
R,13587,24352
B,13589,312
I,13591,31892
B,13594,426
R,13596,24454
B,13599,317
I,13601,31800
B,13603,354
R,13606,24346
B,13608,366
I,13610,31860
B,13613,389
R,13615,24371
B,13617,300
I,13620,31708
B,13622,358
R,13625,24379
B,13627,377
I,13629,31716
B,13632,367
R,13634,24323
B,13636,305
I,13639,31679
B,13641,409
R,13644,24361
B,13646,341
I,13648,31657
B,13651,354
R,13653,24233
B,13655,309
I,13658,31652
B,13660,424
R,13662,24308
B,13665,324
I,13667,31525
B,13670,346
R,13672,24211
B,13674,355
I,13677,31627
B,13679,395
R,13681,24297
B,13684,306
I,13686,31495
B,13689,356
R,13691,24288
B,13693,377
I,13696,31564
B,13698,373
R,13700,24224
B,13703,304
I,13705,31533
B,13708,400
R,13710,24336
B,13712,348
I,13715,31561
B,13717,355
R,13719,24206
B,13722,307
I,13724,31580
B,13726,424
R,13729,24298
B,13731,323
I,13734,31528
B,13736,356
R,13738,24258
B,13741,347
I,13743,31651
B,13745,401
R,13748,24295
B,13750,314
I,13753,31497
B,13755,348
R,13757,24319
B,13760,377
I,13762,31630
B,13764,385
R,13767,24239
B,13769,302
I,13771,31543
B,13774,400
R,13776,24361
B,13779,355
I,13781,31597
B,13783,350
R,13786,24199
B,13788,303
I,13790,31604
B,13793,420
R,13795,24330
B,13798,328
I,13800,31520
B,13802,351
R,13805,24224
B,13807,343
I,13809,31634
B,13812,397
R,13814,24310
B,13816,302
I,13819,31523
B,13821,351
R,13824,24315
B,13826,378
I,13828,31654
B,13831,376
R,13833,24265
B,13835,305
I,13838,31532
B,13840,382
R,13843,24334
B,13845,355
I,13847,31606
B,13850,348
R,13852,24235
B,13854,300
I,13857,31607
B,13859,424
R,13861,24362
B,13864,337
I,13866,31575
B,13869,345
R,13871,24282
B,13873,337
I,13876,31625
B,13878,403
R,13880,24321
B,13883,308
I,13885,31567
B,13888,352
R,13890,24307
B,13892,371
I,13895,31667
B,13897,382
R,13899,24290
B,13902,300
I,13904,31602
B,13906,379
R,13909,24349
B,13911,364
I,13914,31644
B,13916,354
R,13918,24237
B,13921,305
I,13923,31582
B,13925,429
R,13928,24345
B,13930,337
I,13933,31629
B,13935,350
R,13937,24284
B,13940,324
I,13942,31659
B,13944,415
R,13947,24313
B,13949,301
I,13951,31541
B,13954,338
R,13956,24304
B,13959,363
I,13961,31685
B,13963,389
R,13966,24310
B,13968,300
I,13970,31585
B,13973,371
R,13975,24372
B,13978,360
I,13980,31662
B,13982,357
R,13985,24261
B,13987,301
I,13989,31609
B,13992,424
R,13994,24369
B,13997,340
I,13999,31600
B,14001,349
R,14004,24278
B,14006,315
I,14008,31694
B,14011,409
R,14013,24342
B,14015,312
I,14018,31589
B,14020,347
R,14023,24288
B,14025,360
I,14027,31695
B,14030,385
R,14032,24334
B,14034,302
I,14037,31604
B,14039,365
R,14042,24388
B,14044,373
I,14046,31653
B,14049,362
R,14051,24267
B,14053,305
I,14056,31666
B,14058,411
R,14060,24399
B,14063,336
I,14065,31657
B,14068,352
R,14070,24312
B,14072,305
I,14075,31727
B,14077,415
R,14079,24374
B,14082,312
I,14084,31639
B,14087,349
R,14089,24311
B,14091,363
I,14094,31765
B,14096,387
R,14098,24346
B,14101,298
I,14103,31661
B,14106,350
R,14108,24389
B,14110,374
I,14113,31762
B,14115,370
R,14117,24315
B,14120,303
I,14122,31705
B,14124,401
R,14127,24433
B,14129,339
I,14132,31712
B,14134,345
R,14136,24314
B,14139,304
I,14141,31772
B,14143,424
R,14146,24409
B,14148,321
I,14151,31698
B,14153,351
R,14155,24345
B,14158,356
I,14160,31818
B,14162,391
R,14165,24380
B,14167,295
I,14169,31707
B,14172,347
R,14174,24426
B,14177,373
I,14179,31770
B,14181,368
R,14184,24359
B,14186,301
I,14188,31752
B,14191,395
R,14193,24432
B,14196,350
I,14198,31790
B,14200,351
R,14203,24288
B,14205,310
I,14207,31834
B,14210,421
R,14212,24396
B,14214,324
I,14217,31714
B,14219,347
R,14222,24321
B,14224,346
I,14226,31826
B,14229,393
R,14231,24390
B,14233,302
I,14236,31729
B,14238,351
R,14241,24358
B,14243,373
I,14245,31832
B,14248,374
