TAG,Time,Value
B,7363,175
R,7365,37857
B,7367,103
I,7370,58647
B,7372,173
R,7375,37867
B,7377,108
I,7379,58662
B,7382,180
R,7384,37885
B,7386,98
I,7389,58655
B,7391,184
R,7393,37891
B,7396,99
I,7398,58696
B,7400,185
R,7403,37909
B,7405,95
I,7408,58733
B,7410,188
R,7412,37924
B,7415,103
I,7417,58748
B,7419,170
R,7422,37944
B,7424,103
I,7426,58779
B,7429,177
R,7431,37951
B,7434,104
I,7436,58773
B,7438,172
R,7441,37981
B,7443,107
I,7445,58787
B,7448,179
R,7450,37987
B,7452,99
I,7455,58801
B,7457,181
R,7459,37992
B,7462,99
I,7464,58818
B,7467,185
R,7469,37965
B,7471,94
I,7474,58816
B,7476,188
R,7478,37978
B,7481,103
I,7483,58819
B,7485,176
R,7488,37965
B,7490,101
I,7493,58822
B,7495,180
R,7497,37969
B,7500,102
I,7502,58796
B,7504,174
R,7507,37948
B,7509,109
I,7511,58789
B,7514,172
R,7516,37958
B,7519,97
I,7521,58790
B,7523,177
R,7526,37983
B,7528,109
I,7530,58802
B,7533,180
R,7535,37961
B,7537,94
I,7540,58829
B,7542,187
R,7544,37969
B,7547,101
I,7549,58817
B,7552,178
R,7554,37960
B,7556,100
I,7559,58829
B,7561,182
R,7563,37978
B,7566,104
I,7568,58823
B,7570,169
R,7573,37971
B,7575,114
I,7578,58840
B,7580,180
R,7582,37989
B,7585,102
I,7587,58817
B,7589,177
R,7592,37983
B,7594,108
I,7596,58830
B,7599,187
R,7601,37964
B,7603,97
I,7606,58835
B,7608,184
R,7611,37952
B,7613,100
I,7615,58824
B,7618,173
R,7620,37949
B,7622,100
I,7625,58834
B,7627,182
R,7629,37943
B,7632,101
I,7634,58818
B,7637,169
R,7639,37950
B,7641,105
I,7644,58817
B,7646,177
R,7648,37962
B,7651,104
I,7653,58795
B,7655,168
R,7658,37958
B,7660,110
I,7662,58799
B,7665,182
R,7667,37946
B,7670,95
I,7672,58817
B,7674,181
R,7677,37967
B,7679,103
I,7681,58829
B,7684,179
R,7686,37961
B,7688,91
I,7691,58831
B,7693,185
R,7696,37962
B,7698,99
I,7700,58855
B,7703,173
R,7705,37964
B,7707,104
I,7710,58858
B,7712,179
R,7714,37976
B,7717,104
I,7719,58844
B,7722,167
R,7724,37970
B,7726,110
I,7729,58807
B,7731,181
R,7733,37983
B,7736,96
I,7738,58852
B,7740,180
R,7743,38001
B,7745,105
I,7747,58821
B,7750,177
R,7752,37963
B,7755,89
I,7757,58875
B,7759,187
R,7762,37983
B,7764,101
I,7766,58873
B,7769,184
R,7771,37980
B,7773,101
I,7776,58886
B,7778,183
R,7780,37963
B,7783,103
I,7785,58882
B,7788,168
R,7790,37985
B,7792,113
I,7795,58886
B,7797,179
R,7799,37997
B,7802,101
I,7804,58864
B,7806,175
R,7809,37980
B,7811,110
I,7814,58895
B,7816,180
R,7818,38005
B,7821,92
I,7823,58895
B,7825,183
R,7828,38025
B,7830,99
I,7832,58923
B,7835,181
R,7837,38018
B,7839,100
I,7842,58941
B,7844,185
R,7847,38040
B,7849,104
I,7851,58951
B,7854,166
R,7856,38030
B,7858,109
I,7861,58961
B,7863,178
R,7865,38019
B,7868,104
I,7870,58963
B,7873,169
R,7875,38060
B,7877,107
I,7880,58992
B,7882,184
R,7884,38044
B,7887,91
I,7889,58961
B,7891,181
R,7894,38052
B,7896,100
I,7898,59004
B,7901,179
R,7903,38054
B,7906,93
I,7908,58987
B,7910,190
R,7913,38047
B,7915,104
I,7917,58994
B,7920,167
R,7922,38048
B,7924,108
I,7927,59022
B,7929,180
R,7932,38052
B,7934,106
I,7936,58991
B,7939,173
R,7941,38054
B,7943,109
I,7946,59008
B,7948,181
R,7950,38053
B,7953,97
I,7955,58995
B,7958,181
R,7960,38038
B,7962,102
I,7965,58980
B,7967,180
R,7969,38026
B,7972,93
I,7974,58984
B,7976,187
R,7979,38049
B,7981,107
I,7983,58949
B,7986,175
R,7988,37991
B,7991,103
I,7993,58949
B,7995,183
R,7998,37985
B,8000,107
I,8002,58917
B,8005,168
R,8007,38001
B,8009,113
I,8012,58944
B,8014,177
R,8016,37983
B,8019,98
I,8021,58914
B,8024,178
R,8026,38005
B,8028,104
I,8031,58939
B,8033,182
R,8035,37977
B,8038,90
I,8040,58952
B,8042,192
R,8045,38011
B,8047,101
I,8050,58971
B,8052,175
R,8054,37968
B,8057,103
I,8059,58984
B,8061,182
R,8064,37996
B,8066,105
I,8068,58960
B,8071,173
R,8073,38000
B,8076,113
I,8078,58971
B,8080,178
R,8083,38012
B,8085,96
I,8087,58961
B,8090,173
R,8092,38014
B,8094,114
I,8097,58980
B,8099,182
R,8101,37995
B,8104,90
I,8106,58937
B,8109,188
R,8111,37992
B,8113,98
I,8116,58948
B,8118,179
R,8120,37978
B,8123,94
I,8125,58953
B,8127,188
R,8130,38010
B,8132,102
I,8134,58934
B,8137,168
R,8139,37985
B,8142,106
I,8144,58964
B,8146,187
R,8149,37976
B,8151,108
I,8153,58956
B,8156,173
R,8158,37969
B,8160,109
I,8163,58929
B,8165,182
R,8168,37993
B,8170,97
I,8172,58964
B,8175,183
R,8177,38004
B,8179,104
I,8182,58965
B,8184,183
R,8186,37966
B,8189,95
I,8191,58970
B,8193,185
R,8196,37989
B,8198,102
I,8201,58937
B,8203,170
R,8205,37983
B,8208,107
I,8210,58978
B,8212,177
R,8215,38015
B,8217,107
I,8219,58974
B,8222,169
R,8224,37998
B,8227,114
I,8229,58997
B,8231,184
R,8234,38012
B,8236,97
I,8238,58973
B,8241,177
R,8243,38027
B,8245,101
I,8248,59032
B,8250,182
R,8252,38011
B,8255,94
I,8257,59019
B,8260,188
R,8262,38020
B,8264,104
I,8267,59033
B,8269,175
R,8271,38015
B,8274,102
I,8276,59038
B,8278,182
R,8281,38020
B,8283,107
I,8286,59023
B,8288,169
R,8290,38017
B,8293,117
I,8295,59054
B,8297,180
R,8300,38027
B,8302,101
I,8304,59043
B,8307,176
R,8309,38040
B,8312,106
I,8314,59040
B,8316,181
R,8319,38022
B,8321,94
I,8323,59041
B,8326,192
R,8328,38042
B,8330,102
I,8333,59059
B,8335,180
R,8337,37985
B,8340,95
I,8342,59047
B,8345,185
R,8347,38019
B,8349,105
I,8352,59037
B,8354,172
R,8356,38007
B,8359,112
I,8361,59034
B,8363,185
R,8366,38018
B,8368,102
I,8370,59032
B,8373,179
R,8375,38016
B,8378,110
I,8380,59028
B,8382,182
R,8385,37996
B,8387,91
I,8389,59010
B,8392,185
R,8394,37994
B,8396,101
I,8399,59021
B,8401,182
R,8404,37967
B,8406,97
I,8408,59025
B,8411,186
R,8413,37986
B,8415,102
I,8418,58971
B,8420,171
R,8422,37974
B,8425,108
I,8427,59004
B,8430,179
R,8432,37980
B,8434,104
I,8437,58987
B,8439,168
R,8441,37996
B,8444,111
I,8446,58990
B,8448,180
R,8451,38001
B,8453,94
I,8455,58986
B,8458,183
R,8460,37990
B,8463,111
I,8465,58988
B,8467,185
R,8470,37966
B,8472,94
I,8474,58991
B,8477,187
R,8479,37977
B,8481,106
I,8484,58990
B,8486,176
R,8489,37978
B,8491,104
I,8493,58956
B,8496,177
R,8498,37976
B,8500,108
I,8503,58971
B,8505,174
R,8507,37957
B,8510,113
I,8512,58948
B,8514,179
R,8517,37963
B,8519,97
I,8522,58953
B,8524,177
R,8526,37934
B,8529,104
I,8531,58959
B,8533,181
R,8536,37956
B,8538,93
I,8540,58955
B,8543,188
R,8545,37950
B,8548,103
I,8550,58953
B,8552,176
R,8555,37924
B,8557,98
I,8559,58972
B,8562,184
R,8564,37928
B,8566,104
I,8569,58948
B,8571,175
R,8573,37937
B,8576,110
I,8578,58953
B,8581,179
R,8583,37942
B,8585,100
I,8588,58923
B,8590,178
R,8592,37926
B,8595,103
I,8597,58946
B,8599,179
R,8602,37908
B,8604,91
I,8607,58949
B,8609,182
R,8611,37946
B,8614,98
I,8616,58955
B,8618,177
R,8621,37927
B,8623,98
I,8625,58955
B,8628,182
R,8630,37933
B,8632,105
I,8635,58946
B,8637,167
R,8640,37916
B,8642,110
I,8644,58967
B,8647,181
R,8649,37928
B,8651,101
I,8654,58945
B,8656,172
R,8658,37920
B,8661,106
I,8663,58956
B,8666,180
R,8668,37918
B,8670,91
I,8673,58945
B,8675,181
R,8677,37933
B,8680,97
I,8682,58971
B,8684,180
R,8687,37925
B,8689,93
I,8691,58993
B,8694,193
R,8696,37947
B,8699,104
I,8701,58993
B,8703,172
R,8706,37953
B,8708,108
I,8710,59019
B,8713,182
R,8715,37964
B,8717,104
I,8720,59007
B,8722,170
R,8725,37938
B,8727,110
I,8729,59018
B,8732,181
R,8734,37938
B,8736,97
I,8739,59004
B,8741,177
R,8743,37973
B,8746,101
I,8748,58975
B,8751,180
R,8753,37924
B,8755,90
I,8758,59021
B,8760,185
R,8762,37947
B,8765,103
I,8767,58977
B,8769,172
R,8772,37952
B,8774,101
I,8776,59018
B,8779,182
R,8781,37954
B,8784,99
I,8786,59011
B,8788,169
R,8791,37962
B,8793,111
I,8795,58977
B,8798,177
R,8800,37943
B,8802,96
I,8805,59001
B,8807,180
R,8810,37959
B,8812,103
I,8814,59017
B,8817,177
R,8819,37931
B,8821,89
I,8824,59015
B,8826,190
R,8828,37952
B,8831,100
I,8833,59030
B,8835,170
R,8838,37937
B,8840,97
I,8843,59046
B,8845,176
R,8847,37948
B,8850,101
I,8852,59029
B,8854,168
R,8857,37960
B,8859,107
I,8861,59039
B,8864,176
R,8866,37962
B,8869,102
I,8871,59019
B,8873,175
R,8876,37951
B,8878,108
I,8880,59027
B,8883,177
R,8885,37933
B,8887,88
I,8890,59019
B,8892,188
R,8894,37940
B,8897,100
I,8899,59026
B,8902,185
R,8904,37914
B,8906,95
I,8909,59010
B,8911,183
R,8913,37922
B,8916,103
I,8918,59015
B,8920,170
R,8923,37921
B,8925,109
I,8928,59012
B,8930,177
R,8932,37934
B,8935,103
I,8937,58996
B,8939,170
R,8942,37929
B,8944,109
I,8946,59012
B,8949,181
R,8951,37916
B,8953,93
I,8956,59012
B,8958,182
R,8961,37938
B,8963,100
I,8965,59041
B,8968,181
R,8970,37929
B,8972,92
I,8975,59057
B,8977,187
R,8979,37930
B,8982,101
I,8984,59048
B,8987,170
R,8989,37942
B,8991,104
I,8994,59057
B,8996,173
R,8998,37943
B,9001,105
I,9003,59047
B,9005,166
R,9008,37953
B,9010,111
I,9012,59073
B,9015,178
R,9017,37932
B,9020,95
I,9022,59021
B,9024,184
R,9027,37963
B,9029,104
I,9031,59069
B,9034,183
R,9036,37920
B,9038,98
I,9041,59075
B,9043,188
R,9046,37955
B,9048,102
I,9050,59084
B,9053,175
R,9055,37945
B,9057,101
I,9060,59053
B,9062,186
R,9064,37964
B,9067,103
I,9069,59079
B,9071,173
R,9074,37937
B,9076,107
I,9079,59082
B,9081,175
R,9083,37957
B,9086,99
I,9088,59060
B,9090,178
R,9093,37949
B,9095,106
I,9097,59079
B,9100,180
R,9102,37928
B,9105,94
I,9107,59066
B,9109,193
R,9112,37939
B,9114,106
I,9116,59063
B,9119,179
R,9121,37907
B,9123,98
I,9126,59020
B,9128,184
R,9130,37923
B,9133,103
I,9135,59006
B,9138,168
R,9140,37920
B,9142,108
I,9145,59006
B,9147,178
R,9149,37917
B,9152,104
I,9154,58984
B,9156,170
R,9159,37920
B,9161,110
I,9164,58961
B,9166,180
R,9168,37916
B,9171,91
I,9173,58963
B,9175,182
R,9178,37924
B,9180,99
I,9182,59008
B,9185,175
R,9187,37897
B,9189,92
I,9192,59018
B,9194,182
R,9197,37923
B,9199,100
I,9201,59008
B,9204,170
R,9206,37912
B,9208,103
I,9211,59062
B,9213,178
R,9215,37922
B,9218,104
I,9220,58973
B,9223,165
R,9225,37935
B,9227,109
I,9230,59015
B,9232,180
R,9234,37922
B,9237,94
I,9239,58987
B,9241,183
R,9244,37922
B,9246,101
I,9248,59018
B,9251,179
R,9253,37873
B,9256,94
I,9258,58979
B,9260,188
R,9263,37909
B,9265,101
I,9267,59024
B,9270,174
