,TAG,Value,Time
0,B,0,0
1,R,45292,0
2,B,0,0
3,I,46681,1
4,B,0,1
5,R,45254,1
6,B,0,1
7,I,46768,2
8,B,0,2
9,R,45136,2
10,B,0,2
11,I,46707,3
12,B,0,3
13,R,45088,3
14,B,0,4
15,I,46678,4
16,B,0,4
17,R,45110,4
18,B,0,5
19,I,46697,5
20,B,0,5
21,R,45120,5
22,B,0,6
23,I,46726,6
24,B,0,6
25,R,45036,7
26,B,0,7
27,I,46665,7
28,B,0,8
29,R,45152,9
30,B,0,10
31,I,46688,10
32,B,0,11
33,R,45065,12
34,B,0,13
35,I,46630,13
36,B,0,14
37,R,45043,15
38,B,0,16
39,I,46675,16
40,B,0,17
41,R,45113,18
42,B,0,19
43,I,46694,19
44,B,0,20
45,R,45136,21
46,B,0,22
47,I,46710,22
48,B,0,23
49,R,45113,24
50,B,0,25
51,I,46688,26
52,B,0,26
53,R,45065,27
54,B,0,28
55,I,46716,29
56,B,0,30
57,R,45011,30
58,B,0,31
59,I,46716,32
60,B,0,33
61,R,45062,33
62,B,0,34
63,I,46630,35
64,B,0,36
65,R,44995,36
66,B,0,37
67,I,46656,38
68,B,0,39
69,R,44979,39
70,B,0,40
71,I,46752,41
72,B,0,42
73,R,45091,43
74,B,0,43
75,I,46700,44
76,B,0,45
77,R,45033,46
78,B,0,47
79,I,46649,47
80,B,0,48
81,R,45161,49
82,B,0,50
83,I,46688,50
84,B,0,51
85,R,44976,52
86,B,0,53
87,I,46643,53
88,B,0,54
89,R,45056,55
90,B,0,56
91,I,46691,56
92,B,0,57
93,R,45113,58
94,B,0,59
95,I,46569,59
96,B,0,60
97,R,44928,61
98,B,0,62
99,I,46704,63
100,B,0,64
101,R,45068,64
102,B,0,65
103,I,46579,66
104,B,0,67
105,R,45024,67
106,B,0,68
107,I,46755,69
108,B,0,70
109,R,44960,70
110,B,0,71
111,I,46656,72
112,B,0,73
113,R,44899,73
114,B,0,74
115,I,46691,75
116,B,0,76
117,R,45036,76
118,B,0,77
119,I,46614,78
120,B,0,79
121,R,44937,80
122,B,0,80
123,I,46534,81
124,B,0,82
125,R,44896,83
126,B,0,84
127,I,46652,84
128,B,0,85
129,R,44876,86
130,B,0,87
131,I,46640,87
132,B,0,88
133,R,45014,89
134,B,0,90
135,I,46560,90
136,B,0,91
137,R,44937,92
138,B,0,93
139,I,46512,93
140,B,0,94
141,R,44931,95
142,B,0,96
143,I,46640,97
144,B,0,97
145,R,44873,98
146,B,0,99
147,I,46643,100
148,B,0,101
149,R,45088,101
150,B,0,102
151,I,46579,103
152,B,0,104
153,R,45027,105
154,B,0,106
155,I,46662,106
156,B,0,107
157,R,44896,108
158,B,0,109
159,I,46720,110
160,B,0,111
161,R,44995,112
162,B,0,113
163,I,46780,113
164,B,0,114
165,R,45046,115
166,B,0,116
167,I,46681,117
168,B,0,118
169,R,44896,118
170,B,0,119
171,I,46528,120
172,B,0,121
173,R,45017,122
174,B,0,123
175,I,46646,124
176,B,0,125
177,R,45068,125
178,B,0,126
179,I,46624,127
180,B,0,128
181,R,45046,129
182,B,0,130
183,I,46592,130
184,B,0,131
185,R,44934,132
186,B,0,133
187,I,46630,134
188,B,0,135
189,R,44908,136
190,B,0,137
191,I,46652,137
192,B,0,138
193,R,44998,139
194,B,0,140
195,I,46579,141
196,B,0,142
197,R,44960,142
198,B,0,143
199,I,46707,144
200,B,0,145
201,R,44960,146
202,B,0,147
203,I,46665,148
204,B,0,149
205,R,45033,149
206,B,0,150
207,I,46604,151
208,B,0,152
209,R,44998,153
210,B,0,154
211,I,46576,154
212,B,0,155
213,R,45036,156
214,B,0,157
215,I,46633,158
216,B,0,159
217,R,45078,160
218,B,0,161
219,I,46665,161
220,B,0,162
221,R,44931,163
222,B,0,164
223,I,46486,165
224,B,0,166
225,R,44979,166
226,B,0,167
227,I,46544,168
228,B,0,169
229,R,44966,170
230,B,0,171
231,I,46668,172
232,B,0,173
233,R,45020,173
234,B,0,174
235,I,46588,175
236,B,0,176
237,R,45014,177
238,B,0,178
239,I,46579,178
240,B,0,179
241,R,45043,180
242,B,0,181
243,I,46576,182
244,B,0,183
245,R,44937,184
246,B,0,185
247,I,46476,185
248,B,0,186
249,R,44867,187
250,B,0,188
251,I,46636,189
252,B,0,190
253,R,44918,190
254,B,0,191
255,I,46480,192
256,B,0,193
257,R,44915,194
258,B,0,195
259,I,46537,196
260,B,0,197
261,R,44985,197
262,B,0,198
263,I,46512,199
264,B,0,200
265,R,44915,201
266,B,0,202
267,I,46464,202
268,B,0,203
269,R,44985,204
270,B,0,205
271,I,46556,206
272,B,0,207
273,R,44969,208
274,B,0,209
275,I,46384,209
276,B,0,210
277,R,44921,211
278,B,0,212
279,I,46502,213
280,B,0,214
281,R,44739,214
282,B,0,215
283,I,46435,216
284,B,0,217
285,R,44972,218
286,B,0,219
287,I,46387,220
288,B,0,221
289,R,44880,221
290,B,0,222
291,I,46374,223
292,B,0,224
293,R,44854,225
294,B,0,226
295,I,46316,226
296,B,0,227
297,R,44880,228
298,B,0,229
299,I,46374,230
300,B,0,231
301,R,44886,232
302,B,0,233
303,I,46291,233
304,B,0,234
305,R,44867,235
306,B,0,236
307,I,46214,237
308,B,0,238
309,R,44774,238
310,B,0,239
311,I,46326,240
312,B,0,241
313,R,44774,242
314,B,0,243
315,I,46300,244
316,B,0,245
317,R,44793,245
318,B,0,246
319,I,46300,247
320,B,0,248
321,R,44803,249
322,B,0,250
323,I,46297,250
324,B,0,251
325,R,44793,252
326,B,0,253
327,I,46323,254
328,B,0,255
329,R,44726,256
330,B,0,257
331,I,46243,257
332,B,0,258
333,R,44880,259
334,B,0,260
335,I,46118,261
336,B,0,262
337,R,44784,262
338,B,0,263
339,I,46259,264
340,B,0,265
341,R,44787,266
342,B,0,267
343,I,46240,268
344,B,0,269
345,R,44800,269
346,B,0,270
347,I,46128,271
348,B,0,272
349,R,44841,273
350,B,0,274
351,I,46220,274
352,B,0,275
353,R,44761,276
354,B,0,277
355,I,46057,278
356,B,0,279
357,R,44630,280
358,B,0,281
359,I,46243,281
360,B,0,282
361,R,44614,283
362,B,0,284
363,I,46217,285
364,B,0,286
365,R,44812,286
366,B,0,287
367,I,46214,288
368,B,0,289
369,R,44752,290
370,B,0,291
371,I,46204,292
372,B,0,293
373,R,44774,293
374,B,0,294
375,I,46153,295
376,B,0,296
377,R,44819,297
378,B,0,298
379,I,46137,298
380,B,0,299
381,R,44742,300
382,B,0,301
383,I,46067,302
384,B,0,303
385,R,44713,304
386,B,0,305
387,I,46227,305
388,B,0,306
389,R,44678,307
390,B,0,308
391,I,46284,309
392,B,0,310
393,R,44806,310
394,B,0,311
395,I,46089,312
396,B,0,313
397,R,44732,314
398,B,0,315
399,I,46073,316
400,B,0,317
401,R,44710,317
402,B,0,318
403,I,46233,319
404,B,0,320
405,R,44720,321
406,B,0,322
407,I,46339,322
408,B,0,323
409,R,44761,324
410,B,0,325
411,I,46128,326
412,B,0,327
413,R,44729,328
414,B,0,329
415,I,46121,329
416,B,0,330
417,R,44832,331
418,B,0,332
419,I,46246,333
420,B,0,334
421,R,44688,334
422,B,0,335
423,I,46156,336
424,B,0,337
425,R,44668,338
426,B,0,339
427,I,46134,340
428,B,0,341
429,R,44646,341
430,B,0,342
431,I,46204,343
432,B,0,344
433,R,44809,345
434,B,0,346
435,I,46201,346
436,B,0,347
437,R,44688,348
438,B,0,349
439,I,46230,350
440,B,0,351
441,R,44608,352
442,B,0,353
443,I,46227,353
444,B,0,354
445,R,44736,355
446,B,0,356
447,I,46278,357
448,B,0,358
449,R,44723,358
450,B,0,359
451,I,46304,360
452,B,0,361
453,R,44678,362
454,B,0,363
455,I,46150,364
456,B,0,365
457,R,44729,365
458,B,0,366
459,I,46217,367
460,B,0,368
461,R,44774,369
462,B,0,370
463,I,46112,370
464,B,0,371
465,R,44784,372
466,B,0,373
467,I,46134,374
468,B,0,375
469,R,44675,376
470,B,0,377
471,I,46259,377
472,B,0,378
473,R,44857,379
474,B,0,380
475,I,46140,381
476,B,0,382
477,R,44800,382
478,B,0,383
479,I,46214,384
480,B,0,385
481,R,44886,386
482,B,0,387
483,I,46224,388
484,B,0,389
485,R,44726,389
486,B,0,390
487,I,46217,391
488,B,0,392
489,R,44732,393
490,B,0,394
491,I,46192,394
492,B,0,395
493,R,44822,396
494,B,0,397
495,I,46217,398
496,B,0,399
497,R,44672,400
498,B,0,401
499,I,46227,401
500,B,0,402
501,R,44726,403
502,B,0,404
503,I,46246,405
504,B,0,406
505,R,44748,406
506,B,0,407
507,I,46150,408
508,B,0,409
509,R,44736,410
510,B,0,411
511,I,46246,412
512,B,0,413
513,R,44809,413
514,B,0,414
515,I,46262,415
516,B,0,416
517,R,44851,417
518,B,0,418
519,I,46214,418
520,B,0,419
521,R,44860,420
522,B,0,421
523,I,46169,422
524,B,0,423
525,R,44835,424
526,B,0,425
527,I,46320,425
528,B,0,426
529,R,44748,427
530,B,0,428
531,I,46294,429
532,B,0,430
533,R,44739,430
