,TAG,Value,Time
0,B,0,0
1,R,48947,0
2,B,0,0
3,I,50348,1
4,B,0,1
5,R,48921,1
6,B,0,1
7,I,50332,2
8,B,0,2
9,R,48876,2
10,B,0,2
11,I,50329,3
12,B,0,3
13,R,48780,3
14,B,0,4
15,I,50406,4
16,B,0,4
17,R,48796,4
18,B,0,5
19,I,50428,5
20,B,0,5
21,R,48662,5
22,B,0,6
23,I,50387,6
24,B,0,6
25,R,48739,6
26,B,0,7
27,I,50480,7
28,B,0,8
29,R,48806,9
30,B,0,9
31,I,50480,10
32,B,0,11
33,R,48774,12
34,B,0,12
35,I,50476,13
36,B,0,14
37,R,48672,15
38,B,0,16
39,I,50483,16
40,B,0,17
41,R,48704,18
42,B,0,19
43,I,50464,19
44,B,0,20
45,R,48732,21
46,B,0,22
47,I,50518,22
48,B,0,23
49,R,48646,24
50,B,0,25
51,I,50496,25
52,B,0,26
53,R,48652,27
54,B,0,28
55,I,50464,29
56,B,0,29
57,R,48659,30
58,B,0,31
59,I,50505,32
60,B,0,33
61,R,48579,33
62,B,0,34
63,I,50470,35
64,B,0,36
65,R,48627,36
66,B,0,37
67,I,50464,38
68,B,0,39
69,R,48672,39
70,B,0,40
71,I,50528,41
72,B,0,42
73,R,48649,42
74,B,0,43
75,I,50515,44
76,B,0,45
77,R,48572,45
78,B,0,46
79,I,50464,47
80,B,0,48
81,R,48598,49
82,B,0,50
83,I,50409,50
84,B,0,51
85,R,48483,52
86,B,0,53
87,I,50419,53
88,B,0,54
89,R,48441,55
90,B,0,56
91,I,50470,56
92,B,0,57
93,R,48470,58
94,B,0,59
95,I,50428,59
96,B,0,60
97,R,48476,61
98,B,0,62
99,I,50425,62
100,B,0,63
101,R,48454,64
102,B,0,65
103,I,50448,66
104,B,0,66
105,R,48467,67
106,B,0,68
107,I,50521,69
108,B,0,70
109,R,48425,70
110,B,0,71
111,I,50476,72
112,B,0,73
113,R,48496,73
114,B,0,74
115,I,50483,75
116,B,0,76
117,R,48512,76
118,B,0,77
119,I,50505,78
120,B,0,79
121,R,48566,79
122,B,0,80
123,I,50499,81
124,B,0,82
125,R,48489,83
126,B,0,83
127,I,50438,84
128,B,0,85
129,R,48524,86
130,B,0,87
131,I,50563,87
132,B,0,88
133,R,48476,89
134,B,0,90
135,I,50496,90
136,B,0,91
137,R,48508,92
138,B,0,93
139,I,50438,93
140,B,0,94
141,R,48598,95
142,B,0,96
143,I,50508,96
144,B,0,97
145,R,48521,98
146,B,0,99
147,I,50544,99
148,B,0,100
149,R,48512,101
150,B,0,102
151,I,50444,103
152,B,0,104
153,R,48441,105
154,B,0,106
155,I,50556,106
156,B,0,107
157,R,48515,108
158,B,0,109
159,I,50390,110
160,B,0,111
161,R,48476,111
162,B,0,112
163,I,50592,113
164,B,0,114
165,R,48521,115
166,B,0,116
167,I,50457,117
168,B,0,118
169,R,48563,118
170,B,0,119
171,I,50451,120
172,B,0,121
173,R,48435,122
174,B,0,123
175,I,50544,123
176,B,0,124
177,R,48505,125
178,B,0,126
179,I,50492,127
180,B,0,128
181,R,48563,129
182,B,0,130
183,I,50521,130
184,B,0,131
185,R,48544,132
186,B,0,133
